species,mirna,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id
Aedes albopictus,aal-mir-87,GO:0006468,Protein phosphorylation,8,317,0.78,0.39,0.0318,"7160.A0A182G6F8,7160.A0A182G7S2,7160.A0A182GE93,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0X1,7160.A0A182H3T2","RP20_CCG003981,RP20_CCG004782,RP20_CCG005310,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019480,RP20_CCG021138",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0010033,Response to organic substance,10,510,0.67,0.37,0.0318,"7160.A0A023ER47,7160.A0A182G4J4,7160.A0A182G786,7160.A0A182GCM0,7160.A0A182GE93,7160.A0A182GFQ8,7160.A0A182GYJ7,7160.A0A182H540,7160.A0A182HAX7,7160.A0A182HEJ7","RP20_CCG004430,RP20_CCG002759,RP20_CCG004462,RP20_CCG007587,RP20_CCG005310,RP20_CCG009132,RP20_CCG018205,RP20_CCG021891,RP20_CCG025574,RP20_CCG027949",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0033554,Cellular response to stress,11,637,0.61,0.36,0.0318,"7160.A0A023ER47,7160.A0A182G1N5,7160.A0A182G786,7160.A0A182GE93,7160.A0A182GFQ8,7160.A0A182GUY8,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182HAX7,7160.A0A182HDQ9","RP20_CCG004430,RP20_CCG000855,RP20_CCG004462,RP20_CCG005310,RP20_CCG009132,RP20_CCG016202,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG025574,RP20_CCG027398",GO Biological Process,immune,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0036211,Protein modification process,16,1258,0.48,0.33,0.0318,"7160.A0A182G5Y8,7160.A0A182G6F8,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GE93,7160.A0A182GFQ8,7160.A0A182GTH0,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H3T2,7160.A0A182HC90","RP20_CCG003693,RP20_CCG003981,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG005310,RP20_CCG009132,RP20_CCG015467,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG021138,RP20_CCG026429",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0043170,Macromolecule metabolic process,31,3730,0.3,0.28,0.0318,"7160.A0A023EI51,7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G3H6,7160.A0A182G5B9,7160.A0A182G5Y8,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GE93,7160.A0A182GEU8,7160.A0A182GFQ8,7160.A0A182GLJ3,7160.A0A182GTH0,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HC90,7160.A0A182HDC1,7160.A0A182HDQ9","RP20_CCG019423,RP20_CCG016093,RP20_CCG026959,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG002131,RP20_CCG003299,RP20_CCG003693,RP20_CCG003755,RP20_CCG003981,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG005310,RP20_CCG008698,RP20_CCG009132,RP20_CCG012016,RP20_CCG015467,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG026429,RP20_CCG027115,RP20_CCG027398",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0043412,Macromolecule modification,17,1378,0.47,0.33,0.0318,"7160.A0A182G5Y8,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GE93,7160.A0A182GFQ8,7160.A0A182GTH0,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H3T2,7160.A0A182HC90","RP20_CCG003693,RP20_CCG003755,RP20_CCG003981,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG005310,RP20_CCG009132,RP20_CCG015467,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG021138,RP20_CCG026429",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0044238,Primary metabolic process,37,4906,0.25,0.27,0.0318,"7160.A0A023EI51,7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G2J8,7160.A0A182G3H6,7160.A0A182G4J4,7160.A0A182G5B9,7160.A0A182G5Y8,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182G786,7160.A0A182G7S2,7160.A0A182GCA5,7160.A0A182GDW5,7160.A0A182GE93,7160.A0A182GFQ8,7160.A0A182GLJ3,7160.A0A182GMS9,7160.A0A182GQV5,7160.A0A182GTH0,7160.A0A182GUE6,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HBT0,7160.A0A182HC90,7160.A0A182HDC1,7160.A0A182HDQ9","RP20_CCG019423,RP20_CCG016093,RP20_CCG026959,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG001475,RP20_CCG002131,RP20_CCG002759,RP20_CCG003299,RP20_CCG003693,RP20_CCG003755,RP20_CCG003981,RP20_CCG004462,RP20_CCG004782,RP20_CCG007403,RP20_CCG008228,RP20_CCG005310,RP20_CCG009132,RP20_CCG012016,RP20_CCG012629,RP20_CCG014148,RP20_CCG015467,RP20_CCG015949,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG019480,RP20_CCG020338,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG026128,RP20_CCG026429,RP20_CCG027115,RP20_CCG027398",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0048518,Positive regulation of biological process,21,1979,0.4,0.31,0.0318,"7160.A0A023ER47,7160.A0A023ERC2,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G323,7160.A0A182G353,7160.A0A182G3H6,7160.A0A182G737,7160.A0A182GCM0,7160.A0A182GE93,7160.A0A182GEE1,7160.A0A182GLJ3,7160.A0A182GP17,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H540,7160.A0A182HAX7,7160.A0A182HCV9,7160.A0A182HEJ7","RP20_CCG004430,RP20_CCG011691,RP20_CCG024680,RP20_CCG000108,RP20_CCG001783,RP20_CCG001887,RP20_CCG002131,RP20_CCG004387,RP20_CCG007587,RP20_CCG005310,RP20_CCG008473,RP20_CCG012016,RP20_CCG013225,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG021891,RP20_CCG025574,RP20_CCG026807,RP20_CCG027949",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:1901700,Response to oxygen-containing compound,8,317,0.78,0.39,0.0318,"7160.A0A182G4J4,7160.A0A182GCM0,7160.A0A182GE93,7160.A0A182GFQ8,7160.A0A182GYJ7,7160.A0A182H540,7160.A0A182HAX7,7160.A0A182HEJ7","RP20_CCG002759,RP20_CCG007587,RP20_CCG005310,RP20_CCG009132,RP20_CCG018205,RP20_CCG021891,RP20_CCG025574,RP20_CCG027949",GO Biological Process,co2,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0006796,Phosphate-containing compound metabolic process,13,899,0.54,0.34,0.0332,"7160.A0A182G4J4,7160.A0A182G5Y8,7160.A0A182G6F8,7160.A0A182G7S2,7160.A0A182GDW5,7160.A0A182GE93,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0X1,7160.A0A182H2D7,7160.A0A182H3T2,7160.A0A182HC90","RP20_CCG002759,RP20_CCG003693,RP20_CCG003981,RP20_CCG004782,RP20_CCG008228,RP20_CCG005310,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019480,RP20_CCG020338,RP20_CCG021138,RP20_CCG026429",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0002011,Morphogenesis of an epithelial sheet,3,19,1.57,0.46,0.0343,"7160.A0A023ER47,7160.A0A182GX42,7160.A0A182GYJ7","RP20_CCG004430,RP20_CCG017400,RP20_CCG018205",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0006725,Cellular aromatic compound metabolic process,19,1792,0.4,0.31,0.0343,"7160.A0A023EKS2,7160.A0A023EMA3,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G1E7,7160.A0A182G3H6,7160.A0A182G4J4,7160.A0A182G625,7160.A0A182G6F8,7160.A0A182GDW5,7160.A0A182GP17,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H2N2,7160.A0A182H3T2,7160.A0A182H4D2,7160.A0A182H540,7160.A0A182HBT0,7160.A0A182HDC1","RP20_CCG016093,RP20_CCG026959,RP20_CCG024680,RP20_CCG000108,RP20_CCG000617,RP20_CCG002131,RP20_CCG002759,RP20_CCG003755,RP20_CCG003981,RP20_CCG008228,RP20_CCG013225,RP20_CCG018205,RP20_CCG019170,RP20_CCG020475,RP20_CCG021138,RP20_CCG028366,RP20_CCG021891,RP20_CCG026128,RP20_CCG027115",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0048522,Positive regulation of cellular process,19,1772,0.41,0.31,0.0343,"7160.A0A023ER47,7160.A0A023ERC2,7160.A0A023ERG4,7160.A0A182G353,7160.A0A182G3H6,7160.A0A182G737,7160.A0A182GCM0,7160.A0A182GE93,7160.A0A182GEE1,7160.A0A182GLJ3,7160.A0A182GP17,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H0D2,7160.A0A182H540,7160.A0A182HAX7,7160.A0A182HCV9,7160.A0A182HEJ7","RP20_CCG004430,RP20_CCG011691,RP20_CCG024680,RP20_CCG001887,RP20_CCG002131,RP20_CCG004387,RP20_CCG007587,RP20_CCG005310,RP20_CCG008473,RP20_CCG012016,RP20_CCG013225,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG019170,RP20_CCG021891,RP20_CCG025574,RP20_CCG026807,RP20_CCG027949",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0009893,Positive regulation of metabolic process,14,1067,0.49,0.33,0.0362,"7160.A0A023ER47,7160.A0A023ERC2,7160.A0A023ERG4,7160.A0A182G0P2,7160.A0A182G323,7160.A0A182G3H6,7160.A0A182G737,7160.A0A182GE93,7160.A0A182GP17,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H540,7160.A0A182HAX7,7160.A0A182HEJ7","RP20_CCG004430,RP20_CCG011691,RP20_CCG024680,RP20_CCG000108,RP20_CCG001783,RP20_CCG002131,RP20_CCG004387,RP20_CCG005310,RP20_CCG013225,RP20_CCG017400,RP20_CCG018205,RP20_CCG021891,RP20_CCG025574,RP20_CCG027949",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0035556,Intracellular signal transduction,9,455,0.67,0.36,0.0362,"7160.A0A023ER47,7160.A0A182G1N6,7160.A0A182GCM0,7160.A0A182GE93,7160.A0A182GP17,7160.A0A182GWN6,7160.A0A182GX42,7160.A0A182GYJ7,7160.A0A182H3T2","RP20_CCG004430,RP20_CCG000856,RP20_CCG007587,RP20_CCG005310,RP20_CCG013225,RP20_CCG017164,RP20_CCG017400,RP20_CCG018205,RP20_CCG021138",GO Biological Process,NA,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
Aedes albopictus,aal-mir-87,GO:0007406,Negative regulation of neuroblast proliferation,3,22,1.51,0.45,0.0369,"7160.A0A182G7S2,7160.A0A182GX42,7160.A0A182H4D2","RP20_CCG004782,RP20_CCG017400,RP20_CCG028366",GO Biological Process,neuro,stringdb,STRINGv12.0,7160,asian tiger mosquito,STRING.7160.Aedes
