miRNA-transcript	Coordinates	numberTargets
aae-miR-1175-3p#AALF013860-RA.1	30-37,19-27	2
aae-miR-276-3p#AALF011919-RA.1	3296-3302,1334-1340	2
aae-miR-305-5p#AALF028050-RA.1	7220-7234,4659-4665	2
aae-miR-1175-3p#AALF015582-RA.1	1168-1176,1180-1187	2
aae-miR-1175-3p#AALF000983-RA.1	9629-9635,14407-14413	2
aae-miR-11900#AALF010242-RA.1	898-906,910-916,1273-1282	3
aae-miR-1175-3p#AALF021458-RA.1	29396-29402,15143-15151	2
aae-bantam-5p#AALF018968-RA.1	683-689,671-679	2
aae-miR-305-5p#AALF020202-RA.1	123-130,258-264	2
aae-miR-11900#AALF004754-RA.1	4525-4537,9605-9612,7717-7723	3
aae-miR-11900#AALF018904-RA.1	3794-3800,6216-6227	2
aae-miR-11900#AALF004881-RA.1	2405-2413,2395-2403,721-730	3
aae-miR-1175-3p#AALF003978-RA.1	7793-7799,11720-11727	2
aae-miR-3368-5p#AALF008785-RA.1	19555-19562,25647-25654	2
aae-miR-11900#AALF021891-RA.1	2200-2210,1725-1732	2
aae-miR-11900#AALF012319-RA.1	15867-15879,17691-17697	2
aae-miR-11900#AALF007205-RA.1	2768-2775,4440-4448,1326-1335	3
aae-bantam-5p#AALF003159-RA.1	11224-11231,11456-11462	2
aae-miR-10-5p#AALF004754-RA.1	10854-10860,1633-1639	2
aae-miR-305-5p#AALF014727-RA.1	1202-1210,10242-10249	2
aae-miR-932-5p#AALF017793-RA.1	23397-23403,3662-3668,23553-23559,25751-25758,9977-9983	5
aae-miR-210-5p#AALF023790-RA.1	14968-14975,13231-13238	2
aae-miR-3722-5p#AALF008303-RA.1	116-123,139-146	2
aae-miR-305-5p#AALF025534-RA.1	40-47,55-62	2
aae-miR-11900#AALF005091-RA.1	508-514,518-528	2
aae-miR-11900#AALF001556-RA.1	1964-1976,3322-3333	2
aae-miR-276-3p#AALF016401-RA.1	3894-3900,133-140	2
aae-miR-2945-3p#AALF016231-RA.1	2521-2527,222-228,5794-5800	3
aae-miR-11900#AALF013836-RA.1	17198-17205,2315-2322,5752-5758,10323-10329,10750-10757	5
aae-miR-11900#AALF001707-RA.1	6810-6817,7107-7117	2
aae-miR-11900#AALF008086-RA.1	365-372,348-356	2
aae-miR-1175-3p#AALF010242-RA.1	10778-10784,517-524	2
aae-bantam-5p#AALF027115-RA.1	9775-9783,4946-4953,11283-11290	3
aae-miR-276-3p#AALF022521-RA.1	20094-20101,18867-18874	2
aae-miR-1000-5p#AALF024568-RA.1	766-772,737-743	2
aae-let-7#AALF007520-RA.1	13262-13268,15781-15787	2
aae-miR-305-5p#AALF008785-RA.1	10770-10778,11721-11728	2
aae-miR-2945-3p#AALF012319-RA.1	16171-16177,9583-9590	2
aae-miR-1175-3p#AALF007205-RA.1	10002-10008,2143-2150	2
aae-miR-276-3p#AALF017793-RA.1	2692-2699,2738-2744,23446-23453,1784-1792	4
aae-miR-1000-5p#AALF023738-RA.1	5381-5388,674-680,4995-5002	3
aae-bantam-5p#AALF007205-RA.1	1956-1963,6971-6977	2
aae-miR-3722-5p#AALF019692-RA.1	1623-1629,14330-14336	2
aae-miR-11900#AALF001702-RA.1	1084-1091,985-991	2
aae-miR-5108-5p#AALF026228-RA.1	7466-7473,7197-7203	2
aae-miR-11900#AALF023649-RA.1	7365-7380,950-961,8273-8281	3
aae-miR-11900#AALF007357-RA.1	1383-1394,1678-1685,468-475	3
aae-miR-1000-5p#AALF021458-RA.1	3875-3881,24900-24906	2
aae-miR-2945-3p#AALF003693-RA.1	2086-2093,17586-17592	2
aae-miR-11900#AALF005050-RA.1	1333-1342,697-704	2
aae-miR-11900#AALF027262-RA.1	683-696,784-791	2
aae-miR-11900#AALF024816-RA.1	2189-2195,1903-1913,7231-7237	3
aae-miR-5119-5p#AALF002233-RA.1	13475-13482,14168-14174	2
aae-miR-3722-5p#AALF014425-RA.1	474-480,1271-1279	2
aae-miR-11900#AALF002233-RA.1	902-909,10247-10255,15630-15639	3
aae-miR-2945-3p#AALF014059-RA.1	758-765,1095-1102	2
aae-bantam-5p#AALF022521-RA.1	24598-24605,7850-7856	2
aae-miR-5108-5p#AALF021458-RA.1	22149-22155,23280-23288	2
aae-miR-305-5p#AALF011241-RA.1	859-865,845-853	2
aae-miR-1175-3p#AALF017793-RA.1	2417-2423,4044-4051	2
aae-miR-11900#AALF021296-RA.1	515-526,412-419	2
aae-miR-305-5p#AALF009833-RA.1	58-64,44-52	2
aae-miR-276-3p#AALF003954-RA.1	3139-3145,131-138	2
aae-miR-932-5p#AALF022521-RA.1	22426-22432,10390-10397	2
aae-miR-3368-5p#AALF007527-RA.1	12889-12896,13621-13628	2
aae-miR-1175-3p#AALF014445-RA.1	4731-4738,1790-1797,1778-1785,2963-2969,6401-6407,6387-6395	6
aae-miR-11900#AALF021882-RA.1	1293-1300,135-142	2
aae-bantam-5p#AALF006880-RA.1	3413-3420,3433-3439	2
aae-miR-11900#AALF008942-RA.1	3350-3357,3336-3344	2
aae-miR-5119-5p#AALF020977-RA.1	1539-1546,3273-3279	2
aae-miR-11900#AALF007653-RA.1	629-636,643-650	2
aae-miR-305-5p#AALF015582-RA.1	2322-2329,7170-7176	2
aae-miR-11900#AALF005731-RA.1	1588-1600,1118-1125	2
aae-miR-276-3p#AALF003534-RA.1	1087-1094,1757-1763	2
aae-miR-305-5p#AALF021458-RA.1	5987-5993,25514-25521,6568-6575,14835-14841,21155-21163,1080-1088	6
aae-miR-11900#AALF016307-RA.1	1735-1742,1543-1554	2
aae-miR-11900#AALF016401-RA.1	18439-18446,12200-12210,20351-20357,13143-13150,22501-22507,10302-10313,14029-14036	7
aae-miR-11900#AALF021348-RA.1	1337-1346,700-710	2
aae-miR-11900#AALF026517-RA.1	326-333,666-674	2
aae-miR-3368-5p#AALF012319-RA.1	14858-14865,14767-14774	2
aae-miR-305-5p#AALF011997-RA.1	2206-2212,4749-4755	2
aae-miR-11900#AALF022521-RA.1	920-927,26418-26429,13009-13020,7027-7045	4
aae-miR-305-5p#AALF022771-RA.1	7132-7138,19644-19651	2
aae-miR-11900#AALF020334-RA.1	1668-1675,8457-8464	2
aae-miR-11900#AALF002035-RA.1	264-271,358-365	2
aae-miR-1000-5p#AALF003693-RA.1	9714-9722,10375-10382	2
aae-miR-999-3p#AALF002317-RA.1	921-927,12427-12433	2
aae-miR-999-3p#AALF021651-RA.1	6449-6455,9090-9096	2
aae-miR-305-5p#AALF016231-RA.1	911-919,4183-4191	2
aae-miR-11900#AALF014144-RA.1	134-140,148-159	2
aae-miR-999-3p#AALF020595-RA.1	924-931,459-465	2
aae-miR-11900#AALF002219-RA.1	366-374,9893-9900	2
aae-miR-1000-5p#AALF019692-RA.1	5706-5714,1566-1572	2
aae-miR-1175-3p#AALF028469-RA.1	6730-6737,6743-6749	2
aae-miR-124-3p#AALF009737-RA.1	5074-5081,6191-6197	2
aae-miR-11900#AALF028127-RA.1	532-539,1476-1483	2
aae-miR-305-5p#AALF020387-RA.1	1104-1110,682-688	2
aae-miR-11900#AALF001034-RA.1	562-573,3322-3330,174-181,2037-2045	4
aae-miR-11900#AALF009895-RA.1	1098-1107,1086-1092	2
aae-miR-11900#AALF028050-RA.1	10837-10847,5338-5349	2
aae-miR-1175-3p#AALF027635-RA.1	884-890,875-882	2
aae-miR-5108-5p#AALF003693-RA.1	27245-27252,2312-2319	2
aae-miR-276-3p#AALF014226-RA.1	3915-3922,3940-3946,5841-5847,3431-3439,2458-2465,3443-3449	6
aae-miR-11900#AALF001345-RA.1	3873-3879,3859-3865	2
aae-miR-10-5p#AALF001034-RA.1	3021-3027,2838-2845	2
aae-miR-124-3p#AALF007988-RA.1	5333-5340,5845-5852	2
aae-miR-932-5p#AALF008785-RA.1	19477-19483,15557-15564,20165-20171,12489-12496	4
aae-miR-2945-3p#AALF003537-RA.1	153-159,277-283	2
aae-miR-1175-3p#AALF022521-RA.1	25097-25105,25107-25114,23203-23209,38242-38249,31224-31232,24925-24931,26963-26969	7
aae-miR-11900#AALF025948-RA.1	5015-5026,4654-4661,13366-13372	3
aae-miR-3722-5p#AALF024898-RA.1	852-858,799-806	2
aae-miR-1175-3p#AALF026317-RA.1	3337-3343,3325-3332,2459-2465,3385-3391,4402-4409,3091-3098,1773-1779,3394-3401	8
aae-miR-11900#AALF014727-RA.1	1416-1428,6516-6523,4885-4893,11557-11565	4
aae-miR-1175-3p#AALF012626-RA.1	9861-9867,5761-5767	2
aae-miR-276-3p#AALF015582-RA.1	4769-4776,5055-5062	2
aae-miR-124-3p#AALF012319-RA.1	8310-8316,16312-16318	2
aae-miR-11900#AALF013415-RA.1	495-503,6080-6086	2
aae-miR-305-5p#AALF013836-RA.1	1518-1525,811-817	2
aae-miR-11900#AALF007595-RA.1	683-690,588-601	2
aae-miR-11900#AALF007937-RA.1	10163-10170,8123-8136	2
aae-miR-276-3p#AALF023668-RA.1	1114-1120,1156-1163,1192-1199,1559-1567	4
aae-bantam-5p#AALF012626-RA.1	25972-25980,25984-25990,22286-22293	3
aae-miR-11900#AALF019823-RA.1	180-188,796-804	2
aae-miR-1000-5p#AALF002233-RA.1	6864-6871,16255-16261	2
aae-miR-305-5p#AALF003693-RA.1	25958-25966,25972-25978	2
