#node	identifier	x_position	y_position	color	annotation
RP20_CCG001121	7160.A0A182G215	0.2466535433070866	0.520194750211685	rgb(239,133,117)	Ig-like domain-containing protein.
RP20_CCG001269	7160.A0A182G2A3	0.30122047244094485	0.7903471634208299	rgb(117,130,239)	Uncharacterized protein.
RP20_CCG001317	7160.A0A182G9V6	0.6403149606299213	0.7530059271803556	rgb(117,239,183)	Uncharacterized protein.
RP20_CCG001321	7160.A0A182G2C1	0.4620866141732283	0.23365791701947503	rgb(117,239,161)	Uncharacterized protein.
RP20_CCG001337	7160.A0A182G2D0	0.24098425196850393	0.4043607112616427	rgb(117,195,239)	SCP domain-containing protein; Belongs to the CRISP family.
RP20_CCG001475	7160.A0A182G2J8	0.27181102362204723	0.213844199830652	rgb(117,239,123)	Non-lysosomal glucosylceramidase; Non-lysosomal glucosylceramidase that catalyzes the hydrolysis of glucosylceramide (GlcCer) to free glucose and ceramide.
RP20_CCG001505	7160.A0A182G2L9	0.2587007874015748	0.7823454699407283	rgb(117,117,239)	Uncharacterized protein.
RP20_CCG001521	7160.A0A182G2M7	0.3401968503937008	0.4401778154106689	rgb(117,239,236)	HSA domain-containing protein.
RP20_CCG001549	7160.A0A182G2N5	0.3125590551181102	0.48666384419983066	rgb(178,171,0)	t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.
RP20_CCG001556	7160.A0A182G2N8	0.4280708661417323	0.31100762066045723	rgb(117,159,239)	Uncharacterized protein.
RP20_CCG001575	7160.A0A182G2Q0	0.39086614173228346	0.6924216765453006	rgb(117,117,239)	E3 ubiquitin-protein ligase parkin; Functions within a multiprotein E3 ubiquitin ligase complex, catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins; Belongs to the RBR family. Parkin subfamily.
RP20_CCG001576	7160.A0A182G2Q1	0.5609448818897639	0.3662574089754445	rgb(239,200,117)	Cleavage and polyadenylation specificity factor subunit 5; Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The  [...] 
RP20_CCG001707	7160.A0A182G2Y4	0.564488188976378	0.7903471634208299	rgb(239,165,117)	Uncharacterized protein.
RP20_CCG001813	7160.A0A182G335	0.24098425196850393	0.3007197290431837	rgb(117,239,227)	Uncharacterized protein.
RP20_CCG001881	7160.A0A182G352	0.4195669291338583	0.33310753598645215	rgb(117,157,239)	Kinesin-like protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
RP20_CCG001887	7160.A0A182G353	0.36570866141732283	0.23365791701947503	rgb(239,197,117)	Uncharacterized protein.
RP20_CCG001937	7160.A0A182G364	0.5698031496062993	0.22756138865368336	rgb(239,184,117)	Uncharacterized protein.
RP20_CCG002028	7160.A0A182G3B9	0.40433070866141735	0.4641828958509738	rgb(117,132,239)	Uncharacterized protein.
RP20_CCG002053	7160.A0A182G3D4	0.6888582677165356	0.31900931414055883	rgb(117,239,208)	Uncharacterized protein.
RP20_CCG002124	7160.A0A182G3H4	0.23531496062992124	0.2824301439458086	rgb(117,239,191)	Reverse transcriptase Ty1/copia-type domain-containing protein.
RP20_CCG002131	7160.A0A182G3H6	0.6240157480314961	0.4729466553767993	rgb(117,239,126)	Transcription elongation factor SPT5.
RP20_CCG002133	7160.A0A182G3H7	0.16692913385826771	0.3491109229466554	rgb(117,117,239)	ANK_REP_REGION domain-containing protein.
RP20_CCG002156	7160.A0A182G3J1	0.5329527559055118	0.45732430143945807	rgb(117,239,166)	Uncharacterized protein.
RP20_CCG002202	7160.A0A182G3M2	0.22397637795275593	0.3555884843353091	rgb(239,189,117)	Integrase catalytic domain-containing protein.
RP20_CCG002230	7160.A0A182G3N4	0.20059055118110236	0.6333615580016936	rgb(239,122,117)	Uncharacterized protein.
RP20_CCG002233	7160.A0A182G3N7	0.7381102362204724	0.4234123624047417	rgb(117,227,239)	Uncharacterized protein.
RP20_CCG002273	7160.A0A182G3Q9	0.44507874015748033	0.21536833192209992	rgb(117,239,204)	Uncharacterized protein.
RP20_CCG002280	7160.A0A182G3R2	0.5698031496062993	0.2092718035563082	rgb(149,239,117)	Uncharacterized protein.
RP20_CCG002318	7160.A0A182G3U2	0.7076377952755906	0.46532599491955967	rgb(239,119,117)	Uncharacterized protein.
RP20_CCG002568	7160.A0A182G473	0.7058661417322836	0.22756138865368336	rgb(117,239,129)	Uncharacterized protein.
RP20_CCG002589	7160.A0A182G484	0.5357874015748032	0.7335732430143946	rgb(117,239,211)	Uncharacterized protein.
RP20_CCG002728	7160.A0A182G4H0	0.4167322834645669	0.12887383573243016	rgb(239,219,117)	Protein quiver.
RP20_CCG002743	7160.A0A182G4I0	0.21830708661417325	0.6665114309906859	rgb(213,239,117)	Uncharacterized protein.
RP20_CCG002759	7160.A0A182G4J4	0.6463385826771655	0.6748941574936494	rgb(117,142,239)	Acetyl-coenzyme A synthetase.
RP20_CCG002897	7160.A0A182G4R2	0.2158267716535433	0.2633784928027096	rgb(239,238,117)	Glutathione synthetase.
RP20_CCG002936	7160.A0A182G4S7	0.4425984251968504	0.7838696020321761	rgb(176,239,117)	Uncharacterized protein.
RP20_CCG002937	7160.A0A182G4S8	0.5099212598425197	0.3494919559695173	rgb(239,120,117)	Exocyst complex component; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.
RP20_CCG002972	7160.A0A182G4U6	0.21830708661417325	0.5506773920406436	rgb(121,239,117)	BTB domain-containing protein.
RP20_CCG002974	7160.A0A182G4U8	0.5173622047244095	0.5834462320067739	rgb(117,239,226)	Ubiquitinyl hydrolase 1.
RP20_CCG002976	7160.A0A182G4V0	0.21263779527559057	0.684801016088061	rgb(117,165,239)	Uncharacterized protein.
RP20_CCG003006	7160.A0A182G4X0	0.4674015748031496	0.7648179508890771	rgb(239,226,117)	Mitochondrial fission 1 protein; Involved in the fragmentation of the mitochondrial network and its perinuclear clustering.
RP20_CCG003160	7160.A0A182G948	0.18429133858267716	0.3860711261642676	rgb(117,180,239)	Uncharacterized protein.
RP20_CCG003196	7160.A0A182G573	0.6133858267716537	0.5918289585097376	rgb(228,239,117)	Uncharacterized protein.
RP20_CCG003235	7160.A0A182G593	0.35401574803149605	0.4138865368331922	rgb(117,239,222)	t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.
RP20_CCG003245	7160.A0A182G598	0.6877952755905512	0.33653683319221	rgb(117,202,239)	Uncharacterized protein.
RP20_CCG003299	7160.A0A182G5B9	0.7547637795275591	0.5758255715495343	rgb(226,239,117)	WD_REPEATS_REGION domain-containing protein.
RP20_CCG003330	7160.A0A182G5D5	0.21263779527559057	0.6177392040643523	rgb(117,239,217)	Uncharacterized protein.
RP20_CCG003366	7160.A0A182G5F4	0.21263779527559057	0.4836155800169348	rgb(117,239,119)	ANK_REP_REGION domain-containing protein.
RP20_CCG003410	7160.A0A023EJQ3	0.41885826771653545	0.5339119390347163	rgb(117,239,146)	Putative secreted protein.
RP20_CCG003480	7160.A0A182G5M6	0.5003543307086614	0.5541066892464015	rgb(117,239,196)	Uncharacterized protein.
RP20_CCG003534	7160.A0A023EJP8	0.32070866141732285	0.3910245554614733	rgb(117,214,239)	ER lumen protein-retaining receptor.
RP20_CCG003603	7160.A0A182G5U1	0.21263779527559057	0.20317527519051654	rgb(239,233,117)	ANK_REP_REGION domain-containing protein.
RP20_CCG003693	7160.A0A182G5Y8	0.577244094488189	0.5903048264182896	rgb(143,239,117)	SER_THR_PHOSPHATASE domain-containing protein.
RP20_CCG003697	7160.A0A023EIB6	0.38236220472440946	0.4100762066045724	rgb(117,230,239)	Putative gtp-binding protein.
RP20_CCG003706	7160.A0A182G5Z9	0.5301181102362206	0.19707874682472482	rgb(239,232,117)	SH3 domain-containing protein.
RP20_CCG003762	7160.A0A182G632	0.7172047244094488	0.6665114309906859	rgb(117,208,239)	Reverse transcriptase domain-containing protein.
RP20_CCG003867	7160.A0A182G698	0.7349212598425197	0.39216765453005925	rgb(239,193,117)	Uncharacterized protein.
RP20_CCG003891	7160.A0A182G6A9	0.661220472440945	0.23365791701947503	rgb(117,239,157)	Uncharacterized protein.
RP20_CCG003951	7160.A0A182G6D5	0.20696850393700789	0.5140982218458933	rgb(117,117,239)	Reverse transcriptase Ty1/copia-type domain-containing protein.
RP20_CCG003954	7160.A0A182G6D8	0.20696850393700789	0.23975444538526675	rgb(117,117,239)	DUF4219 domain-containing protein.
RP20_CCG003981	7160.A0A182G6F8	0.2891732283464567	0.40474174428450466	rgb(239,171,117)	Non-specific serine/threonine protein kinase.
RP20_CCG004030	7160.A0A023ED66	0.3752755905511811	0.6562235393734125	rgb(160,239,117)	60S ribosomal protein L36; Belongs to the eukaryotic ribosomal protein eL36 family.
RP20_CCG004117	7160.A0A182G6M7	0.5244488188976378	0.7518628281117697	rgb(117,117,239)	Uncharacterized protein.
RP20_CCG004132	7160.A0A182G6N6	0.5694488188976379	0.36892464013547843	rgb(117,117,239)	Uncharacterized protein.
RP20_CCG004135	7160.A0A182G6N9	0.2012992125984252	0.3312023708721422	rgb(239,225,117)	Reverse transcriptase domain-containing protein.
RP20_CCG004137	7160.A0A182G6P1	0.287755905511811	0.6794665537679933	rgb(148,239,117)	Peptidase_M3 domain-containing protein.
RP20_CCG004148	7160.A0A182G6Q0	0.2806692913385827	0.1909822184589331	rgb(165,239,117)	Uncharacterized protein.
RP20_CCG004244	7160.A0A182G6V7	0.6364173228346457	0.7209991532599492	rgb(190,239,117)	Transket_pyr domain-containing protein.
RP20_CCG004255	7160.A0A182G6W1	0.7200393700787402	0.6924216765453006	rgb(218,239,117)	Uncharacterized protein.
RP20_CCG004387	7160.A0A182G737	0.36570866141732283	0.1909822184589331	rgb(239,144,117)	Uncharacterized protein.
RP20_CCG004462	7160.A0A182G786	0.2810236220472441	0.6756562235393735	rgb(117,117,239)	RING-CH-type domain-containing protein.
RP20_CCG004464	7160.A0A182G788	0.4897244094488189	0.7812023708721424	rgb(166,239,117)	Thioredoxin domain-containing protein.
RP20_CCG004536	7160.A0A182G7C0	0.6378346456692914	0.18488569009314143	rgb(239,138,117)	Uncharacterized protein; Belongs to the Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family.
RP20_CCG004560	7160.A0A182G7D1	0.6778740157480315	0.2736663844199831	rgb(239,202,117)	RRM domain-containing protein.
RP20_CCG004573	7160.A0A182G7E3	0.7285433070866142	0.7396697713801864	rgb(239,212,117)	GRIP domain-containing protein.
RP20_CCG004593	7160.A0A182G7F0	0.5116929133858268	0.5	rgb(117,239,212)	Zinc-hook domain-containing protein.
RP20_CCG004603	7160.A0A182G7F5	0.3256692913385827	0.34110922946655375	rgb(117,117,239)	SEC7 domain-containing protein.
RP20_CCG004658	7160.A0A182G7J1	0.3373622047244094	0.7579593564775614	rgb(117,239,213)	Uncharacterized protein.
RP20_CCG004693	7160.A0A182G7L0	0.81996062992126	0.33653683319221	rgb(178,239,117)	Integrase catalytic domain-containing protein.
RP20_CCG004716	7160.A0A182G7M8	0.19562992125984252	0.18488569009314143	rgb(239,134,117)	RNase H domain-containing protein.
RP20_CCG004756	7160.A0A182G7Q9	0.18996062992125984	0.7213801862828112	rgb(117,210,239)	Uncharacterized protein.
RP20_CCG004768	7160.A0A182G7R3	0.5931889763779529	0.172692633361558	rgb(239,204,117)	Uncharacterized protein.
RP20_CCG004770	7160.A0A182G7R5	0.3465748031496063	0.459229466553768	rgb(117,239,239)	BRK domain-containing protein.
RP20_CCG004781	7160.A0A182G7S1	0.18996062992125984	0.7030906011854361	rgb(239,208,117)	Uncharacterized protein.
RP20_CCG005275	7160.A0A182G8P0	0.8536220472440945	0.3071972904318374	rgb(117,239,205)	Integrase catalytic domain-containing protein.
RP20_CCG005310	7160.A0A182GE93	0.21830708661417325	0.78844199830652	rgb(234,239,117)	Non-specific serine/threonine protein kinase.
RP20_CCG005400	7160.A0A182G8W7	0.18996062992125984	0.4409398814563929	rgb(147,239,117)	Uncharacterized protein.
RP20_CCG005408	7160.A0A182G8X1	0.18996062992125984	0.22146486028789164	rgb(117,117,239)	Aa_trans domain-containing protein.
RP20_CCG005431	7160.A0A182G8Y8	0.18429133858267716	0.5811600338696021	rgb(117,237,239)	Uncharacterized protein.
RP20_CCG005533	7160.A0A182G944	0.18429133858267716	0.4226502963590178	rgb(167,239,117)	Uncharacterized protein.
RP20_CCG005712	7160.A0A182G9F1	0.275	0.172692633361558	rgb(117,117,239)	Uncharacterized protein.
RP20_CCG005741	7160.A0A182G9G7	0.41708661417322834	0.35863674851820493	rgb(239,152,117)	Protein kinase C; Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily.
RP20_CCG005748	7160.A0A182G9H4	0.36570866141732283	0.172692633361558	rgb(117,239,177)	Uncharacterized protein.
RP20_CCG005764	7160.A0A182G9I6	0.4620866141732283	0.16659610499576633	rgb(117,117,239)	AA_permease_C domain-containing protein.
RP20_CCG005983	7160.A0A182G9V4	0.6378346456692914	0.16659610499576633	rgb(117,155,239)	EGF-like domain-containing protein.
RP20_CCG006076	7160.A0A182GA07	0.6775196850393702	0.16659610499576633	rgb(239,157,117)	Uncharacterized protein.
RP20_CCG006156	7160.A0A182GA53	0.5566929133858268	0.5034292972057578	rgb(117,117,239)	Uncharacterized protein.
RP20_CCG006184	7160.A0A182GA62	0.7172047244094488	0.16659610499576633	rgb(117,233,239)	Uncharacterized protein.
RP20_CCG006215	7160.A0A182GA81	0.18996062992125984	0.2976714648602879	rgb(239,127,117)	Aminopeptidase.
RP20_CCG006265	7160.A0A182GAB6	0.3625196850393701	0.6939458086367486	rgb(117,170,239)	Methionine aminopeptidase 2; Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met- Ala-, Cys, Gly, Pro, Ser, Thr, or Val).
RP20_CCG006378	7160.A0A182GAI3	0.17862204724409447	0.6665114309906859	rgb(117,184,239)	C2H2-type domain-containing protein.
RP20_CCG006404	7160.A0A182GAK2	0.7979921259842521	0.5160033869602032	rgb(117,239,144)	SAM domain-containing protein.
RP20_CCG006466	7160.A0A182GAN6	0.17862204724409447	0.5628704487722269	rgb(117,117,239)	RRM domain-containing protein.
RP20_CCG006470	7160.A0A182GAN8	0.17862204724409447	0.46532599491955967	rgb(117,222,239)	PNPLA domain-containing protein.
RP20_CCG006622	7160.A0A182GAX4	0.25196850393700787	0.5674428450465707	rgb(117,185,239)	Uncharacterized protein.
RP20_CCG006673	7160.A0A182GAZ9	0.17862204724409447	0.2824301439458086	rgb(117,117,239)	Retrotrans_gag domain-containing protein.
RP20_CCG006713	7160.A0A182GB21	0.3837795275590551	0.3125317527519052	rgb(117,239,128)	S5A_REDUCTASE domain-containing protein.
RP20_CCG006763	7160.A0A182GB50	0.6208267716535434	0.2401354784081287	rgb(117,117,239)	Integrase catalytic domain-containing protein.
RP20_CCG006898	7160.A0A182GBE1	0.17862204724409447	0.2641405588484335	rgb(239,209,117)	Uncharacterized protein.
RP20_CCG006899	7160.A0A182GBE2	0.5630708661417323	0.47828111769686704	rgb(117,238,239)	Uncharacterized protein; Belongs to the SNF2/RAD54 helicase family. SMARCAL1 subfamily.
RP20_CCG006965	7160.A0A182GBH6	0.7675196850393702	0.7758679085520745	rgb(117,228,239)	PlsC domain-containing protein; Belongs to the GPAT/DAPAT family.
RP20_CCG007000	7160.A0A182GBK3	0.6782283464566929	0.49657070279424215	rgb(239,199,117)	EAF domain-containing protein.
RP20_CCG007010	7160.A0A182GBK9	0.17862204724409447	0.16659610499576633	rgb(184,239,117)	Uncharacterized protein.
RP20_CCG007119	7160.A0A182GBS7	0.4666929133858268	0.2839542760372566	rgb(164,239,117)	Uncharacterized protein.
RP20_CCG007128	7160.A0A182GBT2	0.31468503937007875	0.16659610499576633	rgb(239,125,117)	DEP domain-containing protein.
RP20_CCG007174	7160.A0A182GBV7	0.34799212598425194	0.6265029635901779	rgb(117,239,149)	Uncharacterized protein.
RP20_CCG007211	7160.A0A182GBY5	0.8709842519685039	0.8406435224386114	rgb(117,117,239)	Reverse transcriptase domain-containing protein.
RP20_CCG007218	7160.A0A182GBY9	0.5017716535433071	0.1604995766299746	rgb(172,239,117)	Reverse transcriptase domain-containing protein.
RP20_CCG007238	7160.A0A182GBZ5	0.8025984251968504	0.86922099915326	rgb(117,174,239)	Integrase catalytic domain-containing protein.
RP20_CCG007284	7160.A0A182GC25	0.5414566929133859	0.1604995766299746	rgb(117,239,223)	Glyco_tran_10_N domain-containing protein.
RP20_CCG007310	7160.A0A182GC41	0.7806299212598427	0.7389077053344624	rgb(239,182,117)	PlsC domain-containing protein.
RP20_CCG007311	7160.A0A182GC42	0.7278346456692913	0.7640558848433531	rgb(229,239,117)	Uncharacterized protein.
RP20_CCG007352	7160.A0A182GC69	0.7512204724409449	0.46532599491955967	rgb(117,239,232)	Reverse transcriptase domain-containing protein.
RP20_CCG007410	7160.A0A023EIL7	0.25763779527559055	0.5643945808636749	rgb(223,239,117)	Glucosamine 6-phosphate N-acetyltransferase; Belongs to the acetyltransferase family. GNA1 subfamily.
RP20_CCG007416	7160.A0A182GCB3	0.7285433070866142	0.7823454699407283	rgb(117,187,239)	Uncharacterized protein.
RP20_CCG007423	7160.A0A182GCC0	0.45641732283464564	0.49276037256562233	rgb(239,222,117)	Aldo_ket_red domain-containing protein.
RP20_CCG007427	7160.A0A182GCC4	0.4812204724409449	0.5369602032176122	rgb(239,188,117)	Aldo_ket_red domain-containing protein.
RP20_CCG007463	7160.A0A182GCE9	0.22858267716535435	0.7008044030482643	rgb(239,221,117)	Uncharacterized protein.
RP20_CCG007490	7160.A0A182GCG5	0.2037795275590551	0.5335309060118544	rgb(117,188,239)	Protein kinase domain-containing protein.
RP20_CCG007527	7160.A0A182GCI3	0.6378346456692914	0.7823454699407283	rgb(117,170,239)	MOR2-PAG1_N domain-containing protein.
RP20_CCG007750	7160.A0A182GCX7	0.512755905511811	0.6413632514817952	rgb(117,239,238)	Uncharacterized protein.
RP20_CCG007786	7160.A0A182GD08	0.17295275590551182	0.684801016088061	rgb(117,239,219)	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.
RP20_CCG007836	7160.A0A182GD47	0.19562992125984252	0.7430990685859441	rgb(239,155,117)	Uncharacterized protein.
RP20_CCG007886	7160.A0A182GD72	0.22220472440944883	0.3754022015241321	rgb(117,239,162)	Protein cactus (TOLL pathway signalling).
RP20_CCG007915	7160.A0A182H691	0.5414566929133859	0.08734123624047418	rgb(255,0,0)	CCHC-type domain-containing protein.
RP20_CCG007967	7160.A0A182GDB5	0.17295275590551182	0.4958086367485182	rgb(117,154,239)	SUN domain-containing protein.
RP20_CCG007976	7160.A0A182GDC3	0.17295275590551182	0.20317527519051654	rgb(155,239,117)	Uncharacterized protein.
RP20_CCG008046	7160.A0A182GDI3	0.43799212598425197	0.5883996613039797	rgb(125,239,117)	Coronin; Belongs to the WD repeat coronin family.
RP20_CCG008080	7160.A0A182GDL1	0.5811417322834647	0.15440304826418288	rgb(117,117,239)	Reverse transcriptase Ty1/copia-type domain-containing protein.
RP20_CCG008086	7160.A0A182GDL6	0.7437795275590552	0.30681625740897545	rgb(117,117,239)	Integrase catalytic domain-containing protein.
RP20_CCG008130	7160.A0A182GDP6	0.3508267716535433	0.5179085520745131	rgb(146,239,117)	Glycogen [starch] synthase; Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan.
RP20_CCG008133	7160.A0A023EHT5	0.2976771653543307	0.31900931414055883	rgb(239,172,117)	Putative amelogenin.
RP20_CCG008228	7160.A0A182GDW5	0.5354330708661418	0.6371718882303133	rgb(239,174,117)	Adenylosuccinate synthetase; Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP.
RP20_CCG008258	7160.A0A182GDY7	0.7568897637795277	0.15440304826418288	rgb(117,137,239)	BACK domain-containing protein.
RP20_CCG008318	7160.A0A182GE25	0.7568897637795277	0.2458509737510584	rgb(214,239,117)	USP domain-containing protein; Belongs to the peptidase C19 family.
RP20_CCG008319	7160.A0A182GE26	0.42984251968503934	0.4329381879762913	rgb(239,129,117)	Serine/threonine-protein phosphatase; Belongs to the PPP phosphatase family.
RP20_CCG008334	7160.A0A182GE35	0.37456692913385825	0.7415749364944962	rgb(117,213,239)	Cation-transporting ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type V subfamily.
RP20_CCG008406	7160.A0A182GE86	0.5074409448818898	0.6916596104995767	rgb(239,183,117)	RRM domain-containing protein.
RP20_CCG008439	7160.A0A182GEB4	0.40114173228346456	0.7907281964436919	rgb(117,117,239)	Uncharacterized protein; Belongs to the GST superfamily.
RP20_CCG008456	7160.A0A182GEC6	0.17862204724409447	0.78844199830652	rgb(239,196,117)	Uncharacterized protein.
RP20_CCG008473	7160.A0A182GEE1	0.16728346456692914	0.5140982218458933	rgb(132,239,117)	Uncharacterized protein.
RP20_CCG008498	7160.A0A182GEG3	0.16728346456692914	0.3677815410668924	rgb(209,239,117)	ATP-dependent DNA helicase; Belongs to the helicase family. RecQ subfamily.
RP20_CCG008536	7160.A0A182GEI8	0.16728346456692914	0.2458509737510584	rgb(117,239,234)	Reverse transcriptase domain-containing protein.
RP20_CCG008617	7160.A0A182GEP3	0.6860236220472441	0.7004233700254022	rgb(239,228,117)	Acyl-coenzyme A oxidase; Belongs to the acyl-CoA oxidase family.
RP20_CCG008622	7160.A0A182GEP8	0.275	0.15440304826418288	rgb(239,217,117)	ATP-dependent DNA helicase; Belongs to the helicase family. RecQ subfamily.
RP20_CCG008643	7160.A0A182GEQ8	0.6743307086614174	0.47180355630821336	rgb(117,239,148)	mRNA_cap_enzyme domain-containing protein.
RP20_CCG008646	7160.A0A182GER1	0.6700787401574804	0.540770533446232	rgb(117,239,118)	Histone H2B; Belongs to the histone H2B family.
RP20_CCG008658	7160.A0A182GER9	0.35437007874015747	0.15440304826418288	rgb(117,117,239)	GCFC domain-containing protein.
RP20_CCG008706	7160.A0A182GEV4	0.3940551181102362	0.15440304826418288	rgb(117,117,239)	Uncharacterized protein.
RP20_CCG008758	7160.A0A182GEY8	0.564488188976378	0.5312447078746826	rgb(117,151,239)	PAP-associated domain-containing protein.
RP20_CCG008767	7160.A0A182GEZ6	0.645984251968504	0.38569009314140557	rgb(117,207,239)	Uncharacterized protein.
RP20_CCG008798	7160.A0A182GF18	0.4620866141732283	0.1483065198983912	rgb(239,201,117)	Glycosyltransferase family 92 protein; Belongs to the glycosyltransferase 92 family.
RP20_CCG008879	7160.A0A182GF70	0.5517322834645669	0.32358171041490263	rgb(239,159,117)	IPPc domain-containing protein.
RP20_CCG008946	7160.A0A182GFC5	0.6208267716535434	0.1483065198983912	rgb(117,239,218)	Clathrin_bdg domain-containing protein.
RP20_CCG008947	7160.A0A182GFC6	0.6346456692913386	0.3113886536833192	rgb(238,239,117)	Uncharacterized protein.
RP20_CCG008969	7160.A0A182GFE7	0.6605118110236221	0.1483065198983912	rgb(239,142,117)	Ubiquitin carboxyl-terminal hydrolase.
RP20_CCG008983	7160.A0A182GFF5	0.7001968503937009	0.1483065198983912	rgb(117,117,239)	Uncharacterized protein.
RP20_CCG008994	7160.A0A182GFG3	0.4291338582677165	0.4832345469940728	rgb(185,239,117)	Uncharacterized protein.
RP20_CCG009017	7160.A0A023EE18	0.23566929133858272	0.16583403895004234	rgb(239,176,117)	Uncharacterized protein.
RP20_CCG009046	7160.A0A182GFK3	0.7944488188976379	0.4756138865368332	rgb(239,195,117)	Uncharacterized protein.
RP20_CCG009132	7160.A0A182GFQ8	0.3341732283464567	0.663844199830652	rgb(101,199,255)	alpha-1,2-Mannosidase; Belongs to the glycosyl hydrolase 47 family.
RP20_CCG009151	7160.A0A182GFS4	0.3281496062992126	0.2904318374259102	rgb(117,117,239)	HECT domain-containing protein.
RP20_CCG009155	7160.A0A023ER33	0.36712598425196846	0.4839966130397968	rgb(117,117,239)	Putative 26s proteasome regulatory complex subunit.
RP20_CCG009226	7160.A0A182GFX2	0.4117716535433071	0.2812870448772227	rgb(127,239,117)	PX domain-containing protein.
