#node	identifier	domain_summary_url	annotation	other_names_and_aliases	kegg_id
RP20_CCG000432	7160.A0A182G149	MFS domain-containing protein; Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family.	https://smart.embl.de/smart/DDvec.cgi?smart=553:Pfam_MFS_1(74|476)+	109412654,A0A182G149,A0A182G149_AEDAL,MFS domain-containing protein,RP20_CCG000432,XP_029720655,aalb:109412654	aalb:109412654
RP20_CCG000437	7160.A0A182G151	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=112:Pfam_Abdominal-A(6|29)+	A0A182G151,A0A182G151_AEDAL,RP20_CCG000437,Uncharacterized protein	
RP20_CCG000451	7160.A0A182G158	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=2139:PHD(23|68)+Pfam_DUF1759(510|655)+Pfam_Peptidase_A17(1351|1515)+rve(1813|1943)+	A0A182G158,A0A182G158_AEDAL,RP20_CCG000451,Uncharacterized protein	
RP20_CCG000613	7160.A0A182G1E4	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=156:	A0A182G1E4,A0A182G1E4_AEDAL,RP20_CCG000613,Uncharacterized protein	
RP20_CCG000617	7160.A0A182G1E7	Exonuclease domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=664:EXOIII(328|488)+	109426577,3.1.-.-,A0A182G1E7,A0A182G1E7_AEDAL,EC 3.1.-.-,Exonuclease domain-containing protein,RNA exonuclease 1,RNA exonuclease 1 isoform X1,RP20_CCG000617,XP_019557655,aalb:109426577	aalb:109426577
RP20_CCG000723	7160.A0A182G1I1	Sodium channel protein; Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.	https://smart.embl.de/smart/DDvec.cgi?smart=2056:Pfam_Ion_trans(127|414)+Pfam_Na_trans_cytopl(479|689)+Pfam_Ion_trans(766|997)+Pfam_Na_trans_assoc(1003|1224)+Pfam_Ion_trans(1228|1499)+Pfam_PKD_channel(1632|1794)+Pfam_GPHH(1802|1864)+	109432678,A0A182G1I1,A0A182G1I1_AEDAL,RP20_CCG000723,Sodium channel protein,Sodium channel protein para-like isoform X1,Voltage-gated sodium channel type II alpha,XP_029720946,aalb:109432678	aalb:109432678
RP20_CCG000855	7160.A0A182G1N5	Phospholipid-transporting ATPase; Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=992:TRANS(20|39)+TRANS(74|96)+Pfam_Cation_ATPase(329|460)+Pfam_PhoLip_ATPase_C(721|966)+	115256044,7.6.2.1,A0A182G1N5,A0A182G1N5_AEDAL,EC 7.6.2.1,Phospholipid-translocating ATPase,Phospholipid-transporting ATPase,RP20_CCG000855,XP_029710157,aalb:115256044	aalb:115256044
RP20_CCG000983	7160.A0A182G1U3	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=318:Pfam_Cation_efflux(64|131)+Pfam_Cation_efflux(147|259)+	A0A182G1U3,A0A182G1U3_AEDAL,RP20_CCG000983,Uncharacterized protein	
RP20_CCG001108	7160.A0A182G204	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1017:Pfam_Pkinase_Tyr(36|298)+Pfam_S-methyl_trans(699|1008)+	109430219,2.7.11.1,A0A182G204,A0A182G204_AEDAL,AP2-associated kinase,BMP-2-inducible protein kinase-like isoform X1,EC 2.7.11.1,RP20_CCG001108,Uncharacterized protein,XP_029712739,aalb:109430219	aalb:109430219
RP20_CCG001121	7160.A0A182G215	Ig-like domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=739:LRR(17|40)+LRR(42|64)+LRR_TYP(65|88)+LRR_TYP(89|112)+LRR(113|136)+LRR(139|160)+LRR(169|193)+LRR(194|215)+LRR(217|240)+IGc2(321|432)+TRANS(454|476)+	109402493,A0A182G215,A0A182G215_AEDAL,Ig-like domain-containing protein,RP20_CCG001121,XP_029732602,aalb:109402493	aalb:109402493
RP20_CCG001269	7160.A0A182G2A3	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=446:IGc2(6|86)+IG_like(114|183)+FN3(197|281)+FN3(310|399)+	115253602,A0A182G2A3,A0A182G2A3_AEDAL,Fasciclin-2-like isoform X1,Neural cell adhesion molecule,RP20_CCG001269,Uncharacterized protein,XP_029718799,aalb:115253602	aalb:115253602
RP20_CCG001317	7160.A0A182G9V6	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=110:Pfam_RNase_P_Rpp14(5|101)+	109430248,3.1.26.5,A0A182G9V6,A0A182G9V6_AEDAL,EC 3.1.26.5,RP20_CCG001317,RP20_CCG005985,Ribonuclease P protein subunit RPP14,Ribonuclease P protein subunit p14-like,Uncharacterized protein,XM_019706299.1,XP_019561844,XP_019561844.1,aalb:109430248	aalb:109430248
RP20_CCG001321	7160.A0A182G2C1	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=688:	109414266,A0A182G2C1,A0A182G2C1_AEDAL,RP20_CCG001321,SCY1-like protein 3,Uncharacterized protein,XP_019543635,aalb:109414266	aalb:109414266
RP20_CCG001337	7160.A0A182G2D0	SCP domain-containing protein; Belongs to the CRISP family.	https://smart.embl.de/smart/DDvec.cgi?smart=405:SCP(203|364)+	A0A182G2D0,A0A182G2D0_AEDAL,RP20_CCG001337,SCP domain-containing protein	
RP20_CCG001475	7160.A0A182G2J8	Non-lysosomal glucosylceramidase; Non-lysosomal glucosylceramidase that catalyzes the hydrolysis of glucosylceramide (GlcCer) to free glucose and ceramide.	https://smart.embl.de/smart/DDvec.cgi?smart=887:Pfam_Glyco_hydr_116N(86|388)+Pfam_DUF608(445|875)+	109432905,3.2.1.45,A0A182G2J8,A0A182G2J8_AEDAL,EC 3.2.1.45,NLGase,Non-lysosomal glucosylceramidase,RP20_CCG001475,XP_029709650,aalb:109432905	aalb:109432905
RP20_CCG001505	7160.A0A182G2L9	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1164:IG(54|146)+IGc2(172|237)+IGc2(264|330)+IGc2(357|420)+IG(440|525)+FN3(528|610)+FN3(627|712)+FN3(729|815)+FN3(830|917)+FN3(934|1019)+TRANS(1044|1066)+Pfam_Bravo_FIGEY(1067|1150)+	109410168,A0A182G2L9,A0A182G2L9_AEDAL,Neuroglian-like isoform X1,Neuronal cell adhesion molecule,RP20_CCG001505,Uncharacterized protein,XP_029710479,aalb:109410168	aalb:109410168
RP20_CCG001521	7160.A0A182G2M7	HSA domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=157:Pfam_HSA(3|35)+	A0A182G2M7,A0A182G2M7_AEDAL,HSA domain-containing protein,RP20_CCG001521	
RP20_CCG001549	7160.A0A182G2N5	t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.	https://smart.embl.de/smart/DDvec.cgi?smart=311:Pfam_Syntaxin_2(69|165)+t_SNARE(209|276)+TRANS(287|309)+	109409843,A0A182G2N5,A0A182G2N5_AEDAL,RP20_CCG001549,Syntaxin-7,XP_019538871,aalb:109409843	aalb:109409843
RP20_CCG001556	7160.A0A182G2N8	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=638:C1(12|61)+PH(82|201)+Pfam_CNH(230|508)+PBD(570|607)+	115257440,2.7.11.1,A0A182G2N8,A0A182G2N8_AEDAL,EC 2.7.11.1,RP20_CCG001556,Serine/threonine-protein kinase MRCK,Uncharacterized protein,XP_029712884,aalb:115257440	aalb:115257440
RP20_CCG001575	7160.A0A182G2Q0	E3 ubiquitin-protein ligase parkin; Functions within a multiprotein E3 ubiquitin ligase complex, catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins; Belongs to the RBR family. Parkin subfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=483:UBQ(30|101)+IBR(336|396)+IBR(420|476)+	109404949,2.3.2.-,2.3.2.31,A0A182G2Q0,A0A182G2Q0_AEDAL,E3 ubiquitin-protein ligase parkin,EC 2.3.2.31,Parkin,RP20_CCG001575,XP_019533449,aalb:109404949	aalb:109404949
RP20_CCG001576	7160.A0A182G2Q1	Cleavage and polyadenylation specificity factor subunit 5; Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The  [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=230:Pfam_NUDIX_2(38|225)+	109404945,109413505,A0A182G2Q1,A0A182G2Q1_AEDAL,RP20_CCG001576,XM_019677900.1,XP_019533445.1,XP_019542734,aalb:109413505	aalb:109413505
RP20_CCG001707	7160.A0A182G2Y4	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=439:Pfam_ABC_membrane_2(1|202)+Pfam_ABC_tran(334|435)+	A0A182G2Y4,A0A182G2Y4_AEDAL,RP20_CCG001707,Uncharacterized protein	
RP20_CCG001813	7160.A0A182G335	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=182:	A0A182G335,A0A182G335_AEDAL,RP20_CCG001813,Uncharacterized protein	
RP20_CCG001881	7160.A0A182G352	Kinesin-like protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.	https://smart.embl.de/smart/DDvec.cgi?smart=869:KISc(31|446)+Pfam_MKLP1_Arf_bdg(712|818)+	109621707,A0A182G352,A0A182G352_AEDAL,Kinesin family member 23,Kinesin-like protein,Kinesin-like protein KIF23,RP20_CCG001881,XP_029726178,aalb:109621707	aalb:109621707
RP20_CCG001887	7160.A0A182G353	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=2647:EGF(438|466)+EGF_like(469|497)+EGF(502|531)+EGF(534|563)+EGF(604|632)+EGF(635|663)+EGF(666|699)+Pfam_RHS_repeat(1539|1577)+Pfam_Tox-GHH(2544|2621)+	109425970,A0A182G353,A0A182G353_AEDAL,RP20_CCG001887,Teneurin-m isoform X1,Uncharacterized protein,XP_029731865,aalb:109425970	aalb:109425970
RP20_CCG001937	7160.A0A182G364	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=655:	109422769,A0A182G364,A0A182G364_AEDAL,RP20_CCG001937,Uncharacterized protein,Uncharacterized protein LOC109422769,XP_029717550,aalb:109422769	aalb:109422769
RP20_CCG002028	7160.A0A182G3B9	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=2693:RanBD(1206|1334)+RanBD(1519|1648)+ZnF_RBZ(1684|1708)+ZnF_RBZ(1784|1808)+RanBD(1999|2124)+RanBD(2549|2678)+	109622057,2.3.2.-,A0A182G3B9,A0A182G3B9_AEDAL,E3 SUMO-protein ligase RanBP2,EC 2.3.2.-,RP20_CCG002028,Uncharacterized protein,XP_029733928,aalb:109622057	aalb:109622057
RP20_CCG002053	7160.A0A182G3D4	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=212:	A0A182G3D4,A0A182G3D4_AEDAL,RP20_CCG002053,Uncharacterized protein	
RP20_CCG002124	7160.A0A182G3H4	Reverse transcriptase Ty1/copia-type domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=276:Pfam_RVT_2(1|170)+	A0A182G3H4,A0A182G3H4_AEDAL,RP20_CCG002124	
RP20_CCG002131	7160.A0A182G3H6	Transcription elongation factor SPT5.	https://smart.embl.de/smart/DDvec.cgi?smart=1091:Pfam_Spt5_N(128|223)+NGN(227|318)+KOW(323|350)+KOW(474|501)+KOW(526|553)+KOW(648|675)+KOW(754|781)+CTD(829|943)+KOW(1039|1066)+	109424312,A0A182G3H6,A0A182G3H6_AEDAL,RP20_CCG002131,Transcription elongation factor SPT5,Transcription elongation factor SPT5-like,XP_029714951,aalb:109424312	aalb:109424312
RP20_CCG002133	7160.A0A182G3H7	ANK_REP_REGION domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=464:ANK(43|72)+ANK(76|105)+ANK(118|147)+ANK(180|210)+ANK(217|246)+ANK(254|283)+ANK(287|319)+SOCS_box(422|461)+	115255431,A0A182G3H7,A0A182G3H7_AEDAL,ANK_REP_REGION domain-containing protein,RP20_CCG002133,Uncharacterized protein LOC115255431,XP_029709422,aalb:115255431	aalb:115255431
RP20_CCG002156	7160.A0A182G3J1	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=613:PTPc(41|312)+TRANS(591|610)+	115253601,3.1.3.48,A0A182G3J1,A0A182G3J1_AEDAL,EC 3.1.3.48,RP20_CCG002156,Tyrosine-protein phosphatase non-receptor type 1,Uncharacterized protein,XP_029735646,aalb:115253601	aalb:115253601
RP20_CCG002202	7160.A0A182G3M2	Integrase catalytic domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=284:rve(1|74)+	A0A182G3M2,A0A182G3M2_AEDAL,Integrase catalytic domain-containing protein,RP20_CCG002202	
RP20_CCG002230	7160.A0A182G3N4	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1290:Zn_pept(2|258)+Zn_pept(298|585)+Pfam_CarboxypepD_reg(601|678)+TRANS(1190|1212)+	115260168,3.4.17.22,A0A182G3N4,A0A182G3N4_AEDAL,Carboxypeptidase D,EC 3.4.17.22,LOW QUALITY PROTEIN: carboxypeptidase D-like,RP20_CCG002230,Uncharacterized protein,XP_029716936,aalb:115260168	aalb:115260168
RP20_CCG002233	7160.A0A182G3N7	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=513:SIGNAL(1|21)+Pfam_5_nucleotid(80|435)+	115271083,5'-nucleotidase domain-containing protein 1-like,A0A182G3N7,A0A182G3N7_AEDAL,RP20_CCG002233,Uncharacterized protein,XP_029736408,aalb:115271083	aalb:115271083
RP20_CCG002273	7160.A0A182G3Q9	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=436:AT_hook(414|426)+	A0A182G3Q9,A0A182G3Q9_AEDAL,RP20_CCG002273,Uncharacterized protein	
RP20_CCG002280	7160.A0A182G3R2	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=59:	A0A182G3R2,A0A182G3R2_AEDAL,RP20_CCG002280,Uncharacterized protein	
RP20_CCG002318	7160.A0A182G3U2	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=709:BTB(248|351)+ZnF_C2H2(532|554)+ZnF_C2H2(580|603)+ZnF_C2H2(641|663)+ZnF_C2H2(669|692)+	109426262,A0A182G3U2,A0A182G3U2_AEDAL,GDNF-inducible zinc finger protein 1,RP20_CCG002318,Uncharacterized protein,XP_019557275,aalb:109426262	aalb:109426262
RP20_CCG002568	7160.A0A182G473	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=247:Pfam_OPA3(6|130)+	109412100,A0A182G473,A0A182G473_AEDAL,Optic atrophy 3 protein,Putative OPA3-like protein CG13603 isoform X1,RP20_CCG002568,Uncharacterized protein,XP_019541285,aalb:109412100	aalb:109412100
RP20_CCG002589	7160.A0A182G484	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=421:ZnF_C2H2(37|59)+ZnF_C2H2(64|86)+ZnF_C2H2(99|122)+ZnF_C2H2(128|151)+ZnF_C2H2(157|179)+ZnF_C2H2(184|206)+ZnF_C2H2(212|235)+	A0A182G484,A0A182G484_AEDAL,RP20_CCG002589,Uncharacterized protein	
RP20_CCG002728	7160.A0A182G4H0	Protein quiver.	https://smart.embl.de/smart/DDvec.cgi?smart=151:SIGNAL(1|19)+	109622825,A0A182G4H0,A0A182G4H0_AEDAL,Protein quiver,RP20_CCG002728,Uncharacterized protein LOC109622825,XP_029714687,aalb:109622825	aalb:109622825
RP20_CCG002743	7160.A0A182G4I0	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1190:Pfam_Exo_endo_phos_2(100|220)+Pfam_RVT_1(467|715)+Pfam_RNase_H(920|1046)+	115263647,A0A182G4I0,A0A182G4I0_AEDAL,RP20_CCG002743,Uncharacterized protein,Uncharacterized protein LOC115263647,XP_029722710,aalb:115263647	aalb:115263647
RP20_CCG002759	7160.A0A182G4J4	Acetyl-coenzyme A synthetase.	https://smart.embl.de/smart/DDvec.cgi?smart=523:Pfam_AMP-binding(1|399)+Pfam_AMP-binding_C(407|485)+	6.2.1.1,A0A182G4J4,A0A182G4J4_AEDAL,Acetyl-coenzyme A synthetase,RP20_CCG002759	
RP20_CCG002897	7160.A0A182G4R2	Glutathione synthetase.	https://smart.embl.de/smart/DDvec.cgi?smart=495:Pfam_GSH_synthase(221|322)+	109405330,6.3.2.3,A0A182G4R2,A0A182G4R2_AEDAL,EC 6.3.2.3,GSH-S,Glutathione synthase,Glutathione synthetase,Glutathione synthetase-like isoform X1,RP20_CCG002897,XP_019533925,aalb:109405330	aalb:109405330
RP20_CCG002936	7160.A0A182G4S7	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=196:S1(100|163)+	109424273,28S ribosomal protein S28, mitochondrial-like,A0A182G4S7,A0A182G4S7_AEDAL,RP20_CCG002936,Small subunit ribosomal protein S28,Uncharacterized protein,XP_019554909,aalb:109424273	aalb:109424273
RP20_CCG002937	7160.A0A182G4S8	Exocyst complex component; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.	https://smart.embl.de/smart/DDvec.cgi?smart=761:Pfam_Sec15(419|722)+	109428706,A0A182G4S8,A0A182G4S8_AEDAL,Exocyst complex component,Exocyst complex component 6,Exocyst complex component 6-like,RP20_CCG002937,XP_019560072,aalb:109428706	aalb:109428706
RP20_CCG002972	7160.A0A182G4U6	BTB domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=805:BTB(48|153)+BACK(158|258)+Kelch(409|455)+Kelch(456|502)+Kelch(503|549)+Kelch(550|596)+Kelch(597|643)+Kelch(644|683)+	109422614,A0A182G4U6,A0A182G4U6_AEDAL,BTB domain-containing protein,Influenza virus NS1A-binding protein,RP20_CCG002972,XP_019552972,aalb:109422614	aalb:109422614
RP20_CCG002974	7160.A0A182G4U8	Ubiquitinyl hydrolase 1.	https://smart.embl.de/smart/DDvec.cgi?smart=1256:Pfam_zf-UBP(32|98)+Pfam_UCH_1(234|640)+DUSP(679|762)+DUSP(810|897)+	3.4.19.12,A0A182G4U8,A0A182G4U8_AEDAL,RP20_CCG002974,Ubiquitinyl hydrolase 1	
RP20_CCG002976	7160.A0A182G4V0	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=132:	109402828,A0A182G4V0,A0A182G4V0_AEDAL,RP20_CCG002976,Serine/arginine repetitive matrix protein 1,Uncharacterized protein,XP_019531106,aalb:109402828	aalb:109402828
RP20_CCG003006	7160.A0A182G4X0	Mitochondrial fission 1 protein; Involved in the fragmentation of the mitochondrial network and its perinuclear clustering.	https://smart.embl.de/smart/DDvec.cgi?smart=152:Pfam_Fis1_TPR_N(37|69)+Pfam_Fis1_TPR_C(74|126)+TRANS(128|150)+	109428249,A0A182G4X0,A0A182G4X0_AEDAL,Mitochondrial fission 1 protein,Mitochondrial fission 1 protein-like,RP20_CCG003006,RP20_CCG014125,XM_019703971.1,XP_019559516.1,XP_029728352,aalb:109428249	aalb:109428249
RP20_CCG003160	7160.A0A182G948	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=104:Pfam_PBP_GOBP(1|87)+	A0A182G948,A0A182G948_AEDAL,RP20_CCG003160,RP20_CCG005538,Uncharacterized protein	
RP20_CCG003196	7160.A0A182G573	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=552:Pfam_AMP-binding(33|451)+Pfam_AMP-binding_C(459|535)+	109424835,4-coumarate--CoA ligase,6.2.1.12,A0A182G573,A0A182G573_AEDAL,EC 6.2.1.12,Luciferin 4-monooxygenase isoform X1,RP20_CCG003196,RP20_CCG003701,Uncharacterized protein,XP_019555575,aalb:109424835	aalb:109424835
RP20_CCG003235	7160.A0A182G593	t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.	https://smart.embl.de/smart/DDvec.cgi?smart=221:t_SNARE(124|191)+TRANS(201|220)+	109430241,A0A182G593,A0A182G593_AEDAL,RP20_CCG003235,Syntaxin 6,Syntaxin-10 isoform X1,XP_019561835,aalb:109430241	aalb:109430241
RP20_CCG003245	7160.A0A182G598	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=535:	109430280,A0A182G598,A0A182G598_AEDAL,Distal antenna,LOW QUALITY PROTEIN: protein distal antenna,RP20_CCG003245,Uncharacterized protein,XP_029729875,aalb:109430280	aalb:109430280
RP20_CCG003299	7160.A0A182G5B9	WD_REPEATS_REGION domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=414:WD40(62|101)+WD40(108|149)+WD40(152|192)+WD40(276|318)+WD40(321|361)+	109398511,A0A182G5B9,A0A182G5B9_AEDAL,RP20_CCG003299,WD repeat-containing protein 26,WD repeat-containing protein 26 homolog,WD_REPEATS_REGION domain-containing protein,XP_029709793,aalb:109398511	aalb:109398511
RP20_CCG003330	7160.A0A182G5D5	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=233:ZnF_C2H2(103|126)+ZnF_C2H2(132|155)+	A0A182G5D5,A0A182G5D5_AEDAL,RP20_CCG003330,Uncharacterized protein	
RP20_CCG003366	7160.A0A182G5F4	ANK_REP_REGION domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=669:ANK(412|442)+ANK(451|480)+ANK(484|513)+ANK(517|551)+ANK(555|584)+ANK(589|618)+ANK(622|651)+	109423606,A0A182G5F4,A0A182G5F4_AEDAL,ANK_REP_REGION domain-containing protein,RP20_CCG003366,Uncharacterized protein LOC109423606,XP_019554130,aalb:109423606	aalb:109423606
RP20_CCG003410	7160.A0A023EJQ3	Putative secreted protein.	https://smart.embl.de/smart/DDvec.cgi?smart=212:Pfam_Sld5(53|161)+	109424520,A0A023EJQ3,A0A023EJQ3_AEDAL,DNA replication complex GINS protein PSF3-like,GINS complex subunit 3,Putative secreted protein,RP20_CCG003410,XM_019699689.1,XM_019704612.1,XP_019555234.1,XP_019560157.1,XP_029734003,aalb:109424520	aalb:109424520
RP20_CCG003480	7160.A0A182G5M6	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=1375:HATPase_c(33|187)+HATPase_c(690|844)+Pfam_HSP90(846|1359)+	109407917,A0A182G5M6,A0A182G5M6_AEDAL,Heat shock protein 83,Molecular chaperone HtpG,RP20_CCG003480,Uncharacterized protein,XP_019536647,aalb:109407917	aalb:109407917
RP20_CCG003534	7160.A0A023EJP8	ER lumen protein-retaining receptor.	https://smart.embl.de/smart/DDvec.cgi?smart=212:Pfam_ER_lumen_recept(28|169)+TRANS(178|200)+	109417765,A0A023EJP8,A0A023EJP8_AEDAL,ER lumen protein retaining receptor,ER lumen protein-retaining receptor,RP20_CCG003534,RP20_CCG023668,XM_019691908.1,XP_019547453,XP_019547453.1,aalb:109417765	aalb:109417765
