#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAEL003901	AAEL006783	7159.Q17E87	7159.Q174S1	0	0	0	0	0.041	0.453	0	0	0.453
AAEL003901	AAEL005314	7159.Q17E87	7159.Q17AE0	0	0	0	0	0.092	0.211	0.302	0.314	0.611
AAEL003901	AAEL013359	7159.Q17E87	7159.Q1HR82	0	0	0	0	0.055	0.360	0	0.129	0.427
AAEL003979	J9HZV2_AEDAE	7159.Q17E15	7159.J9HZV2	0	0	0.434	0	0.070	0.080	0	0.536	0.745
AAEL003979	AAEL006555	7159.Q17E15	7159.Q175T7	0	0	0	0	0.070	0.080	0	0.536	0.568
AAEL003989	AAEL007659	7159.Q17E14	7159.Q171F9	0	0	0	0	0	0.638	0.213	0.159	0.739
AAEL004389	AAEL006074	7159.Q17CX9	7159.Q177N4	0	0	0	0	0	0	0	0.482	0.482
AAEL004715	AAEL010226	7159.Q17C29	7159.Q16TH4	0	0	0	0	0	0	0	0.439	0.439
AAEL004715	AAEL009437	7159.Q17C29	7159.Q16VT5	0	0	0	0	0	0	0.535	0.095	0.561
AAEL004715	AAEL006664	7159.Q17C29	7159.Q175E6	0	0	0	0	0	0	0.535	0.095	0.561
AAEL004720	AAEL004731	7159.Q17C40	7159.Q17C42	0	0.900	0.277	0	0	0	0	0	0.924
AAEL005014	AAEL012513	7159.Q17B94	7159.Q16LV3	0	0	0	0	0	0.312	0	0.215	0.436
AAEL005246	AAEL005247	7159.Q17AN7	7159.Q17AN8	0	0.887	0	0	0	0	0	0	0.887
AAEL005314	AAEL013359	7159.Q17AE0	7159.Q1HR82	0.045	0	0	0	0.424	0.090	0	0.511	0.722
AAEL005581	AAEL008816	7159.Q179N7	7159.Q16XQ1	0	0	0	0	0	0.063	0	0.452	0.464
AAEL005824	AAEL005836	7159.Q178M8	7159.Q178M9	0	0.894	0	0	0	0	0	0	0.894
AAEL006555	J9HZV2_AEDAE	7159.Q175T7	7159.J9HZV2	0	0.812	0	0	0	0	0	0	0.812
AAEL006555	AAEL014033	7159.Q175T7	7159.Q16HG5	0	0	0	0	0.070	0.080	0	0.536	0.568
AAEL006664	AAEL013359	7159.Q175E6	7159.Q1HR82	0	0	0	0	0	0.131	0.294	0.103	0.401
AAEL008122	AAEL011576	7159.Q16ZQ0	7159.Q16PQ3	0	0.899	0	0	0	0	0	0	0.899
AAEL008816	AAEL012657	7159.Q16XQ1	7159.Q16LF8	0	0	0	0	0	0	0.376	0.131	0.434
AAEL008816	AAEL009304	7159.Q16XQ1	7159.Q16WA7	0	0	0	0	0	0	0.376	0.131	0.434
AAEL009364	AAEL011480	7159.Q16W25	7159.Q16PY9	0	0	0	0	0	0.122	0.091	0.497	0.563
AAEL009437	AAEL013359	7159.Q16VT5	7159.Q1HR82	0	0	0	0	0	0.131	0.294	0.103	0.401
AAEL010124	J9HZD6_AEDAE	7159.Q16TV2	7159.J9HZD6	0	0.900	0.467	0	0	0	0	0	0.944
AAEL010124	AAEL013849	7159.Q16TV2	7159.Q16HZ8	0	0	0	0	0	0	0.900	0.100	0.906
AAEL010124	AAEL011709	7159.Q16TV2	7159.Q16PA7	0	0	0	0	0	0	0.900	0.135	0.909
AAEL011469	AAEL011479	7159.Q16PZ1	7159.Q16PZ2	0	0.883	0	0	0	0	0	0	0.883
AAEL011709	AAEL013849	7159.Q16PA7	7159.Q16HZ8	0	0.005	0	0	0	0	0.902	0.103	0.909
AAEL014033	J9HZV2_AEDAE	7159.Q16HG5	7159.J9HZV2	0	0	0.348	0	0.070	0.080	0	0.536	0.706
GPRFZ1	GPRFZ7	7159.Q16JZ7	7159.Q16U83	0	0.900	0.408	0	0	0	0	0	0.938
