miRNA,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,Dataset
miR-1175-5p,0.01287644361,41,4769,1.603741808,GO:0008152 metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0008152,RP20_CCG002030 RP20_CCG002219 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 RP20_CCG007786 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG008894 RP20_CCG009002 CCG009373.1 CCG010378.2 CCG012626.1 CCG013880.1 RP20_CCG014779 CCG015949.1 RP20_CCG016915 CCG017793.1 RP20_CCG019046.2 CCG019709.1 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG021891 CCG021925.1 CCG023775.1 RP20_CCG024512 CCG025948.4 CCG027115.1 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
miR-1175-5p,0.001259966702,2,4,93.2712766,GO:0061617 MICOS complex,http://amigo.geneontology.org/amigo/term/GO:0061617,RP20_CCG013111 CCG013807.1,GO Cellular Component
miR-1175-5p,0.0001144173395,4,26,28.69885434,GO:0005765 lysosomal membrane,http://amigo.geneontology.org/amigo/term/GO:0005765,CCG005141.1 RP20_CCG007251 CCG024373.1 CCG028005.1,GO Cellular Component
miR-1175-5p,0.0001144173395,4,26,28.69885434,GO:0098852 lytic vacuole membrane,http://amigo.geneontology.org/amigo/term/GO:0098852,CCG005141.1 RP20_CCG007251 CCG024373.1 CCG028005.1,GO Cellular Component
miR-1175-5p,3.92E-05,5,39,23.91571195,GO:0005774 vacuolar membrane,http://amigo.geneontology.org/amigo/term/GO:0005774,CCG005141.1 RP20_CCG007251 CCG024373.1 RP20_CCG025450 CCG028005.1,GO Cellular Component
miR-1175-5p,0.002110464718,3,26,21.52414075,GO:0030135 coated vesicle,http://amigo.geneontology.org/amigo/term/GO:0030135,RP20_CCG015087 CCG015582.1 CCG015800.2,GO Cellular Component
miR-1175-5p,0.0004843050258,4,40,18.65425532,GO:0000323 lytic vacuole,http://amigo.geneontology.org/amigo/term/GO:0000323,CCG005141.1 RP20_CCG007251 CCG024373.1 CCG028005.1,GO Cellular Component
miR-1175-5p,0.0004843050258,4,40,18.65425532,GO:0005764 lysosome,http://amigo.geneontology.org/amigo/term/GO:0005764,CCG005141.1 RP20_CCG007251 CCG024373.1 CCG028005.1,GO Cellular Component
miR-1175-5p,0.0001119725433,5,52,17.93678396,GO:0005773 vacuole,http://amigo.geneontology.org/amigo/term/GO:0005773,CCG005141.1 RP20_CCG007251 CCG024373.1 RP20_CCG025450 CCG028005.1,GO Cellular Component
miR-1175-5p,3.56E-06,7,75,17.4106383,GO:0000139 Golgi membrane,http://amigo.geneontology.org/amigo/term/GO:0000139,RP20_CCG015087 CCG015800.2 CCG020315.1 CCG022521.1 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Cellular Component
miR-1175-5p,5.96E-09,13,200,12.12526596,GO:0098588 bounding membrane of organelle,http://amigo.geneontology.org/amigo/term/GO:0098588,CCG005141.1 RP20_CCG007251 RP20_CCG015087 CCG015582.1 CCG015800.2 CCG020315.1 CCG022521.1 CCG024373.1 RP20_CCG024512 RP20_CCG025450 RP20_CCG027131 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,3.92E-05,8,160,9.32712766,GO:0005794 Golgi apparatus,http://amigo.geneontology.org/amigo/term/GO:0005794,RP20_CCG015087 CCG015582.1 CCG015800.2 CCG020315.1 CCG022521.1 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Cellular Component
miR-1175-5p,9.14E-09,18,503,6.675479041,GO:0031090 organelle membrane,http://amigo.geneontology.org/amigo/term/GO:0031090,CCG005141.1 CCG005765.1 RP20_CCG007251 CCG009373.1 RP20_CCG013111 CCG013807.1 RP20_CCG015087 CCG015582.1 CCG015800.2 CCG020315.1 CCG022521.1 CCG024373.1 RP20_CCG024512 RP20_CCG025450 RP20_CCG027131 CCG027460.1 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,0.001618367158,10,479,3.894416559,GO:0012505 endomembrane system,http://amigo.geneontology.org/amigo/term/GO:0012505,CCG005765.1 CCG009373.1 RP20_CCG015087 CCG015582.1 CCG015800.2 CCG020315.1 CCG022521.1 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Cellular Component
miR-1175-5p,1.91E-08,30,1599,3.499860285,GO:0005737 cytoplasm,http://amigo.geneontology.org/amigo/term/GO:0005737,CCG002478.1 CCG002937.1 RP20_CCG004459.2 CCG005141.1 CCG005765.1 RP20_CCG006745 RP20_CCG007251 CCG007319.1 CCG009373.1 CCG012263.1 RP20_CCG013111 CCG013807.1 RP20_CCG015087 CCG015582.1 CCG015800.2 RP20_CCG016915 CCG017793.1 RP20_CCG019046.2 CCG019709.1 CCG020315.1 CCG021925.1 CCG022521.1 CCG024373.1 RP20_CCG024512 RP20_CCG025450 CCG025948.4 RP20_CCG027131 CCG027460.1 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,2.17E-06,42,3552,2.205739649,GO:0016020 membrane,http://amigo.geneontology.org/amigo/term/GO:0016020,CCG001351.1 CCG001505.1 RP20_CCG002030 CCG002317.1 CCG003103.1 CCG004530.1 CCG005141.1 CCG005765.1 CCG006712.1 RP20_CCG007251 CCG007477.2 RP20_CCG007786 RP20_CCG008040 CCG009373.1 RP20_CCG010411 CCG012626.1 RP20_CCG013111 CCG013630.1 CCG013807.1 RP20_CCG014779 RP20_CCG015087 CCG015582.1 CCG015800.2 CCG017552.1 CCG017715.1 RP20_CCG018981 CCG020315.1 RP20_CCG020710 CCG021273.1 CCG022521.1 RP20_CCG023649 CCG024373.1 RP20_CCG024512 CCG024578.1 CCG024740.2 RP20_CCG025450 CCG026052.1 RP20_CCG027131 CCG027460.1 CCG027531.2 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,0.000198766901,34,3148,2.014754386,GO:0016021 integral component of membrane,http://amigo.geneontology.org/amigo/term/GO:0016021,CCG001505.1 RP20_CCG002030 CCG002317.1 CCG003103.1 CCG004530.1 CCG005141.1 CCG005765.1 CCG006712.1 RP20_CCG007251 CCG007477.2 RP20_CCG008040 CCG009373.1 RP20_CCG010411 CCG012626.1 RP20_CCG013111 CCG013630.1 CCG013807.1 RP20_CCG014779 CCG017552.1 CCG017715.1 RP20_CCG018981 RP20_CCG020710 CCG021273.1 CCG024373.1 RP20_CCG024512 CCG024578.1 CCG024740.2 RP20_CCG025450 CCG026052.1 RP20_CCG027131 CCG027460.1 CCG027531.2 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,5.21E-05,39,3623,2.008048461,GO:0005622 intracellular anatomical structure,http://amigo.geneontology.org/amigo/term/GO:0005622,RP20_CCG002219 CCG002478.1 CCG002937.1 RP20_CCG004459.2 RP20_CCG004947 CCG005141.1 CCG005765.1 RP20_CCG006745 RP20_CCG007251 CCG007319.1 CCG009373.1 CCG010378.2 CCG012263.1 RP20_CCG013111 CCG013807.1 RP20_CCG015087 CCG015582.1 CCG015800.2 RP20_CCG016915 CCG017793.1 RP20_CCG019046.2 CCG019709.1 CCG020315.1 RP20_CCG020338 CCG020733.1 RP20_CCG021891 CCG021925.1 CCG022521.1 CCG023775.1 CCG024373.1 RP20_CCG024512 RP20_CCG025450 CCG025948.4 CCG027115.1 RP20_CCG027131 CCG027460.1 CCG027599.1 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,0.000198766901,34,3159,2.007738781,GO:0031224 intrinsic component of membrane,http://amigo.geneontology.org/amigo/term/GO:0031224,CCG001505.1 RP20_CCG002030 CCG002317.1 CCG003103.1 CCG004530.1 CCG005141.1 CCG005765.1 CCG006712.1 RP20_CCG007251 CCG007477.2 RP20_CCG008040 CCG009373.1 RP20_CCG010411 CCG012626.1 RP20_CCG013111 CCG013630.1 CCG013807.1 RP20_CCG014779 CCG017552.1 CCG017715.1 RP20_CCG018981 RP20_CCG020710 CCG021273.1 CCG024373.1 RP20_CCG024512 CCG024578.1 CCG024740.2 RP20_CCG025450 CCG026052.1 RP20_CCG027131 CCG027460.1 CCG027531.2 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,0.001364372718,28,2632,1.984495247,GO:0043231 intracellular membrane-bounded organelle,http://amigo.geneontology.org/amigo/term/GO:0043231,RP20_CCG002219 RP20_CCG004947 CCG005141.1 CCG005765.1 RP20_CCG007251 CCG009373.1 CCG010378.2 RP20_CCG013111 CCG013807.1 RP20_CCG015087 CCG015582.1 CCG015800.2 CCG017793.1 CCG020315.1 RP20_CCG020338 CCG020733.1 RP20_CCG021891 CCG022521.1 CCG023775.1 CCG024373.1 RP20_CCG024512 RP20_CCG025450 CCG027115.1 RP20_CCG027131 CCG027460.1 CCG027599.1 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,0.001968599009,28,2707,1.929512926,GO:0043227 membrane-bounded organelle,http://amigo.geneontology.org/amigo/term/GO:0043227,RP20_CCG002219 RP20_CCG004947 CCG005141.1 CCG005765.1 RP20_CCG007251 CCG009373.1 CCG010378.2 RP20_CCG013111 CCG013807.1 RP20_CCG015087 CCG015582.1 CCG015800.2 CCG017793.1 CCG020315.1 RP20_CCG020338 CCG020733.1 RP20_CCG021891 CCG022521.1 CCG023775.1 CCG024373.1 RP20_CCG024512 RP20_CCG025450 CCG027115.1 RP20_CCG027131 CCG027460.1 CCG027599.1 CCG028005.1 CCG028549.1,GO Cellular Component
miR-1175-5p,0.006658401732,2,3,124.3617021,GO:0016971 flavin-linked sulfhydryl oxidase activity,http://amigo.geneontology.org/amigo/term/GO:0016971,CCG006712.1 CCG027531.2,GO Molecular Function
miR-1175-5p,0.01652981605,2,5,74.61702128,GO:0016972 thiol oxidase activity,http://amigo.geneontology.org/amigo/term/GO:0016972,CCG006712.1 CCG027531.2,GO Molecular Function
miR-1175-5p,0.01976647297,2,6,62.18085106,GO:0016670 oxidoreductase activity acting on a sulfur group of donors oxygen as acceptor,http://amigo.geneontology.org/amigo/term/GO:0016670,CCG006712.1 CCG027531.2,GO Molecular Function
miR-1175-5p,0.002828286066,20,1337,2.79046452,GO:0016740 transferase activity,http://amigo.geneontology.org/amigo/term/GO:0016740,CCG002317.1 CCG002478.1 CCG004530.1 RP20_CCG005310.2 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG008894 RP20_CCG009002 CCG010378.2 RP20_CCG014779 CCG021612.1 CCG023775.1 CCG027115.1 RP20_CCG027131 CCG028549.1,GO Molecular Function
miR-1175-5p,0.002828286066,43,4537,1.767980998,GO:0003824 catalytic activity,http://amigo.geneontology.org/amigo/term/GO:0003824,RP20_CCG002030 CCG002317.1 CCG002478.1 CCG003103.1 CCG003125.1 RP20_CCG003693 CCG004134.1 CCG004530.1 RP20_CCG005310.2 CCG006712.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 RP20_CCG007786 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG008894 RP20_CCG009002 CCG009373.1 CCG010378.2 CCG012626.1 RP20_CCG014779 CCG015949.1 RP20_CCG017348 CCG017715.1 CCG018376.1 RP20_CCG019046.2 CCG019709.1 RP20_CCG020338 RP20_CCG021374 CCG021612.1 CCG021925.1 CCG023775.1 CCG025948.4 CCG026052.1 CCG027115.1 RP20_CCG027131 CCG027531.2 CCG027599.1 CCG028549.1,GO Molecular Function
miR-1175-3p,0.0006460662846,3,8,69.95345745,GO:0016050 vesicle organization,http://amigo.geneontology.org/amigo/term/GO:0016050,RP20_CCG015087 CCG015800.2 CCG020315.1,GO Biological Process
miR-1175-3p,0.01287644361,2,6,62.18085106,GO:0090114 COPII-coated vesicle budding,http://amigo.geneontology.org/amigo/term/GO:0090114,RP20_CCG015087 CCG015800.2,GO Biological Process
miR-1175-3p,0.01287644361,2,6,62.18085106,GO:0006900 vesicle budding from membrane,http://amigo.geneontology.org/amigo/term/GO:0006900,RP20_CCG015087 CCG015800.2,GO Biological Process
miR-1175-3p,0.01437493755,2,7,53.29787234,GO:0030148 sphingolipid biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0030148,CCG005765.1 CCG012626.1,GO Biological Process
miR-1175-3p,0.01287644361,3,29,19.2975055,GO:0046467 membrane lipid biosynthetic proc.,http://amigo.geneontology.org/amigo/term/GO:0046467,CCG005765.1 CCG012626.1 RP20_CCG024512,GO Biological Process
miR-1175-3p,0.01287644361,7,250,5.223191489,GO:0046907 intracellular transport,http://amigo.geneontology.org/amigo/term/GO:0046907,CCG002937.1 CCG010390.1 CCG012263.1 RP20_CCG015087 CCG015800.2 CCG020315.1 CCG027460.1,GO Biological Process
miR-1175-3p,0.01476595578,7,274,4.765685665,GO:0051649 establishment of localization in cell,http://amigo.geneontology.org/amigo/term/GO:0051649,CCG002937.1 CCG010390.1 CCG012263.1 RP20_CCG015087 CCG015800.2 CCG020315.1 CCG027460.1,GO Biological Process
miR-1175-3p,6.51E-05,17,758,4.183672037,GO:0036211 protein modification proc.,http://amigo.geneontology.org/amigo/term/GO:0036211,CCG002478.1 RP20_CCG003693 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG020338 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-3p,6.51E-05,17,758,4.183672037,GO:0006464 cellular protein modification proc.,http://amigo.geneontology.org/amigo/term/GO:0006464,CCG002478.1 RP20_CCG003693 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG020338 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-3p,6.51E-05,18,847,3.964304554,GO:0043412 macromolecule modification,http://amigo.geneontology.org/amigo/term/GO:0043412,CCG002478.1 RP20_CCG003693 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG020338 CCG021612.1 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-3p,0.0006460662846,20,1250,2.984680851,GO:0044267 cellular protein metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044267,CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG016915 RP20_CCG020338 RP20_CCG021651 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-3p,0.01287644361,22,1909,2.149783222,GO:0019538 protein metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0019538,RP20_CCG002030 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 RP20_CCG014779 RP20_CCG016915 RP20_CCG019046.2 RP20_CCG020338 RP20_CCG021651 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-3p,0.01287644361,23,2068,2.074699576,GO:0044260 cellular macromolecule metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044260,CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 CCG010378.2 RP20_CCG014779 RP20_CCG016915 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG024512 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
miR-1175-3p,0.01287644361,25,2264,2.059878017,GO:1901564 organonitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:1901564,RP20_CCG002030 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG009002 CCG012626.1 RP20_CCG014779 RP20_CCG016915 RP20_CCG019046.2 RP20_CCG020338 RP20_CCG021651 RP20_CCG024512 RP20_CCG027131 CCG028549.1,GO Biological Process
miR-1175-3p,0.005900334351,40,4298,1.736087047,GO:0044238 primary metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044238,RP20_CCG002030 RP20_CCG002219 CCG002478.1 RP20_CCG003693 CCG004134.1 RP20_CCG004947 RP20_CCG005310.2 CCG005765.1 RP20_CCG006745 CCG007266.1 CCG007319.1 CCG007520.1 RP20_CCG007786 CCG007937.2 RP20_CCG008040 RP20_CCG008414 RP20_CCG008785 RP20_CCG008894 RP20_CCG009002 CCG009373.1 CCG010378.2 CCG012626.1 CCG013880.1 RP20_CCG014779 CCG015949.1 RP20_CCG016915 CCG017793.1 RP20_CCG019046.2 RP20_CCG020338 CCG021612.1 RP20_CCG021651 RP20_CCG021891 CCG021925.1 CCG023775.1 RP20_CCG024512 CCG025948.4 CCG027115.1 RP20_CCG027131 CCG027599.1 CCG028549.1,GO Biological Process
