species,term_ID,term_description,observed_gene_count,background_gene_count,strength,signal,false_discovery_rate,matching_proteins_id_network,matching_proteins_labels_network,annotation,dataset,category_of_interest,enrichment_method,protein_db,taxon_id,assembly_name,stringdb_id,protein_name,gene_primary,cc_function,go_p,go_f
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16JH7,AAEL012339,AAEL012339-PA; Belongs to the protein kinase superfamily.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,cyclin-dependent kinase,NA,NA,G1/S transition of mitotic cell cycle; regulation of G2/M transition of mitotic cell cycle; regulation of gene expression; signal transduction,ATP binding; cyclin binding; cyclin-dependent protein serine/threonine kinase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16JQ3,AAEL013250,AAEL013250-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5577538,NA,regulation of autophagosome maturation,GTPase activator activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16JV4,AAEL013203,AAEL013203-PA; Belongs to the peptidase C19 family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Ubiquitin carboxyl-terminal hydrolase 47,NA,NA,protein deubiquitination; proteolysis,cysteine-type deubiquitinase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16JZ7,GPRFZ1,GPCR Frizzled/Smoothened Family; Belongs to the G-protein coupled receptor Fz/Smo family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,GPRFZ1,NA,canonical Wnt signaling pathway; non-canonical Wnt signaling pathway,Wnt receptor activity; Wnt-protein binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16K82,AAEL013086,AAEL013086-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,"DNA-binding transcription activator activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding"
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16LF8,AAEL012657,AAEL012657-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,exocytosis; intracellular protein transport; neurotransmitter transport; vesicle docking; vesicle fusion,SNAP receptor activity; SNARE binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16M89,AAEL012381,AAEL012381-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16MZ3,AAEL012138,AAEL012138-PB.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Delta(24)-sterol reductase,NA,"Catalyzes the reduction of the delta-24 double bond of sterol intermediates during cholesterol biosynthesis. In addition to its cholesterol-synthesizing activity, can protect cells from oxidative stress by reducing caspase 3 activity during apoptosis induced by oxidative stress. Also protects against amyloid-beta peptide-induced apoptosis",steroid metabolic process,Delta24(24-1) sterol reductase activity; Delta24-sterol reductase activity; FAD binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16N45,AAEL012092,AAEL012092-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16NT2,AAEL011867,AAEL011867-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16PA7,AAEL011709,Diacylglycerol kinase.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Diacylglycerol kinase,NA,NA,phospholipase C-activating G protein-coupled receptor signaling pathway,ATP binding; ATP-dependent diacylglycerol kinase activity; metal ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16PQ3,AAEL011576,AAEL011576-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,mRNA 3'-UTR binding; ribonucleoprotein complex binding; selenocysteine insertion sequence binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16PY9,AAEL011480,AAEL011480-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5574874,NA,regulation of DNA-templated transcription; transcription elongation by RNA polymerase II,RNA polymerase II complex binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16Q37,AAEL011432,AAEL011432-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,motor neuron axon guidance; negative regulation of cell adhesion; positive regulation of axonogenesis; regulation of cell migration; regulation of cell shape; sensory neuron axon guidance,semaphorin receptor activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16QS4,AAEL011191,AAEL011191-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5574517,NA,regulation of glycogen biosynthetic process,glycogen binding; protein phosphatase 1 binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16TH4,AAEL010226,AAEL010226-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; protein dimerization activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding"
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16TJ0,AAEL010222,AAEL010222-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,GATA-type domain-containing protein,5573053,NA,cell fate commitment; negative regulation of transcription by RNA polymerase II; positive regulation of transcription by RNA polymerase II,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding"
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16TV2,AAEL010124,Phosphoinositide phospholipase C.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Phosphoinositide phospholipase C,NA,NA,G protein-coupled receptor signaling pathway; lipid catabolic process; phosphatidylinositol metabolic process; phosphatidylinositol-mediated signaling; release of sequestered calcium ion into cytosol,"phosphatidylinositol-4,5-bisphosphate phospholipase C activity"
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16U75,AAEL010015,AAEL010015-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16U83,GPRFZ7,AAEL009983-PA; Belongs to the G-protein coupled receptor Fz/Smo family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,GPRFZ7,NA,canonical Wnt signaling pathway; non-canonical Wnt signaling pathway,Wnt receptor activity; Wnt-protein binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16VE7,AAEL009588,Expressed protein (HR3).,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Probable nuclear hormone receptor HR3,NA,Putative receptor whose ligand is not yet known,NA,nuclear receptor activity; RNA polymerase II cis-regulatory region sequence-specific DNA binding; zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16VT5,AAEL009437,AAEL009437-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,CCR4-NOT transcription complex subunit 4,NA,"Has E3 ubiquitin ligase activity, promoting ubiquitination and degradation of target proteins. Involved in activation of the JAK/STAT pathway. Catalyzes ubiquitination of methylated RBM15. Plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA. As part of the PINK1-regulated signaling, upon mitochondria damage, ubiquitinates ABCE1 and thereby recruits autophagy receptors to the mitochondrial outer membrane to initiate mitophagy",protein ubiquitination,RNA binding; ubiquitin-protein transferase activity; zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16W25,AAEL009364,AAEL009364-PA; Belongs to the protein kinase superfamily.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Cyclin-dependent kinase 12,NA,NA,positive regulation of transcription elongation by RNA polymerase II,ATP binding; cyclin binding; RNA polymerase II CTD heptapeptide repeat kinase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16W86,AAEL009300,AAEL009300-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Novel acetylcholine receptor chaperone,NA,NA,chaperone-mediated protein complex assembly; positive regulation of protein localization to cell surface,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16WA7,AAEL009304,AAEL009304-PA; Belongs to the syntaxin family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,exocytosis; intracellular protein transport; neurotransmitter transport; vesicle docking; vesicle fusion,SNAP receptor activity; SNARE binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16WI5,AAEL009212,AAEL009212-PC.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,Putative transcription factor required for axon growth and guidance in the central and peripheral nervous systems. Repels CNS axons away from the midline by promoting the expression of the midline repellent sli and its receptor robo,axon midline choice point recognition; dendrite morphogenesis; gonad development; larval lymph gland hemopoiesis; larval somatic muscle development; nurse cell apoptotic process; R3/R4 cell fate commitment; R7 cell development; regulation of transcription by RNA polymerase II,zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16WN0,AAEL009171,AAEL009171-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5571582,NA,response to unfolded protein,"DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding"
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16XQ1,AAEL008816,"Vesicular monoamine transporter, putative.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,aminergic neurotransmitter loading into synaptic vesicle,serotonin:sodium:chloride symporter activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16YV5,AAEL008421,AAEL008421-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,adherens junction organization; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules; cell migration; cell morphogenesis; cell-cell adhesion mediated by cadherin; cell-cell junction assembly; homophilic cell adhesion via plasma membrane adhesion molecules,beta-catenin binding; cadherin binding; calcium ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q16ZQ0,AAEL008122,AAEL008122-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q171F2,AAEL007664,Nicotinic acetylcholine receptor subunit.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,"After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane",NA,acetylcholine-gated monoatomic cation-selective channel activity; transmembrane signaling receptor activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q171F9,AAEL007659,AAEL007659-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,CTCK domain-containing protein,5569473,NA,animal organ morphogenesis; sequestering of BMP from receptor via BMP binding,BMP binding; receptor ligand activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q173I2,AAEL007144,AAEL007144-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Kelch-like protein diablo,NA,Probable substrate-specific adapter of an E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins. May have a role in synapse differentiation and growth,protein ubiquitination,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q174F6,AAEL006911,Microtubule-associated protein.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,microtubule cytoskeleton organization,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q174S1,AAEL006783,"Histone-lysine N-methyltransferase, H3 lysine-79 specific.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",NA,Histone methyltransferase that specifically trimethylates histone H3 to form H3K79me3. This methylation is required for telomere silencing and for the pachytene checkpoint during the meiotic cell cycle by allowing the recruitment of RAD9 to double strand breaks. Nucleosomes are preferred as substrate compared to free histone,DNA damage checkpoint signaling; DNA repair; methylation,histone H3K79 trimethyltransferase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q175E6,AAEL006664,AAEL006664-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,CCR4-NOT transcription complex subunit 4,NA,"Has E3 ubiquitin ligase activity, promoting ubiquitination and degradation of target proteins. Involved in activation of the JAK/STAT pathway. Catalyzes ubiquitination of methylated RBM15. Plays a role in quality control of translation of mitochondrial outer membrane-localized mRNA. As part of the PINK1-regulated signaling, upon mitochondria damage, ubiquitinates ABCE1 and thereby recruits autophagy receptors to the mitochondrial outer membrane to initiate mitophagy",protein ubiquitination,RNA binding; ubiquitin-protein transferase activity; zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q175Q0,AAEL006596,AAEL006596-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q175T7,AAEL006555,AAEL006555-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,"nervous system development; regulation of alternative mRNA splicing, via spliceosome",mRNA binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q176D4,AAEL006439,"Dual specificity protein phosphatase; Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate. Belongs to the protein-tyrosine phosphatase family. Non- receptor class dual specificity subfamily.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Dual specificity protein phosphatase,NA,"Dual specificity phosphatase able to dephosphorylate phosphotyrosine, phosphoserine and phosphothreonine residues, with a preference for phosphotyrosine as a substrate",negative regulation of MAPK cascade,MAP kinase phosphatase activity; protein serine/threonine phosphatase activity; protein tyrosine phosphatase activity; protein tyrosine/serine/threonine phosphatase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q176R3,fru,FRU non-sex-specific P1 isoform.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,fru,NA,animal organ development; cell development; developmental process involved in reproduction; regulation of transcription by RNA polymerase II,DNA binding; zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q177Z0,AAEL005985,Autophagy-related protein 13; Belongs to the ATG13 family. Metazoan subfamily.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Autophagy-related protein 13,5579871,NA,mitophagy; piecemeal microautophagy of the nucleus; protein localization to phagophore assembly site,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17AN7,AAEL005246,AAEL005246-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific double-stranded DNA binding"
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17AN8,AAEL005247,AAEL005247-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,"DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific double-stranded DNA binding"
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17BB1,AAEL005033,AAEL005033-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5565844,NA,positive regulation of transcription by RNA polymerase II,zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17BL6,AAEL004918,AAEL004918-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,B box-type domain-containing protein,5565690,NA,NA,mRNA 3'-UTR binding; zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17C29,AAEL004715,AAEL004715-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Anti-proliferative protein domain-containing protein,5565301,NA,negative regulation of cell population proliferation,NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17C40,AAEL004720,Dedicator of cytokinesis protein 9; Belongs to the DOCK family.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,small GTPase-mediated signal transduction,guanyl-nucleotide exchange factor activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17C42,AAEL004731,AAEL004731-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,small GTPase-mediated signal transduction,guanyl-nucleotide exchange factor activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17CH0,AAEL004542,AAEL004542-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,ceramide metabolic process,ceramide kinase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17CU7,AAEL004420,AAEL004420-PB.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,5564770,NA,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",NA
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17CY1,AAEL004391,AAEL004391-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Nuclear protein MDM1,NA,Microtubule-binding protein that negatively regulates centriole duplication. Binds to and stabilizes microtubules,negative regulation of centriole replication,microtubule binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17DB8,AAEL004259,RNA-binding protein lin-28.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,pre-miRNA processing,mRNA binding; zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17E14,AAEL003989,AAEL003989-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Guanine nucleotide-binding protein G(s) subunit alpha,5563900,Guanine nucleotide-binding proteins (G proteins) function as transducers in numerous signaling pathways controlled by G protein-coupled receptors (GPCRs),adenylate cyclase-activating dopamine receptor signaling pathway; sensory perception of chemical stimulus,G protein-coupled receptor binding; G-protein beta/gamma-subunit complex binding; GTP binding; GTPase activity; metal ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17E15,AAEL003979,"Deadenylation factor EDEN-BP, putative.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,mRNA binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17E51,AAEL003978,AAEL003978-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,Escargot/snail protein homolog,NA,NA,NA,zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17E87,AAEL003901,AAEL003901-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,zinc ion binding
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17EP7,AAEL003731,"Nuclear body associated kinase, putative.",GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,non-specific serine/threonine protein kinase,NA,NA,NA,ATP binding; protein serine/threonine kinase activity; protein tyrosine kinase activity
Aedes aegypti,GO:0050789,Regulation of biological process,91,5350,0.21,0.48,0.00014,Q17ET2,AAEL003688,AAEL003688-PA.,GO Biological Process,NA,stringdb,STRINGv12.0,7159,yellow fever mosquito,STRING.7159.Aedes,NA,NA,NA,NA,NA
