Gene stable ID,Transcript stable ID,Gene name,UniProtKB/TrEMBL ID,UniParc ID
AAEL003824,AAEL003824-RB,,,UPI000B78E758
AAEL003824,AAEL003824-RA,,A0A1S4F5S8,UPI000B770978
AAEL003824,AAEL003824-RA,,Q17ED5,UPI000B770978
AAEL019493,AAEL019493-RA,,Q16P56,UPI000B786DBE
AAEL010470,AAEL010470-RA,,Q16SV8,UPI0000DAABD6
AAEL010095,AAEL010095-RF,,Q1HRQ5,UPI0000D76DC4
AAEL010095,AAEL010095-RE,,Q1HRQ5,UPI0000D76DC4
AAEL010095,AAEL010095-RD,,Q1HRQ5,UPI0000D76DC4
AAEL018358,AAEL018358-RA,,A0A1S4G7S9,UPI000B77FE81
AAEL018358,AAEL018358-RA,,A0A0P6JSL1,UPI000B77FE81
AAEL018358,AAEL018358-RA,,Q0C758,UPI000B77FE81
AAEL027417,AAEL027417-RA,,,UPI000B778B02
AAEL026343,AAEL026343-RA,,Q17A34,UPI000B784AD7
AAEL020692,AAEL020692-RA,,,UPI000B77F702
AAEL015137,AAEL015137-RA,,A0A1S4G3H5,UPI000B77C0C6
AAEL015137,AAEL015137-RA,,Q16I10,UPI000B77C0C6
AAEL015137,AAEL015137-RA,,Q1DH41,UPI000B77C0C6
AAEL025502,AAEL025502-RA,,,UPI000B7744F5
AAEL006780,AAEL006780-RC,,,UPI000B78CE69
AAEL006780,AAEL006780-RB,,Q174U5,UPI000B7827F9
AAEL006780,AAEL006780-RB,,A0A1S4FEL9,UPI000B7827F9
AAEL020823,AAEL020823-RA,,Q16EX7,UPI000B7820D3
AAEL020823,AAEL020823-RA,,A0A0P6J4P6,UPI000B7820D3
AAEL020823,AAEL020823-RA,,Q17EW5,UPI000B7820D3
AAEL005766,AAEL005766-RB,,Q178U8,UPI0000DA9A2B
AAEL005766,AAEL005766-RA,,Q178U9,UPI0000DA9A2A
AAEL008623,AAEL008623-RA,,A0A1S4FJY4,UPI000B782057
AAEL008623,AAEL008623-RA,,Q16Y80,UPI000B782057
AAEL017182,AAEL017182-RC,Gr43,J9HIE0,UPI000B789DEA
AAEL017182,AAEL017182-RC,Gr43,A0A1S4G5A8,UPI000B789DEA
AAEL006535,AAEL006535-RB,,A0A1S4FE07,UPI000B79486D
AAEL006535,AAEL006535-RB,,J9HSP4,UPI000B79486D
AAEL006535,AAEL006535-RA,,Q0IF57,UPI0000E26453
AAEL010376,AAEL010376-RB,,A0A1S4FQJ6,UPI000B77B13A
AAEL010376,AAEL010376-RB,,Q16T55,UPI000B77B13A
AAEL011989,AAEL011989-RB,,Q16NF2,UPI0000DAB1AF
AAEL011989,AAEL011989-RA,,Q16NF3,UPI0000DAB1AE
AAEL007149,AAEL007149-RA,,A0A1S4FFL2,UPI000B783754
AAEL007149,AAEL007149-RA,,Q173F3,UPI000B783754
AAEL007149,AAEL007149-RA,,Q173F4,UPI000B783754
AAEL010593,AAEL010593-RA,,Q16SH2,UPI0000DAAC5B
AAEL013237,AAEL013237-RA,,Q16JS5,UPI0000DAB66A
AAEL010353,AAEL010353-RA,,A0A1S4FQA8,UPI00043BCE1C
AAEL010353,AAEL010353-RA,,Q16T82,UPI00043BCE1C
AAEL003448,AAEL003448-RA,GPRNNA13,A0A1S4F4P6,UPI000B773C74
AAEL002600,AAEL002600-RE,,Q17HQ4,UPI000B7904E9
AAEL002600,AAEL002600-RD,,Q17HQ4,UPI000B7807CF
AAEL002600,AAEL002600-RC,,,UPI000B7904E9
AAEL002600,AAEL002600-RB,,,UPI000B7904E9
AAEL019977,AAEL019977-RC,,,UPI000B784CC5
AAEL019977,AAEL019977-RB,,Q17LE3,UPI000B784CC5
AAEL019977,AAEL019977-RA,,Q17LE6,UPI000B778A0C
AAEL019977,AAEL019977-RA,,A0A1S4EYM5,UPI000B778A0C
AAEL019977,AAEL019977-RA,,Q17LE4,UPI000B778A0C
AAEL019424,AAEL019424-RAC,,,UPI000B776E94
AAEL019424,AAEL019424-RAB,,,UPI000B79164A
AAEL019424,AAEL019424-RAA,,,UPI000B79164A
AAEL019424,AAEL019424-RZ,,,UPI000B79164A
AAEL019424,AAEL019424-RY,,,UPI000B792A83
AAEL019424,AAEL019424-RX,,,UPI000B78F717
AAEL019424,AAEL019424-RW,,,UPI000B776E94
AAEL019424,AAEL019424-RV,,,UPI000B776E94
AAEL019424,AAEL019424-RU,,,UPI000B79147E
AAEL019424,AAEL019424-RT,,,UPI000B77CA5C
AAEL019424,AAEL019424-RS,,,UPI000B793E00
AAEL019424,AAEL019424-RR,,,UPI000B79164A
AAEL019424,AAEL019424-RQ,,,UPI000B776E94
AAEL019424,AAEL019424-RP,,A0A1S4F1H2,UPI000B7877D9
AAEL019424,AAEL019424-RP,,Q17IJ7,UPI000B7877D9
AAEL019424,AAEL019424-RO,,,UPI000B79164A
AAEL019424,AAEL019424-RN,,Q17IJ8,UPI000B776E94
AAEL019424,AAEL019424-RN,,A0A1S4G4F8,UPI000B776E94
AAEL019424,AAEL019424-RN,,A0A1S4F1H2,UPI000B776E94
AAEL019424,AAEL019424-RN,,Q17IJ7,UPI000B776E94
AAEL019424,AAEL019424-RN,,Q1DGV6,UPI000B776E94
AAEL019424,AAEL019424-RM,,,UPI000B79164A
AAEL019424,AAEL019424-RL,,,UPI000B78728F
AAEL019424,AAEL019424-RK,,,UPI000B776E94
AAEL019424,AAEL019424-RJ,,Q17IJ6,UPI000B79164A
AAEL019424,AAEL019424-RI,,,UPI000B79164A
AAEL019424,AAEL019424-RH,,,UPI000B7972F8
AAEL019424,AAEL019424-RG,,,UPI000B79164A
AAEL019424,AAEL019424-RF,,,UPI000B79164A
AAEL019424,AAEL019424-RE,,,UPI000B79164A
AAEL019424,AAEL019424-RD,,,UPI000B79164A
AAEL019424,AAEL019424-RC,,Q17IJ6,UPI000B78015B
AAEL019424,AAEL019424-RC,,A0A0P6K0Y3,UPI000B78015B
AAEL019424,AAEL019424-RB,,,UPI000B771F90
AAEL019424,AAEL019424-RA,,,UPI000B79164A
AAEL015202,AAEL015202-RB,,Q1HRC2,UPI000B777898
AAEL015202,AAEL015202-RB,,Q16EG0,UPI000B777898
AAEL020080,AAEL020080-RA,,Q17EK7,UPI000B76BD43
AAEL004631,AAEL004631-RA,,Q17C87,UPI0000244919
AAEL024939,AAEL024939-RA,,,UPI000B7895C7
AAEL009695,AAEL009695-RB,,Q16V46,UPI000B7972E5
AAEL009695,AAEL009695-RB,,A0A1S4FNH0,UPI000B7972E5
AAEL008632,AAEL008632-RB,,A0A1S4FJZ4,UPI000B789822
AAEL008632,AAEL008632-RA,,A0A1S4FJZ4,UPI000B789822
AAEL008632,AAEL008632-RA,,Q16Y91,UPI000B789822
AAEL008632,AAEL008632-RC,,A0A1S4FJZ4,UPI000B789822
AAEL020680,AAEL020680-RA,,,UPI000B78F5D8
AAEL026850,AAEL026850-RA,,,UPI000B788800
AAEL003067,AAEL003067-RA,,A0A1S4F3S0,UPI000B7870A1
AAEL003067,AAEL003067-RA,,Q0IG73,UPI000B7870A1
AAEL003067,AAEL003067-RB,,A0A1S4F3X9,UPI000B776853
AAEL003067,AAEL003067-RB,,Q0IG74,UPI000B776853
AAEL019425,AAEL019425-RA,,Q16FM9,UPI000B79473F
AAEL007523,AAEL007523-RA,,A0A1S4FGT1,UPI000B790BC2
AAEL007523,AAEL007523-RA,,Q171T9,UPI000B790BC2
AAEL027933,AAEL027933-RA,,Q16F65,UPI000B78D25A
AAEL027933,AAEL027933-RA,,A0A1S4G3H8,UPI000B78D25A
AAEL027933,AAEL027933-RA,,Q16IN8,UPI000B78D25A
AAEL006886,AAEL006886-RB,,Q174I1,UPI000B7704F1
AAEL018259,AAEL018259-RB,,A0A1S4G784,UPI000B780140
AAEL018259,AAEL018259-RB,,Q16JJ9,UPI000B780140
AAEL018259,AAEL018259-RB,,Q16JJ8,UPI000B780140
AAEL015313,AAEL015313-RA,OBP59,Q178U0,UPI0000DA9A33
AAEL015313,AAEL015313-RA,OBP59,Q16E98,UPI0000DA9A33
AAEL022320,AAEL022320-RA,,A0A1S4FS22,UPI000B78E6A0
AAEL022320,AAEL022320-RA,,Q16R80,UPI000B78E6A0
AAEL022320,AAEL022320-RA,,J9HT82,UPI000B78E6A0
AAEL001325,AAEL001325-RA,,Q17LH8,UPI0000DA89F8
AAEL001325,AAEL001325-RA,,Q17LH7,UPI0000DA89F8
AAEL011926,AAEL011926-RA,,A0A1S4FUQ5,UPI000B77226B
AAEL011926,AAEL011926-RA,,Q16NN2,UPI000B77226B
AAEL000829,AAEL000829-RA,,A0A1S4EWZ9,UPI000B777A49
AAEL000829,AAEL000829-RA,,Q17N38,UPI000B777A49
AAEL022190,AAEL022190-RA,,,UPI000B77C9ED
AAEL024357,AAEL024357-RA,,,UPI000B788DC3
AAEL003812,AAEL003812-RG,,,UPI000B78DFAE
AAEL003812,AAEL003812-RF,,Q17EI5,UPI000B78C5E4
AAEL003812,AAEL003812-RE,,,UPI000B793886
AAEL003812,AAEL003812-RD,,,UPI000B788971
AAEL003812,AAEL003812-RC,,,UPI000B78DFAE
AAEL003812,AAEL003812-RB,,A0A0P6IXF0,UPI000B77ABAC
AAEL000329,AAEL000329-RA,,A0A1S4EVJ0,UPI000B771210
AAEL000329,AAEL000329-RA,,Q17PH9,UPI000B771210
AAEL020603,AAEL020603-RC,,,UPI000B76E6E1
AAEL020603,AAEL020603-RB,,,UPI000B76E6E1
AAEL020603,AAEL020603-RA,,,UPI000B76E6E1
AAEL003921,AAEL003921-RA,,Q17E61,UPI0000DA937D
AAEL011487,AAEL011487-RB,OBP51,Q16PX5,UPI000B795F48
AAEL006910,AAEL006910-RA,,A0A1S4FF65,UPI00043B98C3
AAEL006910,AAEL006910-RA,,Q174F4,UPI00043B98C3
AAEL021387,AAEL021387-RB,,Q16TK7,UPI000B7757CC
AAEL021387,AAEL021387-RA,,,UPI000B7757CC
AAEL002254,AAEL002254-RA,,A0A1S4F1D7,UPI000B777413
AAEL002254,AAEL002254-RA,,Q17IR1,UPI000B777413
AAEL012225,AAEL012225-RB,,Q16MQ0,UPI000B785215
AAEL012225,AAEL012225-RB,,A0A1S4FVN6,UPI000B785215
AAEL012225,AAEL012225-RB,,Q16E89,UPI000B785215
AAEL019617,AAEL019617-RO,,,UPI000B77A612
AAEL019617,AAEL019617-RN,,,UPI000B77BE50
AAEL019617,AAEL019617-RM,,,UPI000B77BE50
AAEL019617,AAEL019617-RL,,,UPI000B77BE50
AAEL019617,AAEL019617-RK,,A0A0P6K0X9,UPI000B78C227
AAEL019617,AAEL019617-RJ,,,UPI000B77BE50
AAEL019617,AAEL019617-RI,,,UPI000B76FC0A
AAEL019617,AAEL019617-RH,,,UPI000B77236A
AAEL019617,AAEL019617-RG,,,UPI000B77BE50
AAEL019617,AAEL019617-RF,,Q17KU1,UPI000B78845C
AAEL019617,AAEL019617-RE,,,UPI000B76DE3B
AAEL019617,AAEL019617-RD,,,UPI000B77BE50
AAEL019617,AAEL019617-RC,,,UPI000B77BE50
AAEL019617,AAEL019617-RB,,,UPI000B77BE50
AAEL019617,AAEL019617-RA,,,UPI000B77BE50
AAEL004712,AAEL004712-RA,,Q17C26,UPI0000DA9646
AAEL017542,AAEL017542-RB,,,UPI000B773018
AAEL004340,AAEL004340-RC,,,UPI000B78C15E
AAEL004340,AAEL004340-RB,,Q17D35,UPI000B790936
AAEL008755,AAEL008755-RA,,Q16XU4,UPI0000DAA559
AAEL024813,AAEL024813-RA,Gr7,Q0C789,UPI000B78F2B1
AAEL001156,AAEL001156-RA,,Q17M27,UPI0000DA8937
AAEL001156,AAEL001156-RB,,Q17M27,UPI0000DA8937
AAEL024168,AAEL024168-RA,,Q16IE4,UPI0000000B5E
AAEL024224,AAEL024224-RA,,Q16IE4,UPI0000000B5E
AAEL006116,AAEL006116-RB,,Q177J2,UPI000B778658
AAEL006116,AAEL006116-RB,,A0A0P6J635,UPI000B778658
AAEL021911,AAEL021911-RA,,,UPI000B7795C2
AAEL010546,AAEL010546-RC,,Q16SM5,UPI0000DA914C
AAEL001839,AAEL001839-RA,,A0A1S4EZX1,UPI000B79187F
AAEL001839,AAEL001839-RA,,Q17K13,UPI000B79187F
AAEL001839,AAEL001839-RA,,Q6J6D2,UPI000B79187F
AAEL017238,AAEL017238-RB,GPRCCK1_2,J9HFI9,UPI000B77AC86
AAEL017238,AAEL017238-RB,GPRCCK1_2,A0A1S4G641,UPI000B77AC86
AAEL021256,AAEL021256-RA,,Q0C764,UPI000B78B123
AAEL021256,AAEL021256-RA,,A0A0P6J455,UPI000B78B123
AAEL021256,AAEL021256-RA,,A0A1S4EUN1,UPI000B78B123
AAEL024072,AAEL024072-RA,,,UPI000B77C1DB
AAEL015147,AAEL015147-RA,Or4,A0A1S7UE45,UPI000B789F08
AAEL015147,AAEL015147-RA,Or4,Q16NV7,UPI000B789F08
AAEL010340,AAEL010340-RE,,Q1HQW9,UPI0000D76ED8
AAEL010340,AAEL010340-RD,,Q1HQW9,UPI0000D76ED8
AAEL010340,AAEL010340-RC,,Q1HQW9,UPI0000D76ED8
AAEL005554,AAEL005554-RA,,A0A1S4FB05,UPI000B7883C6
AAEL005554,AAEL005554-RA,,Q179N2,UPI000B7883C6
AAEL024337,AAEL024337-RC,,,UPI000B797C99
AAEL024337,AAEL024337-RB,,Q171X9,UPI000B797C99
AAEL024337,AAEL024337-RB,,A0A0P6JS65,UPI000B797C99
AAEL024337,AAEL024337-RA,,,UPI000B797C99
AAEL012522,AAEL012522-RA,,A0A1S4FWV3,UPI00043BACEE
AAEL012522,AAEL012522-RA,,Q16LU3,UPI00043BACEE
AAEL012522,AAEL012522-RA,,Q16EG6,UPI00043BACEE
AAEL012522,AAEL012522-RA,,A0A1S4G4B5,UPI00043BACEE
AAEL014767,AAEL014767-RB,,A0A1S4G2Q8,UPI000B78B047
AAEL024437,AAEL024437-RA,,,UPI000B784404
AAEL008821,AAEL008821-RD,,Q16XR8,UPI0000DAA570
AAEL008821,AAEL008821-RB,,Q16XR8,UPI0000DAA570
AAEL008821,AAEL008821-RA,,Q16XR8,UPI0000DAA570
AAEL008821,AAEL008821-RC,,Q16XR8,UPI0000DAA570
AAEL018304,AAEL018304-RC,,A0A1S4G7D3,UPI000B783D6C
AAEL018304,AAEL018304-RB,,B7SD64,UPI000B78B60F
AAEL018304,AAEL018304-RB,,Q17F04,UPI000B78B60F
AAEL012352,AAEL012352-RA,,Q16MC0,UPI0000DAB314
AAEL023701,AAEL023701-RA,,Q17ID5,UPI000B76C1D6
AAEL027386,AAEL027386-RA,,,UPI000B76C43C
AAEL005420,AAEL005420-RA,,Q17A63,UPI0000DA98C7
AAEL005420,AAEL005420-RA,,Q16RU7,UPI0000DA98C7
AAEL005420,AAEL005420-RA,,Q16XF0,UPI0000DA98C7
AAEL006062,AAEL006062-RD,,Q177Q7,UPI000B78195C
AAEL006062,AAEL006062-RC,,,UPI000B785383
AAEL006062,AAEL006062-RB,,,UPI000B785383
AAEL000415,AAEL000415-RC,,Q17P68,UPI0000DA8671
AAEL000415,AAEL000415-RA,,Q17P68,UPI0000DA8671
AAEL000415,AAEL000415-RB,,Q17P68,UPI0000DA8671
AAEL025720,AAEL025720-RC,,,UPI000B77D8DD
AAEL025720,AAEL025720-RB,,,UPI000B786A80
AAEL025720,AAEL025720-RA,,,UPI000B783167
AAEL013169,AAEL013169-RB,,Q16JZ2,UPI000B77EED9
AAEL013169,AAEL013169-RB,,A0A1S4FY82,UPI000B77EED9
AAEL024598,AAEL024598-RF,,,UPI000B78B18C
AAEL024598,AAEL024598-RE,,,UPI000B76DC6B
AAEL024598,AAEL024598-RD,,Q17GD1,UPI000B7914BE
AAEL024598,AAEL024598-RD,,Q17GC9,UPI000B7914BE
AAEL024598,AAEL024598-RC,,,UPI000B781AF7
AAEL024598,AAEL024598-RB,,Q17GD0,UPI000B78B18C
AAEL024598,AAEL024598-RB,,Q16EP2,UPI000B78B18C
AAEL024598,AAEL024598-RA,,,UPI000B78B18C
AAEL021676,AAEL021676-RG,,Q17BK3,UPI000B78FDFE
AAEL021676,AAEL021676-RF,,,UPI000B786FB4
AAEL021676,AAEL021676-RE,,,UPI000B77BE92
AAEL021676,AAEL021676-RD,,,UPI000B76CDA2
AAEL021676,AAEL021676-RA,,Q16P94,UPI000B789385
AAEL018301,AAEL018301-RA,,A0A1S4G7L6,UPI00043BC6B1
AAEL018301,AAEL018301-RA,,Q17FK7,UPI00043BC6B1
AAEL018301,AAEL018301-RA,,Q175Q0,UPI00043BC6B1
AAEL018301,AAEL018301-RA,,Q17FK6,UPI00043BC6B1
AAEL007674,AAEL007674-RB,,Q171E3,UPI000B78DF6B
AAEL012273,AAEL012273-RB,,Q16MK4,UPI000B77CC55
AAEL005259,AAEL005259-RD,,,UPI000B790473
AAEL005259,AAEL005259-RB,,A0A1S4FA09,UPI000B7716F2
AAEL005259,AAEL005259-RB,,Q17AK5,UPI000B7716F2
AAEL005259,AAEL005259-RB,,Q17AK7,UPI000B7716F2
AAEL005259,AAEL005259-RB,,Q17AK6,UPI000B7716F2
AAEL005259,AAEL005259-RC,,A0A1S4FA24,UPI000B78E4A1
AAEL005858,AAEL005858-RA,,A0A1S4FBX1,UPI000B78A682
AAEL005858,AAEL005858-RA,,Q178L6,UPI000B78A682
AAEL001883,AAEL001883-RA,Med17,,UPI000B7843DD
AAEL023989,AAEL023989-RD,,,UPI000B77EE21
AAEL023989,AAEL023989-RC,,Q16M71,UPI000B77EE21
AAEL023989,AAEL023989-RC,,Q16H16,UPI000B77EE21
AAEL023989,AAEL023989-RB,,,UPI000B77EE21
AAEL023989,AAEL023989-RA,,,UPI000B77EE21
AAEL015286,AAEL015286-RA,,A0A1S4G3S4,UPI000B78F68A
AAEL015286,AAEL015286-RA,,Q16T13,UPI000B78F68A
AAEL015286,AAEL015286-RA,,J9HG92,UPI000B78F68A
AAEL015286,AAEL015286-RA,,A0A1S7UEE4,UPI000B78F68A
AAEL015286,AAEL015286-RA,,A0A1S4G703,UPI000B78F68A
AAEL015286,AAEL015286-RA,,A0A1S4FQ69,UPI000B78F68A
AAEL015286,AAEL015286-RA,,Q16EB5,UPI000B78F68A
AAEL015252,AAEL015252-RB,,Q1DH33,UPI0000D89518
AAEL011068,AAEL011068-RA,,Q16R66,UPI0000DAAE0E
AAEL004271,AAEL004271-RB,,Q17D94,UPI0000DA94B0
AAEL004271,AAEL004271-RA,,Q17D94,UPI0000DA94B0
AAEL013314,AAEL013314-RA,,Q16JJ2,UPI0000DAB6BA
AAEL009883,AAEL009883-RA,,Q16UJ3,UPI0000DAA9AD
AAEL015118,AAEL015118-RY,,,UPI000B77358E
AAEL015118,AAEL015118-RX,,,UPI000B77358E
AAEL015118,AAEL015118-RW,,,UPI000B77358E
AAEL015118,AAEL015118-RV,,,UPI000B77358E
AAEL015118,AAEL015118-RU,,,UPI000B77358E
AAEL015118,AAEL015118-RT,,,UPI000B77358E
AAEL015118,AAEL015118-RS,,,UPI000B77358E
AAEL015118,AAEL015118-RR,,,UPI000B791A3D
AAEL015118,AAEL015118-RQ,,,UPI000B77358E
AAEL015118,AAEL015118-RP,,,UPI000B77358E
AAEL015118,AAEL015118-RO,,Q16RU8,UPI000B77358E
AAEL015118,AAEL015118-RN,,,UPI000B77358E
AAEL015118,AAEL015118-RM,,,UPI000B77358E
AAEL015118,AAEL015118-RL,,,UPI000B77358E
AAEL015118,AAEL015118-RK,,,UPI000B77358E
AAEL015118,AAEL015118-RJ,,,UPI000B77358E
AAEL015118,AAEL015118-RI,,,UPI000B77358E
AAEL015118,AAEL015118-RH,,Q16RU8,UPI000B786243
AAEL015118,AAEL015118-RG,,,UPI000B77358E
AAEL015118,AAEL015118-RF,,,UPI000B77358E
AAEL015118,AAEL015118-RE,,,UPI000B77358E
AAEL015118,AAEL015118-RD,,,UPI000B77358E
AAEL015118,AAEL015118-RC,,,UPI000B77358E
AAEL015118,AAEL015118-RB,,,UPI000B77358E
AAEL001373,AAEL001373-RB,,Q17LD3,UPI000B788A1F
AAEL001373,AAEL001373-RB,,A0A1S4EYJ8,UPI000B788A1F
AAEL006880,AAEL006880-RF,,,UPI000B791355
AAEL006880,AAEL006880-RD,,Q174H5,UPI0000DA9E6E
