"uniprot_id","species","mirna","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A182GJU2","Aedes albopictus","aal-mir-622","MAP-5694530","Cargo concentration in the ER",5,36,1.36,0.62,0.0063,"RP20_CCG011177","SERPIN domain-containing protein; Belongs to the serpin family.",NA,NA,NA,NA,NA,NA,NA,"Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GSS4","Aedes albopictus","aal-mir-622","MAP-5694530","Cargo concentration in the ER",5,36,1.36,0.62,0.0063,"RP20_CCG015087","Protein transport protein SEC23; Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules; Belongs to the SEC23/SEC24 family. SEC23 subfamily.","Protein transport protein SEC23","Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules",NA,NA,"Protein transport protein sec23","SEC23A","Gelsolin,Sec23_BS,Sec23_helical,Sec23_trunk,zf-Sec23_Sec24","Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H4Q0","Aedes albopictus","aal-mir-622","MAP-5694530","Cargo concentration in the ER",5,36,1.36,0.62,0.0063,"RP20_CCG021652","SERPIN domain-containing protein; Belongs to the serpin family.",NA,NA,NA,NA,NA,NA,NA,"Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H4Q1","Aedes albopictus","aal-mir-622","MAP-5694530","Cargo concentration in the ER",5,36,1.36,0.62,0.0063,"RP20_CCG021653","SERPIN domain-containing protein; Belongs to the serpin family.",NA,NA,NA,NA,"Belongs to the serpin family",NA,"Serpin","Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182H581","Aedes albopictus","aal-mir-622","MAP-5694530","Cargo concentration in the ER",5,36,1.36,0.62,0.0063,"RP20_CCG021961","SERPIN domain-containing protein; Belongs to the serpin family.",NA,NA,NA,NA,"Belongs to the serpin family","SRPN16","Serpin","Reactome",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4I0","Aedes albopictus","aal-mir-193-5p","CL:27341","Endonuclease-reverse transcriptase",3,5,2.28,0.81,0.0048,"RP20_CCG002743","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182HB25","Aedes albopictus","aal-mir-193-5p","CL:27341","Endonuclease-reverse transcriptase",3,5,2.28,0.81,0.0048,"RP20_CCG025658","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182HDJ1","Aedes albopictus","aal-mir-193-5p","CL:27341","Endonuclease-reverse transcriptase",3,5,2.28,0.81,0.0048,"RP20_CCG027237","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Local Network Cluster String","immune","stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023ECJ9","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG026969","HIG1 domain-containing protein.","HIG1 domain-containing protein",NA,"mitochondrial respirasome assembly",NA,"Hypoxia induced protein conserved region","HIGD1C","HIG_1_N","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EFS1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG010314","Putative fatty acid-binding protein fabp; Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family.","Fatty acid-binding protein, muscle","Binds fatty acids in a 1:1 molar ratio",NA,"fatty acid binding","Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family","FABP5","Lipocalin","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EIB6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG003697","Putative gtp-binding protein.",NA,NA,"protein transport","GTP binding; GTPase activity","ADP-ribosylation factor family","RAB1A","Ras","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EJQ3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG003410","Putative secreted protein.","DNA replication complex GINS protein PSF3","Required for correct functioning of the GINS complex, a complex that plays an essential role in the initiation of DNA replication, and progression of DNA replication forks. GINS complex is a core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built","mitotic DNA replication initiation",NA,"GINS complex protein","GINS3","Sld5","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EK43","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG011742","Ferritin; Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation. Belongs to the ferritin family.","Ferritin","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation","intracellular iron ion homeostasis; iron ion transport","ferric iron binding; ferrous iron binding; ferroxidase activity","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation","Fer2LCH","Ferritin","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EMA3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG026959","Putative heat shock protein.",NA,NA,NA,NA,"DnaJ molecular chaperone homology domain","DNAJC8","DnaJ","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EPY3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG025494","Glyceraldehyde-3-phosphate dehydrogenase.","Glyceraldehyde-3-phosphate dehydrogenase",NA,"glucose metabolic process; glyceraldehyde-3-phosphate metabolic process; glycolytic process","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; NAD binding; NADP binding","Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain","GAPDH","Gp_dh_C,Gp_dh_N","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EQE1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG020920","Serine/threonine-protein phosphatase.","Serine/threonine-protein phosphatase",NA,NA,"metal ion binding; protein serine/threonine phosphatase activity","Serine threonine-protein phosphatase","PPP4C","Metallophos","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023ETF7","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG028645","Fam20C domain-containing protein.","FAM20 C-terminal domain-containing protein",NA,NA,"ATP binding; metal ion binding; protein serine/threonine kinase activity","Golgi casein kinase, C-terminal, Fam20","FAM20A","Fam20C","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G0N5","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG000101","GAR domain-containing protein.",NA,NA,NA,NA,"It is involved in the biological process described with cell cycle arrest","GAS2L1","CH,GAS2","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G0T6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG000220","CRAL-TRIO domain-containing protein.",NA,NA,NA,NA,"Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)",NA,"CRAL_TRIO","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G151","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG000437","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2A3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG001269","Uncharacterized protein.",NA,NA,NA,NA,"Fibronectin type 3 domain","NCAM2","I-set,Ig_3,fn3","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2Q1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG001576","Cleavage and polyadenylation specificity factor subunit 5; Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The  [...]",NA,NA,NA,NA,"Pre-mrna cleavage factor im, 25kD subunit","NUDT21","NUDIX_2","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2Y4","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG001707","Uncharacterized protein.",NA,NA,NA,NA,"ABC transporter transmembrane region 2","ABCD2","ABC_membrane_2,ABC_tran","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3H6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG002131","Transcription elongation factor SPT5.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3N7","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG002233","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4S8","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG002937","Exocyst complex component; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.",NA,NA,NA,NA,"Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane","EXOC6","Sec15","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G598","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG003245","Uncharacterized protein.",NA,NA,NA,NA,"transcription factor with a role in the retinal determination (RD) network. Contributes to differentiation of antenna-specific characteristics (By similarity)","dan","CENP-B_N","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G5Z9","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG003706","SH3 domain-containing protein.",NA,NA,NA,NA,"Fes/CIP4, and EFC/F-BAR homology domain","NOSTRIN","FCH,SH3_1,SH3_9","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G6N6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG004132","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G786","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG004462","RING-CH-type domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G7F5","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG004603","SEC7 domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GD72","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG007886","Protein cactus (TOLL pathway signalling).",NA,NA,NA,NA,"Protein cactus (TOLL pathway signalling)","NFKBIA","Ank,Ank_2,Ank_3,Ank_4,Ank_5","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDI3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008046","Coronin; Belongs to the WD repeat coronin family.",NA,NA,NA,NA,"Belongs to the WD repeat coronin family","CORO1C","DUF1899,Trimer_CC,WD40,WD40_4","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GDP6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008130","Glycogen [starch] synthase; Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan.",NA,NA,NA,NA,"Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan","GYS2","Glycogen_syn","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GE26","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008319","Serine/threonine-protein phosphatase; Belongs to the PPP phosphatase family.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GE86","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008406","RRM domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEC6","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008456","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEG3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008498","ATP-dependent DNA helicase; Belongs to the helicase family. RecQ subfamily.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GEP3","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008617","Acyl-coenzyme A oxidase; Belongs to the acyl-CoA oxidase family.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GER1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG008646","Histone H2B; Belongs to the histone H2B family.","Histone H2B","Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling",NA,NA,"Histone H2B",NA,"Histone","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GG23","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG009300","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GH02","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG009737","USP domain-containing protein.",NA,NA,NA,NA,"Belongs to the peptidase C19 family","USP32","DUSP,EF-hand_5,UCH,Ubiquitin_3","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GHU9","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG010187","Uncharacterized protein.",NA,NA,NA,NA,"WWE domain",NA,"HECT,WWE","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GIN2","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG010567","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GJ49","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG010799","Uncharacterized protein.",NA,NA,NA,NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,"RVT_2,Retrotran_gag_2,gag_pre-integrs,rve","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GK16","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG011270","CPSF_A domain-containing protein.",NA,NA,NA,NA,"Mono-functional DNA-alkylating methyl methanesulfonate N-term","CPSF1","CPSF_A,MMS1_N","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GKR1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG011607","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLB9","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG011899","KH domain-containing protein.","K Homology domain-containing protein",NA,NA,NA,"Homodimerisation region of STAR domain protein","QKI","KH_1,Quaking_NLS,STAR_dimer","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLI1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG012000","UDP-glucuronosyltransferase; Belongs to the UDP-glycosyltransferase family.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLJ0","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG012009","Uncharacterized protein.",NA,NA,NA,NA,"Nuclear hormone receptor ftz-f1 beta","Hr39","Hormone_recep,zf-C4","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GLV4","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG012161","TPR_REGION domain-containing protein.",NA,NA,NA,NA,"Anaphase-promoting complex, cyclosome, subunit 3","CDC27","ANAPC3,TPR_1,TPR_16,TPR_6,TPR_8","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GM05","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG012242","BHLH domain-containing protein.",NA,NA,NA,NA,"helix loop helix domain","ID2","HLH","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMC1","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG012416","Coatomer subunit gamma; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin- coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMD7","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG012454","RRM domain-containing protein.",NA,NA,NA,NA,"RNA recognition motif","CPSF6","RRM_1","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GMS9","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG012629","Lipid_DES domain-containing protein; Belongs to the fatty acid desaturase type 1 family. DEGS subfamily.",NA,NA,NA,NA,"Sphingolipid delta 4 desaturase c-4 hydroxylase protein des2","DEGS1","FA_desaturase,Lipid_DES","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182GP53","Aedes albopictus","aal-mir-4728-5p","GOCC:0005622","Intracellular",101,8504,0.14,0.36,0.0028,"RP20_CCG013278","NR LBD domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
