#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
UPI0007D63967	7159.AAEL005701-PA	1.16e-247	682	"KOG1471@1|root,KOG1471@2759|Eukaryota,38BQK@33154|Opisthokonta,3BC9U@33208|Metazoa,3CV9G@33213|Bilateria,41XWX@6656|Arthropoda,3SG6C@50557|Insecta,452F6@7147|Diptera,45H3F@7148|Nematocera"	33208|Metazoa	I	"CRAL/TRIO, N-terminal domain"	CLVS1	"GO:0000139,GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0006996,GO:0007033,GO:0007040,GO:0008150,GO:0008289,GO:0009987,GO:0012505,GO:0016020,GO:0016043,GO:0030135,GO:0030136,GO:0031090,GO:0031410,GO:0031982,GO:0031984,GO:0032588,GO:0035091,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0071840,GO:0080025,GO:0080171,GO:0097708,GO:0098588,GO:0098791,GO:1901981,GO:1902936"	-	-	-	-	-	-	-	-	-	-	"CRAL_TRIO,CRAL_TRIO_N"
UPI0007D47AEB	7159.AAEL006934-PA	7.74e-95	282	"KOG4043@1|root,KOG4043@2759|Eukaryota,39RGP@33154|Opisthokonta,3BEKF@33208|Metazoa,3D073@33213|Bilateria,41WAB@6656|Arthropoda,3SFUQ@50557|Insecta,451P7@7147|Diptera,45FYE@7148|Nematocera"	33208|Metazoa	K	Mediator of RNA polymerase II transcription subunit 19	MED19	"GO:0003674,GO:0003712,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0008134,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0016592,GO:0016604,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141"	-	ko:K15137	-	-	-	-	"ko00000,ko03021"	-	-	-	Med19
UPI0007D4BE1C	7159.AAEL003959-PA	4.62e-226	623	"COG1028@1|root,KOG1205@2759|Eukaryota,38HW1@33154|Opisthokonta,3BFJM@33208|Metazoa,3CYPY@33213|Bilateria,41VEC@6656|Arthropoda,3SK1Z@50557|Insecta,450QP@7147|Diptera,45EX8@7148|Nematocera"	33208|Metazoa	Q	Belongs to the short-chain dehydrogenases reductases (SDR) family	DHRS7	-	-	ko:K11165	-	-	-	-	"ko00000,ko01000"	-	-	-	adh_short
UPI0007D62237	7176.CPIJ017423-PA	5.97e-37	140	"2D0YH@1|root,2SG10@2759|Eukaryota,3ABTP@33154|Opisthokonta,3BWI4@33208|Metazoa,3E5WC@33213|Bilateria,42AZB@6656|Arthropoda,3T0D7@50557|Insecta,459BK@7147|Diptera"	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
UPI0007D42E1B	7176.CPIJ004583-PA	0	1074	"COG5190@1|root,KOG0323@2759|Eukaryota,38IPM@33154|Opisthokonta,3BB6D@33208|Metazoa,3CTTC@33213|Bilateria,41U81@6656|Arthropoda,3SHZA@50557|Insecta,44X18@7147|Diptera,45EYC@7148|Nematocera"	33208|Metazoa	L	RNA polymerase ii	CTDP1	"GO:0000278,GO:0000280,GO:0000428,GO:0000922,GO:0001085,GO:0001091,GO:0001096,GO:0001098,GO:0001099,GO:0001558,GO:0003674,GO:0003824,GO:0004721,GO:0004722,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005700,GO:0005813,GO:0005815,GO:0005819,GO:0005856,GO:0006139,GO:0006351,GO:0006354,GO:0006355,GO:0006357,GO:0006366,GO:0006368,GO:0006464,GO:0006470,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007049,GO:0008134,GO:0008150,GO:0008152,GO:0008420,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010458,GO:0010467,GO:0010468,GO:0010556,GO:0010611,GO:0010614,GO:0010721,GO:0014741,GO:0014743,GO:0015630,GO:0016043,GO:0016070,GO:0016202,GO:0016311,GO:0016591,GO:0016787,GO:0016788,GO:0016791,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0022402,GO:0030308,GO:0030496,GO:0030880,GO:0030957,GO:0031323,GO:0031326,GO:0031974,GO:0031981,GO:0032774,GO:0032991,GO:0034641,GO:0034645,GO:0034654,GO:0035821,GO:0036211,GO:0040008,GO:0042578,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043502,GO:0043900,GO:0043902,GO:0043903,GO:0043921,GO:0043923,GO:0044057,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044446,GO:0044451,GO:0044464,GO:0044770,GO:0044772,GO:0045595,GO:0045596,GO:0045843,GO:0045926,GO:0046483,GO:0046620,GO:0046621,GO:0046782,GO:0048285,GO:0048518,GO:0048519,GO:0048523,GO:0048524,GO:0048583,GO:0048634,GO:0048635,GO:0048638,GO:0048640,GO:0050434,GO:0050789,GO:0050792,GO:0050793,GO:0050794,GO:0051093,GO:0051128,GO:0051147,GO:0051148,GO:0051153,GO:0051154,GO:0051171,GO:0051233,GO:0051239,GO:0051241,GO:0051252,GO:0051702,GO:0051704,GO:0051817,GO:0051851,GO:0052312,GO:0052472,GO:0055021,GO:0055022,GO:0055024,GO:0055026,GO:0055029,GO:0060255,GO:0060284,GO:0060420,GO:0061050,GO:0061052,GO:0061117,GO:0061695,GO:0065007,GO:0070013,GO:0070940,GO:0071704,GO:0071840,GO:0080090,GO:0090257,GO:0090304,GO:0097659,GO:0140014,GO:0140096,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1901861,GO:1901862,GO:1902494,GO:1903047,GO:1903506,GO:1905207,GO:1905208,GO:1990234,GO:2000026,GO:2000112,GO:2000725,GO:2000726,GO:2001141"	3.1.3.16	ko:K15732	-	-	-	-	"ko00000,ko01000,ko01009,ko03021"	-	-	-	"BRCT,FCP1_C,NIF,PTCB-BRCT"
tr|A0A182H373|A0A182H373_AEDAL	7668.SPU_020388-tr	2.31e-31	129	"COG2801@1|root,KOG0017@2759|Eukaryota,38F42@33154|Opisthokonta,3BA5H@33208|Metazoa"	33208|Metazoa	OU	K02A2.6-like	-	-	-	-	-	-	-	-	-	-	-	-	"RVT_1,rve,zf-H2C2"
UPI0007D408EA	7159.AAEL010433-PA	0	1036	"KOG0639@1|root,KOG0639@2759|Eukaryota,38CG0@33154|Opisthokonta,3B9SX@33208|Metazoa,3CU80@33213|Bilateria,41TFD@6656|Arthropoda,3SFW4@50557|Insecta,450E0@7147|Diptera,45FSJ@7148|Nematocera"	33208|Metazoa	B	Groucho protein	-	"GO:0000003,GO:0000122,GO:0001505,GO:0003006,GO:0003674,GO:0003712,GO:0003714,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0007154,GO:0007267,GO:0007268,GO:0007275,GO:0007399,GO:0007530,GO:0007538,GO:0007539,GO:0007541,GO:0008134,GO:0008150,GO:0008589,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010646,GO:0010648,GO:0010769,GO:0010975,GO:0018993,GO:0019219,GO:0019222,GO:0019904,GO:0022008,GO:0022414,GO:0022603,GO:0022604,GO:0023051,GO:0023052,GO:0023057,GO:0030111,GO:0030154,GO:0030178,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031344,GO:0032501,GO:0032502,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045595,GO:0045664,GO:0045879,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050767,GO:0050770,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0051128,GO:0051171,GO:0051172,GO:0051239,GO:0051252,GO:0051253,GO:0051960,GO:0060255,GO:0060284,GO:0060828,GO:0065007,GO:0065008,GO:0070491,GO:0071837,GO:0071906,GO:0080090,GO:0090090,GO:0098916,GO:0099536,GO:0099537,GO:0120035,GO:0140110,GO:1902679,GO:1903506,GO:1903507,GO:2000026,GO:2000112,GO:2000113,GO:2001141"	-	ko:K04497	"ko04013,ko04310,ko04330,map04013,map04310,map04330"	-	-	-	"ko00000,ko00001"	-	-	-	"TLE_N,WD40"
UPI0007D10EAD	7159.AAEL009142-PA	0	1469	"COG1505@1|root,KOG2237@2759|Eukaryota,38DGX@33154|Opisthokonta,3BADV@33208|Metazoa,3CXQ9@33213|Bilateria,41VJK@6656|Arthropoda,3SFZ9@50557|Insecta,4524F@7147|Diptera,45F0H@7148|Nematocera"	33208|Metazoa	O	"Prolyl oligopeptidase, N-terminal beta-propeller domain"	PREP	"GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0016788,GO:0017171,GO:0019538,GO:0033218,GO:0042277,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0052689,GO:0070011,GO:0071704,GO:0140096,GO:1901564"	3.4.21.26	ko:K01322	"ko04614,map04614"	-	-	-	"ko00000,ko00001,ko01000,ko01002"	-	-	-	"Peptidase_S9,Peptidase_S9_N"
tr|A0A182G131|A0A182G131_AEDAL	7159.AAEL004551-PA	4.79e-196	581	"2BZ5D@1|root,2QTHP@2759|Eukaryota,39RGY@33154|Opisthokonta,3BBHE@33208|Metazoa,3CSU3@33213|Bilateria,41YQN@6656|Arthropoda,3SM50@50557|Insecta,451D1@7147|Diptera,45EP0@7148|Nematocera"	33208|Metazoa	S	COMPASS (Complex proteins associated with Set1p) component shg1	BOD1L1	"GO:0003008,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007275,GO:0007399,GO:0007416,GO:0007528,GO:0007610,GO:0007611,GO:0007612,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0022607,GO:0031297,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0033554,GO:0034641,GO:0034645,GO:0040007,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045005,GO:0046483,GO:0046958,GO:0048589,GO:0048731,GO:0048856,GO:0050808,GO:0050877,GO:0050890,GO:0050896,GO:0051124,GO:0051716,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1901576"	-	-	-	-	-	-	-	-	-	-	COMPASS-Shg1
UPI0007D2CAF7	5059.CADAFLAP00013483	4.05e-38	140	"KOG1075@1|root,KOG1075@2759|Eukaryota,39SG3@33154|Opisthokonta,3P4RB@4751|Fungi"	4751|Fungi	S	Reverse transcriptase (RNA-dependent DNA polymerase)	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
UPI0007D1BAB2	7159.AAEL018318-PA	0	1000	"KOG0006@1|root,KOG0006@2759|Eukaryota,39TKX@33154|Opisthokonta,3BAVM@33208|Metazoa,3CS3K@33213|Bilateria,41WYY@6656|Arthropoda,3SHXY@50557|Insecta,450V8@7147|Diptera,45H8W@7148|Nematocera"	33208|Metazoa	O	"Functions within a multiprotein E3 ubiquitin ligase complex, catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins"	PARK2	"GO:0000003,GO:0000122,GO:0000139,GO:0000151,GO:0000209,GO:0000266,GO:0000422,GO:0000423,GO:0000976,GO:0001067,GO:0001101,GO:0001504,GO:0001505,GO:0001558,GO:0001664,GO:0001932,GO:0001933,GO:0001959,GO:0001961,GO:0001963,GO:0001964,GO:0002020,GO:0002791,GO:0002792,GO:0002793,GO:0003006,GO:0003008,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003779,GO:0003824,GO:0004842,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005783,GO:0005789,GO:0005794,GO:0005829,GO:0006109,GO:0006140,GO:0006355,GO:0006357,GO:0006464,GO:0006508,GO:0006511,GO:0006513,GO:0006584,GO:0006725,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006836,GO:0006839,GO:0006914,GO:0006915,GO:0006950,GO:0006979,GO:0006986,GO:0006996,GO:0007005,GO:0007034,GO:0007041,GO:0007154,GO:0007267,GO:0007268,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007292,GO:0007399,GO:0007417,GO:0007420,GO:0007568,GO:0007584,GO:0007610,GO:0007611,GO:0007612,GO:0007626,GO:0008013,GO:0008021,GO:0008092,GO:0008104,GO:0008150,GO:0008152,GO:0008219,GO:0008270,GO:0008340,GO:0008344,GO:0008345,GO:0008637,GO:0009056,GO:0009057,GO:0009605,GO:0009636,GO:0009712,GO:0009719,GO:0009725,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010038,GO:0010042,GO:0010243,GO:0010259,GO:0010468,GO:0010498,GO:0010506,GO:0010508,GO:0010556,GO:0010557,GO:0010558,GO:0010562,GO:0010563,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010635,GO:0010636,GO:0010637,GO:0010638,GO:0010639,GO:0010646,GO:0010647,GO:0010648,GO:0010675,GO:0010677,GO:0010720,GO:0010803,GO:0010817,GO:0010821,GO:0010822,GO:0010823,GO:0010906,GO:0010918,GO:0010941,GO:0010942,GO:0010975,GO:0010976,GO:0010992,GO:0010994,GO:0012501,GO:0012505,GO:0012506,GO:0014059,GO:0014069,GO:0014070,GO:0014823,GO:0014850,GO:0015631,GO:0015696,GO:0015844,GO:0015850,GO:0015872,GO:0015893,GO:0016020,GO:0016032,GO:0016043,GO:0016192,GO:0016234,GO:0016235,GO:0016236,GO:0016239,GO:0016241,GO:0016567,GO:0016579,GO:0016604,GO:0016607,GO:0016740,GO:0017124,GO:0017144,GO:0017157,GO:0018958,GO:0019048,GO:0019054,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019725,GO:0019787,GO:0019867,GO:0019899,GO:0019900,GO:0019901,GO:0019904,GO:0019941,GO:0019953,GO:0022008,GO:0022411,GO:0022412,GO:0022414,GO:0022603,GO:0022604,GO:0022607,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030100,GO:0030111,GO:0030133,GO:0030154,GO:0030162,GO:0030163,GO:0030165,GO:0030178,GO:0030307,GO:0030334,GO:0030336,GO:0030382,GO:0030424,GO:0030534,GO:0030537,GO:0030544,GO:0030658,GO:0030659,GO:0030672,GO:0030808,GO:0030810,GO:0031072,GO:0031090,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031329,GO:0031331,GO:0031344,GO:0031346,GO:0031396,GO:0031398,GO:0031399,GO:0031400,GO:0031401,GO:0031410,GO:0031624,GO:0031625,GO:0031644,GO:0031645,GO:0031647,GO:0031648,GO:0031667,GO:0031668,GO:0031669,GO:0031670,GO:0031960,GO:0031966,GO:0031967,GO:0031968,GO:0031974,GO:0031975,GO:0031981,GO:0031982,GO:0031984,GO:0032024,GO:0032092,GO:0032182,GO:0032231,GO:0032232,GO:0032268,GO:0032269,GO:0032270,GO:0032279,GO:0032368,GO:0032386,GO:0032388,GO:0032434,GO:0032436,GO:0032446,GO:0032501,GO:0032502,GO:0032504,GO:0032872,GO:0032873,GO:0032879,GO:0032880,GO:0032956,GO:0032970,GO:0032991,GO:0033036,GO:0033043,GO:0033131,GO:0033132,GO:0033157,GO:0033238,GO:0033267,GO:0033365,GO:0033554,GO:0033673,GO:0033993,GO:0034613,GO:0034620,GO:0034622,GO:0034976,GO:0035249,GO:0035519,GO:0035690,GO:0035774,GO:0035821,GO:0035966,GO:0035967,GO:0036211,GO:0036477,GO:0036503,GO:0040008,GO:0040012,GO:0040013,GO:0042053,GO:0042069,GO:0042175,GO:0042176,GO:0042221,GO:0042325,GO:0042326,GO:0042391,GO:0042415,GO:0042417,GO:0042493,GO:0042592,GO:0042802,GO:0042826,GO:0042981,GO:0042995,GO:0043005,GO:0043025,GO:0043065,GO:0043066,GO:0043067,GO:0043068,GO:0043069,GO:0043086,GO:0043122,GO:0043123,GO:0043130,GO:0043161,GO:0043167,GO:0043169,GO:0043170,GO:0043195,GO:0043200,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043269,GO:0043274,GO:0043388,GO:0043393,GO:0043408,GO:0043409,GO:0043412,GO:0043523,GO:0043524,GO:0043549,GO:0043565,GO:0043632,GO:0043653,GO:0043679,GO:0043900,GO:0043901,GO:0043903,GO:0043933,GO:0044003,GO:0044057,GO:0044068,GO:0044085,GO:0044087,GO:0044092,GO:0044093,GO:0044212,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044297,GO:0044306,GO:0044314,GO:0044389,GO:0044390,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044429,GO:0044431,GO:0044432,GO:0044433,GO:0044444,GO:0044446,GO:0044451,GO:0044456,GO:0044463,GO:0044464,GO:0044703,GO:0044788,GO:0044793,GO:0044827,GO:0044828,GO:0044877,GO:0045069,GO:0045071,GO:0045121,GO:0045202,GO:0045472,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045732,GO:0045806,GO:0045838,GO:0045862,GO:0045892,GO:0045893,GO:0045912,GO:0045920,GO:0045927,GO:0045934,GO:0045935,GO:0045936,GO:0045937,GO:0045944,GO:0045981,GO:0046328,GO:0046329,GO:0046676,GO:0046677,GO:0046872,GO:0046883,GO:0046887,GO:0046888,GO:0046914,GO:0046928,GO:0046929,GO:0048070,GO:0048073,GO:0048075,GO:0048076,GO:0048078,GO:0048087,GO:0048232,GO:0048285,GO:0048468,GO:0048471,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048525,GO:0048545,GO:0048583,GO:0048584,GO:0048585,GO:0048609,GO:0048638,GO:0048639,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048878,GO:0050433,GO:0050708,GO:0050709,GO:0050714,GO:0050764,GO:0050765,GO:0050767,GO:0050769,GO:0050789,GO:0050790,GO:0050792,GO:0050793,GO:0050794,GO:0050796,GO:0050801,GO:0050804,GO:0050805,GO:0050821,GO:0050877,GO:0050890,GO:0050896,GO:0050905,GO:0051046,GO:0051047,GO:0051048,GO:0051049,GO:0051050,GO:0051051,GO:0051087,GO:0051093,GO:0051094,GO:0051098,GO:0051099,GO:0051101,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051179,GO:0051222,GO:0051223,GO:0051224,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051252,GO:0051253,GO:0051254,GO:0051258,GO:0051270,GO:0051271,GO:0051338,GO:0051341,GO:0051348,GO:0051354,GO:0051384,GO:0051385,GO:0051412,GO:0051493,GO:0051494,GO:0051580,GO:0051582,GO:0051583,GO:0051588,GO:0051589,GO:0051590,GO:0051603,GO:0051640,GO:0051641,GO:0051646,GO:0051649,GO:0051701,GO:0051702,GO:0051704,GO:0051716,GO:0051817,GO:0051851,GO:0051865,GO:0051881,GO:0051934,GO:0051937,GO:0051952,GO:0051960,GO:0051962,GO:0051966,GO:0051967,GO:0055065,GO:0055069,GO:0055076,GO:0055080,GO:0060099,GO:0060101,GO:0060249,GO:0060255,GO:0060284,GO:0060322,GO:0060341,GO:0060359,GO:0060548,GO:0060627,GO:0060759,GO:0060760,GO:0060828,GO:0061136,GO:0061178,GO:0061630,GO:0061659,GO:0061726,GO:0061734,GO:0061912,GO:0061919,GO:0062012,GO:0062013,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070050,GO:0070201,GO:0070302,GO:0070303,GO:0070382,GO:0070534,GO:0070585,GO:0070646,GO:0070647,GO:0070727,GO:0070841,GO:0070842,GO:0070887,GO:0070936,GO:0070979,GO:0071229,GO:0071230,GO:0071241,GO:0071242,GO:0071248,GO:0071287,GO:0071310,GO:0071407,GO:0071417,GO:0071495,GO:0071496,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071867,GO:0071868,GO:0071869,GO:0071870,GO:0072507,GO:0080090,GO:0080134,GO:0080135,GO:0085020,GO:0090087,GO:0090090,GO:0090140,GO:0090141,GO:0090199,GO:0090201,GO:0090258,GO:0090276,GO:0090277,GO:0090278,GO:0090394,GO:0090493,GO:0090494,GO:0097159,GO:0097164,GO:0097237,GO:0097305,GO:0097327,GO:0097413,GO:0097458,GO:0097602,GO:0097708,GO:0098588,GO:0098589,GO:0098657,GO:0098771,GO:0098779,GO:0098780,GO:0098791,GO:0098793,GO:0098794,GO:0098805,GO:0098810,GO:0098815,GO:0098827,GO:0098857,GO:0098916,GO:0098984,GO:0099074,GO:0099075,GO:0099177,GO:0099501,GO:0099503,GO:0099536,GO:0099537,GO:0099572,GO:0110053,GO:0120025,GO:0120035,GO:0120038,GO:0140096,GO:0140110,GO:0150003,GO:0150034,GO:1900371,GO:1900373,GO:1900407,GO:1900408,GO:1900542,GO:1900544,GO:1901074,GO:1901075,GO:1901214,GO:1901215,GO:1901360,GO:1901363,GO:1901524,GO:1901526,GO:1901564,GO:1901565,GO:1901575,GO:1901615,GO:1901654,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1901796,GO:1901797,GO:1901800,GO:1902065,GO:1902175,GO:1902176,GO:1902235,GO:1902236,GO:1902253,GO:1902254,GO:1902283,GO:1902494,GO:1902528,GO:1902530,GO:1902531,GO:1902532,GO:1902533,GO:1902679,GO:1902680,GO:1902803,GO:1902882,GO:1902883,GO:1902903,GO:1902904,GO:1902914,GO:1902916,GO:1903008,GO:1903050,GO:1903052,GO:1903146,GO:1903201,GO:1903202,GO:1903203,GO:1903204,GO:1903214,GO:1903265,GO:1903299,GO:1903300,GO:1903320,GO:1903322,GO:1903350,GO:1903351,GO:1903362,GO:1903364,GO:1903376,GO:1903377,GO:1903381,GO:1903382,GO:1903426,GO:1903427,GO:1903506,GO:1903507,GO:1903508,GO:1903530,GO:1903531,GO:1903532,GO:1903533,GO:1903541,GO:1903542,GO:1903573,GO:1903578,GO:1903580,GO:1903599,GO:1903649,GO:1903651,GO:1903747,GO:1903827,GO:1903829,GO:1903859,GO:1903861,GO:1903900,GO:1903901,GO:1904048,GO:1904049,GO:1904643,GO:1904844,GO:1904845,GO:1904880,GO:1904881,GO:1904923,GO:1904925,GO:1904950,GO:1904951,GO:1904978,GO:1904979,GO:1905153,GO:1905154,GO:1905232,GO:1905279,GO:1905281,GO:1905365,GO:1905366,GO:1905475,GO:1905477,GO:1905897,GO:1905952,GO:1990234,GO:1990381,GO:1990444,GO:1990452,GO:1990837,GO:2000026,GO:2000058,GO:2000060,GO:2000112,GO:2000113,GO:2000145,GO:2000146,GO:2000377,GO:2000378,GO:2000425,GO:2000426,GO:2001023,GO:2001141,GO:2001169,GO:2001171,GO:2001233,GO:2001234,GO:2001242,GO:2001243"	2.3.2.31	ko:K04556	"ko04120,ko04137,ko04141,ko05012,map04120,map04137,map04141,map05012"	-	-	-	"ko00000,ko00001,ko01000,ko03029,ko04121,ko04131"	-	-	-	"IBR,ubiquitin"
