"X.query","uniprot_id","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"tr|Q17B44|Q17B44_AEDAE","Q17B44","7159.AAEL005089-PA","3.27e-300","830","2CSJZ@1|root,2RC7F@2759|Eukaryota,39XSI@33154|Opisthokonta,3BNYF@33208|Metazoa,3D66G@33213|Bilateria,41YDU@6656|Arthropoda,3SFUF@50557|Insecta,44XJC@7147|Diptera,45FFP@7148|Nematocera","33208|Metazoa",NA,NA,NA,"GO:0003008,GO:0003674,GO:0005096,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0007610,GO:0007611,GO:0007612,GO:0007613,GO:0007615,GO:0007635,GO:0008016,GO:0008047,GO:0008150,GO:0008306,GO:0008355,GO:0030234,GO:0030424,GO:0030695,GO:0032501,GO:0036477,GO:0042048,GO:0042221,GO:0042995,GO:0043005,GO:0043025,GO:0043085,GO:0043087,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043547,GO:0044057,GO:0044093,GO:0044297,GO:0044424,GO:0044464,GO:0050789,GO:0050790,GO:0050877,GO:0050890,GO:0050896,GO:0051239,GO:0051336,GO:0051345,GO:0060589,GO:0065007,GO:0065009,GO:0097458,GO:0098772,GO:0120025,GO:1903522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIM"
"tr|Q0IFA2|Q0IFA2_AEDAE","Q0IFA2","7159.AAEL006399-PA","9.83e-298","813","KOG2685@1|root,KOG2685@2759|Eukaryota,38FQN@33154|Opisthokonta,3BE1P@33208|Metazoa,3CWV2@33213|Bilateria,41UB0@6656|Arthropoda,3SH2W@50557|Insecta,451DK@7147|Diptera,45GGK@7148|Nematocera","33208|Metazoa","Z","Tektin family","TEKT2","GO:0000226,GO:0001539,GO:0001578,GO:0003341,GO:0003674,GO:0005198,GO:0005200,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005815,GO:0005856,GO:0005929,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007020,GO:0008150,GO:0009987,GO:0015630,GO:0016043,GO:0022607,GO:0030030,GO:0030031,GO:0030317,GO:0031109,GO:0031514,GO:0034622,GO:0035082,GO:0036126,GO:0036159,GO:0040011,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0044782,GO:0046785,GO:0048870,GO:0051179,GO:0051258,GO:0051674,GO:0060271,GO:0060285,GO:0060294,GO:0065003,GO:0070286,GO:0070925,GO:0071840,GO:0097223,GO:0097435,GO:0097722,GO:0097729,GO:0120025,GO:0120031,GO:0120036",NA,"ko:K18629",NA,NA,NA,NA,"ko00000,ko04812",NA,NA,NA,"Tektin"
"tr|Q16NS4|Q16NS4_AEDAE","Q16NS4","7159.AAEL011870-PA","5.56e-293","808","KOG1073@1|root,KOG1073@2759|Eukaryota,38HND@33154|Opisthokonta,3BFD4@33208|Metazoa,3CYJ9@33213|Bilateria,41VUW@6656|Arthropoda,3SHS8@50557|Insecta,4523H@7147|Diptera,45BRA@7148|Nematocera","33208|Metazoa","U","FDF","LSM14A","GO:0000226,GO:0000242,GO:0000932,GO:0001817,GO:0001819,GO:0001959,GO:0001961,GO:0002218,GO:0002221,GO:0002252,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002753,GO:0002757,GO:0002758,GO:0002764,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003723,GO:0003725,GO:0003727,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005813,GO:0005815,GO:0005819,GO:0005829,GO:0005856,GO:0006417,GO:0006950,GO:0006952,GO:0006996,GO:0007010,GO:0007017,GO:0007154,GO:0007165,GO:0008150,GO:0009605,GO:0009607,GO:0009615,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009967,GO:0009987,GO:0010468,GO:0010494,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0010646,GO:0010647,GO:0015630,GO:0016043,GO:0017148,GO:0017151,GO:0019222,GO:0019899,GO:0022607,GO:0022613,GO:0022618,GO:0023051,GO:0023052,GO:0023056,GO:0030029,GO:0030036,GO:0030522,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031347,GO:0031349,GO:0032268,GO:0032269,GO:0032991,GO:0033962,GO:0034248,GO:0034249,GO:0034622,GO:0035556,GO:0035770,GO:0036464,GO:0039528,GO:0039529,GO:0043186,GO:0043207,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044450,GO:0044464,GO:0044764,GO:0045088,GO:0045089,GO:0045169,GO:0045495,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051233,GO:0051239,GO:0051240,GO:0051246,GO:0051248,GO:0051607,GO:0051704,GO:0051707,GO:0051716,GO:0060255,GO:0060293,GO:0060338,GO:0060340,GO:0060759,GO:0060760,GO:0065003,GO:0065007,GO:0070925,GO:0071826,GO:0071840,GO:0080090,GO:0080134,GO:0097159,GO:0098542,GO:0098586,GO:1901363,GO:1990124,GO:1990904,GO:2000112,GO:2000113",NA,"ko:K18749",NA,NA,NA,NA,"ko00000,ko03019",NA,NA,NA,"FDF,LSM14"
"tr|Q16FV7|Q16FV7_AEDAE","Q16FV7","7159.AAEL014620-PA","2.62e-265","729","29DR5@1|root,2RKVF@2759|Eukaryota,38X63@33154|Opisthokonta,3BNHD@33208|Metazoa,3D5VA@33213|Bilateria,41YKT@6656|Arthropoda,3SJNS@50557|Insecta,452Q4@7147|Diptera,45J5S@7148|Nematocera","33208|Metazoa","S","Resistance to inhibitors of cholinesterase homologue 3",NA,"GO:0003674,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0006457,GO:0006807,GO:0007154,GO:0007267,GO:0007268,GO:0007271,GO:0008104,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016020,GO:0016021,GO:0019538,GO:0022417,GO:0023052,GO:0031224,GO:0033036,GO:0033130,GO:0034394,GO:0034613,GO:0036477,GO:0042995,GO:0043005,GO:0043025,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044297,GO:0044424,GO:0044425,GO:0044464,GO:0051082,GO:0051179,GO:0051604,GO:0051641,GO:0061077,GO:0070727,GO:0071704,GO:0097458,GO:0098916,GO:0099536,GO:0099537,GO:0120025,GO:1901564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RIC3"
"tr|Q1HRV7|Q1HRV7_AEDAE","Q1HRV7","7159.AAEL007420-PB","1.03e-305","832","COG4826@1|root,KOG2392@2759|Eukaryota,395XK@33154|Opisthokonta,3CABP@33208|Metazoa,3DRH2@33213|Bilateria,424FC@6656|Arthropoda,3STPA@50557|Insecta,4589B@7147|Diptera,45K2Y@7148|Nematocera","33208|Metazoa","V","Belongs to the serpin family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Serpin"
"tr|Q17GF2|Q17GF2_AEDAE","Q17GF2","7159.AAEL003109-PA","0","1074","KOG2037@1|root,KOG2037@2759|Eukaryota,38BBH@33154|Opisthokonta,3BBBI@33208|Metazoa,3CSE2@33213|Bilateria,41TQC@6656|Arthropoda,3SK6M@50557|Insecta,451JZ@7147|Diptera,45DYB@7148|Nematocera","33208|Metazoa","S","Guanylate-binding protein, N-terminal domain","ATL2","GO:0000137,GO:0000166,GO:0000226,GO:0000902,GO:0000904,GO:0001558,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005794,GO:0005795,GO:0006996,GO:0007010,GO:0007017,GO:0007019,GO:0007029,GO:0007030,GO:0007275,GO:0007399,GO:0007409,GO:0007416,GO:0007517,GO:0007528,GO:0008150,GO:0008361,GO:0008582,GO:0009653,GO:0009987,GO:0010256,GO:0010638,GO:0010720,GO:0010769,GO:0010770,GO:0010975,GO:0010976,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016320,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0022008,GO:0022411,GO:0022603,GO:0022604,GO:0022607,GO:0030030,GO:0030154,GO:0030182,GO:0030307,GO:0030516,GO:0031109,GO:0031110,GO:0031114,GO:0031175,GO:0031224,GO:0031227,GO:0031344,GO:0031346,GO:0031984,GO:0031985,GO:0032101,GO:0032103,GO:0032501,GO:0032502,GO:0032535,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032886,GO:0032984,GO:0032989,GO:0032990,GO:0033043,GO:0035639,GO:0036094,GO:0040007,GO:0040008,GO:0042175,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043244,GO:0043624,GO:0043933,GO:0044085,GO:0044087,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045773,GO:0045927,GO:0046983,GO:0048284,GO:0048468,GO:0048513,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048589,GO:0048638,GO:0048639,GO:0048666,GO:0048667,GO:0048679,GO:0048680,GO:0048686,GO:0048687,GO:0048690,GO:0048691,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050769,GO:0050770,GO:0050772,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050808,GO:0051094,GO:0051124,GO:0051128,GO:0051130,GO:0051239,GO:0051240,GO:0051259,GO:0051260,GO:0051261,GO:0051493,GO:0051960,GO:0051962,GO:0051963,GO:0060284,GO:0061024,GO:0061025,GO:0061061,GO:0061387,GO:0061564,GO:0065003,GO:0065007,GO:0065008,GO:0070507,GO:0070570,GO:0070572,GO:0071782,GO:0071786,GO:0071840,GO:0080134,GO:0080135,GO:0090066,GO:0090158,GO:0090174,GO:0097159,GO:0097367,GO:0097435,GO:0098791,GO:0098826,GO:0098827,GO:0120035,GO:0120036,GO:0120039,GO:1901265,GO:1901363,GO:1901879,GO:1902903,GO:1903034,GO:1903036,GO:1903371,GO:1903373,GO:1904396,GO:1990809,GO:2000026",NA,"ko:K17339",NA,NA,NA,NA,"ko00000,ko01000",NA,NA,NA,"GBP,GBP_C"
"tr|Q16NP6|Q16NP6_AEDAE","Q16NP6","7159.AAEL011910-PA","0","3075","COG0666@1|root,KOG4177@2759|Eukaryota,38BVK@33154|Opisthokonta,3BGGV@33208|Metazoa,3CT1S@33213|Bilateria,425ZG@6656|Arthropoda,3SWXG@50557|Insecta,455ZZ@7147|Diptera,45DNW@7148|Nematocera","33208|Metazoa","M","Ankyrin repeats (many copies)",NA,NA,NA,"ko:K05643,ko:K15503","ko02010,map02010",NA,NA,NA,"ko00000,ko00001,ko01009,ko02000,ko03400","3.A.1.211",NA,NA,"Ank,Ank_2,Ank_4"
"tr|Q16ZY1|Q16ZY1_AEDAE","Q16ZY1","7159.AAEL008031-PA","5.86e-259","707","COG3338@1|root,KOG0382@2759|Eukaryota,38HI9@33154|Opisthokonta,3BIC6@33208|Metazoa,3D2H6@33213|Bilateria,41UZ2@6656|Arthropoda,3SHID@50557|Insecta,44YJY@7147|Diptera,45DGM@7148|Nematocera","33208|Metazoa","P","Eukaryotic-type carbonic anhydrase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carb_anhydrase"
"tr|Q17NE5|Q17NE5_AEDAE","Q17NE5","7159.AAEL000741-PA","0","1340","KOG3804@1|root,KOG3804@2759|Eukaryota,39R90@33154|Opisthokonta,3BA8E@33208|Metazoa,3CYFC@33213|Bilateria,41Y4E@6656|Arthropoda,3SKVX@50557|Insecta,450MH@7147|Diptera,45EKE@7148|Nematocera","33208|Metazoa","K","erythroblast transformation specific domain","ELF2","GO:0000003,GO:0000981,GO:0000982,GO:0001077,GO:0001228,GO:0002165,GO:0002682,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006914,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007431,GO:0007435,GO:0007552,GO:0008150,GO:0008152,GO:0008219,GO:0009056,GO:0009058,GO:0009059,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010623,GO:0010628,GO:0010629,GO:0010646,GO:0012501,GO:0016070,GO:0016604,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019953,GO:0022412,GO:0022414,GO:0022612,GO:0023051,GO:0030154,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0035070,GO:0035071,GO:0035272,GO:0040034,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043565,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044703,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0045944,GO:0046483,GO:0048102,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048609,GO:0048707,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0050776,GO:0050789,GO:0050793,GO:0050794,GO:0050854,GO:0050855,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051704,GO:0060033,GO:0060255,GO:0061919,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:2000112,GO:2000113,GO:2001141",NA,"ko:K03211,ko:K09428","ko04013,ko04214,ko04320,ko05202,map04013,map04214,map04320,map05202",NA,NA,NA,"ko00000,ko00001,ko03000",NA,NA,NA,"Elf-1_N,Ets"
"tr|Q16I15|Q16I15_AEDAE","Q16I15","7159.AAEL013830-PA","6.15e-284","780","2CV5E@1|root,2RRBM@2759|Eukaryota,39X68@33154|Opisthokonta,3BCUX@33208|Metazoa,3D3HN@33213|Bilateria,41UEX@6656|Arthropoda,3SHFR@50557|Insecta,452UR@7147|Diptera,45E6Y@7148|Nematocera","33208|Metazoa","S","Broad-Complex, Tramtrack and Bric a brac","chinmo","GO:0000003,GO:0001932,GO:0001933,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0006810,GO:0006913,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0007444,GO:0007530,GO:0008064,GO:0008150,GO:0009888,GO:0009889,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010563,GO:0010605,GO:0010638,GO:0016043,GO:0016319,GO:0018993,GO:0019102,GO:0019219,GO:0019220,GO:0019222,GO:0022008,GO:0022414,GO:0030154,GO:0030182,GO:0030238,GO:0030832,GO:0030833,GO:0030838,GO:0031323,GO:0031324,GO:0031326,GO:0031334,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0032271,GO:0032273,GO:0032501,GO:0032502,GO:0032535,GO:0032956,GO:0032970,GO:0033043,GO:0035214,GO:0035295,GO:0042325,GO:0042326,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043254,GO:0044087,GO:0044089,GO:0044424,GO:0044464,GO:0045936,GO:0046907,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048666,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051169,GO:0051170,GO:0051171,GO:0051172,GO:0051174,GO:0051179,GO:0051234,GO:0051246,GO:0051248,GO:0051252,GO:0051302,GO:0051493,GO:0051495,GO:0051641,GO:0051649,GO:0060255,GO:0060322,GO:0060429,GO:0065007,GO:0065008,GO:0071840,GO:0080090,GO:0090066,GO:0110053,GO:1902903,GO:1902905,GO:1903506,GO:2000035,GO:2000112,GO:2001141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BTB,zf-C2H2,zf-C2H2_4"
"tr|Q16IG3|Q16IG3_AEDAE","Q16IG3","7159.AAEL013684-PA","1.07e-127","367","2CMXY@1|root,2S3ZC@2759|Eukaryota,3A7ME@33154|Opisthokonta,3BTII@33208|Metazoa,3DBPD@33213|Bilateria,420X8@6656|Arthropoda,3SPNN@50557|Insecta,458NH@7147|Diptera,45IZE@7148|Nematocera","33208|Metazoa",NA,NA,NA,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tr|Q177R3|Q177R3_AEDAE","Q177R3","7159.AAEL006057-PA","2.94e-247","692","KOG4205@1|root,KOG4205@2759|Eukaryota,38H1X@33154|Opisthokonta,3BEUE@33208|Metazoa,3CRWQ@33213|Bilateria,41VMP@6656|Arthropoda,3SJ9X@50557|Insecta,4519B@7147|Diptera,45D2V@7148|Nematocera","33208|Metazoa","A","RNA recognition motif","MSI1","GO:0000003,GO:0000900,GO:0001666,GO:0001709,GO:0003006,GO:0003674,GO:0003676,GO:0003723,GO:0003727,GO:0003729,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005844,GO:0006417,GO:0006950,GO:0007275,GO:0007276,GO:0007281,GO:0007399,GO:0007423,GO:0008150,GO:0008187,GO:0008266,GO:0009628,GO:0009719,GO:0009725,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0017145,GO:0017148,GO:0019222,GO:0019827,GO:0019953,GO:0022412,GO:0022414,GO:0022416,GO:0030154,GO:0030371,GO:0030855,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0033554,GO:0034248,GO:0034249,GO:0036293,GO:0036294,GO:0042078,GO:0042221,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0045165,GO:0045182,GO:0048468,GO:0048513,GO:0048519,GO:0048523,GO:0048609,GO:0048731,GO:0048856,GO:0048863,GO:0048864,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0051301,GO:0051704,GO:0051716,GO:0060255,GO:0060429,GO:0065007,GO:0070482,GO:0070887,GO:0071453,GO:0071456,GO:0080090,GO:0090079,GO:0097159,GO:0098727,GO:1901363,GO:1990904,GO:2000112,GO:2000113",NA,"ko:K14411","ko03015,map03015",NA,NA,NA,"ko00000,ko00001,ko03019",NA,NA,NA,"RRM_1"
"tr|Q16U87|Q16U87_AEDAE","Q16U87","7159.AAEL009988-PA","0","1990","KOG3528@1|root,KOG3528@2759|Eukaryota,39W4Y@33154|Opisthokonta,3BKEK@33208|Metazoa,3E46D@33213|Bilateria,42A9A@6656|Arthropoda,3SZR8@50557|Insecta,44ZV4@7147|Diptera,45F9G@7148|Nematocera","33208|Metazoa","S","Domain present in PSD-95, Dlg, and ZO-1/2.","IL16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDZ"
"tr|Q17K38|Q17K38_AEDAE","Q17K38","7159.AAEL001818-PA","0","898","COG0666@1|root,KOG0504@2759|Eukaryota,39VKG@33154|Opisthokonta,3BEUT@33208|Metazoa,3CZMU@33213|Bilateria,41X10@6656|Arthropoda,3SGQ4@50557|Insecta,455G8@7147|Diptera,45EJE@7148|Nematocera","33208|Metazoa","S","SOCS_box",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ank,Ank_2,Ank_3,Ank_4,SOCS_box"
"tr|Q16YK1|Q16YK1_AEDAE","Q16YK1","7159.AAEL008507-PA","0","1134","KOG1290@1|root,KOG1290@2759|Eukaryota,38CNN@33154|Opisthokonta,3B9NI@33208|Metazoa,3CSMR@33213|Bilateria,41WEA@6656|Arthropoda,3SHI7@50557|Insecta,44Z73@7147|Diptera,45E1K@7148|Nematocera","33208|Metazoa","T","Protein tyrosine kinase","SRPK2","GO:0000003,GO:0000166,GO:0000212,GO:0000226,GO:0000245,GO:0000280,GO:0000287,GO:0000375,GO:0000377,GO:0000398,GO:0001525,GO:0001568,GO:0001944,GO:0002376,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006323,GO:0006325,GO:0006396,GO:0006397,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0006996,GO:0006997,GO:0007010,GO:0007017,GO:0007049,GO:0007051,GO:0007056,GO:0007059,GO:0007143,GO:0007154,GO:0007165,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007289,GO:0007292,GO:0007517,GO:0007519,GO:0008144,GO:0008150,GO:0008152,GO:0008284,GO:0008380,GO:0009653,GO:0009790,GO:0009792,GO:0009888,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010604,GO:0010628,GO:0010941,GO:0010942,GO:0014706,GO:0016020,GO:0016043,GO:0016070,GO:0016071,GO:0016301,GO:0016310,GO:0016363,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0018105,GO:0018193,GO:0018209,GO:0019219,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0022613,GO:0022618,GO:0023052,GO:0030154,GO:0030554,GO:0030575,GO:0030717,GO:0031323,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0032553,GO:0032555,GO:0032559,GO:0034399,GO:0034622,GO:0034641,GO:0035063,GO:0035092,GO:0035239,GO:0035295,GO:0035556,GO:0035639,GO:0036094,GO:0036211,GO:0042127,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043484,GO:0043523,GO:0043525,GO:0043900,GO:0043901,GO:0043902,GO:0043903,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045069,GO:0045070,GO:0045071,GO:0045087,GO:0045787,GO:0046483,GO:0046872,GO:0048024,GO:0048232,GO:0048285,GO:0048468,GO:0048477,GO:0048513,GO:0048514,GO:0048515,GO:0048518,GO:0048519,GO:0048522,GO:0048524,GO:0048525,GO:0048609,GO:0048646,GO:0048731,GO:0048856,GO:0048869,GO:0050684,GO:0050789,GO:0050792,GO:0050794,GO:0050896,GO:0051171,GO:0051225,GO:0051252,GO:0051276,GO:0051321,GO:0051704,GO:0051716,GO:0051726,GO:0060255,GO:0060537,GO:0060538,GO:0061061,GO:0061982,GO:0061988,GO:0065003,GO:0065007,GO:0070013,GO:0070192,GO:0070925,GO:0071103,GO:0071704,GO:0071826,GO:0071840,GO:0071889,GO:0071944,GO:0072358,GO:0072359,GO:0080090,GO:0090304,GO:0090306,GO:0097159,GO:0097367,GO:0140013,GO:0140096,GO:1901214,GO:1901216,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1903046,GO:1903311,GO:1903900,GO:1903901,GO:1903902","2.7.11.1","ko:K08831,ko:K08832,ko:K15409","ko05168,map05168",NA,NA,NA,"ko00000,ko00001,ko01000,ko01001,ko03041",NA,NA,NA,"Pkinase"
