"mRNA","uniprot_id","gene_name","microRNA","energy","targetStart","targetEnd","score"
"ENST00000589028","Q8IUD2","ERC1","hsa-miR-548ba",-10.5,5595,5615,0.999985299166289
"ENST00000343600","Q5VZF2","MBNL2","hsa-miR-548ba",-10.2,2550,2564,0.999985227313099
"ENST00000345429","Q5VZF2","MBNL2","hsa-miR-548ba",-10.2,2663,2677,0.999985227313099
"ENST00000376673","Q5VZF2","MBNL2","hsa-miR-548ba",-10.2,2550,2564,0.999985227313099
"ENST00000397601","Q5VZF2","MBNL2","hsa-miR-548ba",-10.2,2550,2564,0.999985227313099
"ENST00000679496",NA,NA,"hsa-miR-548ba",-10.2,2550,2564,0.999985227313099
"ENST00000284061","P52429","DGKE","hsa-miR-548ba",-8.1,1025,1039,0.999984095994478
"ENST00000262483","Q9BZ71","PITPNM3","hsa-miR-548ba",-9.51,4036,4073,0.999983821812271
"ENST00000299575","O43313","ATMIN","hsa-miR-548ba",-8.8,2309,2322,0.999983058316878
"ENST00000564241","O43313","ATMIN","hsa-miR-548ba",-8.8,2309,2322,0.999983058316878
"ENST00000566488","O43313","ATMIN","hsa-miR-548ba",-8.8,2309,2322,0.999983058316878
"ENST00000261491","Q86XP1","DGKH","hsa-let-7b-3p",-11.13,6846,6896,0.999982582859773
"ENST00000264663","Q13423","NNT","hsa-let-7b-3p",-10.7,1796,1825,0.999982582859773
"ENST00000337343","Q86XP1","DGKH","hsa-let-7b-3p",-11.13,6809,6859,0.999982582859773
"ENST00000344920","Q13423","NNT","hsa-let-7b-3p",-10.7,1796,1825,0.999982582859773
"ENST00000300184","Q9GZW8","MS4A7","hsa-let-7b-5p",-15.65,2020,2064,0.99998166216767
"ENST00000358246","Q9GZW8","MS4A7","hsa-let-7b-5p",-15.65,2020,2064,0.99998166216767
"ENST00000302000","Q9Y3Y4","PYGO1","hsa-miR-548ba",-9.96,5557,5588,0.999981615622623
"ENST00000563719","Q9Y3Y4","PYGO1","hsa-miR-548ba",-9.96,5557,5588,0.999981615622623
"ENST00000378982","O15481","MAGEB4","hsa-miR-548ba",-11.5,952,971,0.999981446457556
"ENST00000263918","O43815","STRN","hsa-miR-548ba",-9.3,11730,11748,0.999981355773852
"ENST00000354764","Q75T13","PGAP1","hsa-miR-548ba",-9.7,8096,8124,0.999981355773852
"ENST00000398795","O14788","TNFSF11","hsa-miR-548ba",-9.9,1030,1048,0.999981355773852
"ENST00000405262","O14788","TNFSF11","hsa-miR-548ba",-9.9,1030,1048,0.999981355773852
"ENST00000313726","P78524","ST5","hsa-let-7b-3p",-11.1,218,234,0.999980981700471
"ENST00000526099","B4DDL8","ST5","hsa-let-7b-3p",-11.1,218,234,0.999980981700471
"ENST00000526757","P78524","ST5","hsa-let-7b-3p",-11.1,218,234,0.999980981700471
"ENST00000530991","P78524","ST5","hsa-let-7b-3p",-11.1,218,234,0.999980981700471
"ENST00000534127","P78524","ST5","hsa-let-7b-3p",-11.1,218,234,0.999980981700471
"ENST00000642319",NA,NA,"hsa-let-7b-3p",-11.69,2469,2513,0.999980981700471
"ENST00000645415",NA,NA,"hsa-let-7b-3p",-11.69,2702,2746,0.999980981700471
"ENST00000641351",NA,NA,"hsa-let-7b-5p",-15.19,122,190,0.999980520178381
"ENST00000641546",NA,NA,"hsa-let-7b-5p",-15.19,122,190,0.999980520178381
"ENST00000315691","Q8NDZ4","C3orf58","hsa-let-7b-3p",-12.51,2349,2390,0.999979964798535
"ENST00000441925","E7ET39","C3orf58","hsa-let-7b-3p",-12.51,2349,2390,0.999979964798535
"ENST00000307471","Q96EE4","CCDC126","hsa-let-7b-3p",-13.6,577,596,0.999979927971825
"ENST00000409765","Q96EE4","CCDC126","hsa-let-7b-3p",-13.6,577,596,0.999979927971825
"ENST00000218652","Q9NV92","NDFIP2","hsa-let-7b-3p",-11.54,3463,3506,0.999979901176007
"ENST00000512576","P22234","PAICS","hsa-let-7b-3p",-11.69,4855,4889,0.999979901176007
"ENST00000612570","Q9NV92","NDFIP2","hsa-let-7b-3p",-11.54,3463,3506,0.999979901176007
"ENST00000650134",NA,NA,"hsa-let-7b-3p",-11.54,3965,4008,0.999979901176007
"ENST00000357525","P26678","PLN","hsa-let-7b-3p",-10.7,61,86,0.999979699449484
"ENST00000679359",NA,NA,"hsa-let-7b-3p",-15.29,5930,5966,0.999979203629052
"ENST00000679544",NA,NA,"hsa-let-7b-3p",-15.29,4904,4940,0.999979203629052
"ENST00000681047",NA,NA,"hsa-let-7b-3p",-15.29,5903,5939,0.999979203629052
"ENST00000681053",NA,NA,"hsa-let-7b-3p",-15.29,4699,4735,0.999979203629052
"ENST00000539261","P08493","MGP","hsa-miR-548ba",-9.11,1192,1239,0.999979125791418
"ENST00000369443","Q9NXN4","GDAP2","hsa-let-7b-3p",-11.32,150,212,0.999978794848868
"ENST00000370898","A0A0A0MRP2","FPGT","hsa-miR-548ba",-10.08,2743,2789,0.99997861835196
"ENST00000222511","A4D1E9","GTPBP10","hsa-miR-548ba",-12.86,494,532,0.999978445341568
"ENST00000388918","P17643","TYRP1","hsa-miR-548ba",-10.8,73,98,0.999978445341568
"ENST00000303921","O15354","GPR37","hsa-let-7b-3p",-12.46,349,392,0.999978344282428
"ENST00000432648","Q9H9L7","AKIRIN1","hsa-miR-548ba",-10.81,1794,1840,0.999977951381323
"ENST00000472469","C9J3M8","C3orf67","hsa-let-7b-3p",-10.29,1962,2011,0.999977951381323
"ENST00000263339","P01583","IL1A","hsa-miR-548ba",-9.2,850,863,0.999977787376048
"ENST00000342988","Q13485","SMAD4","hsa-let-7b-3p",-11.25,379,426,0.99997766007367
"ENST00000398417","Q13485","SMAD4","hsa-let-7b-3p",-11.25,379,426,0.99997766007367
"ENST00000647377",NA,NA,"hsa-let-7b-5p",-16.99,197,242,0.99997766007367
"ENST00000216802","Q9UL46","PSME2","hsa-let-7b-3p",-11.45,11,42,0.999977113720637
"ENST00000560410","H0YM70","PSME2","hsa-let-7b-3p",-11.45,11,42,0.999977113720637
"ENST00000615264","A0A087X1Z3","PSME2","hsa-let-7b-3p",-11.45,11,42,0.999977113720637
"ENST00000644404",NA,NA,"hsa-let-7b-3p",-11.45,11,42,0.999977113720637
"ENST00000645325",NA,NA,"hsa-let-7b-3p",-11.45,11,42,0.999977113720637
"ENST00000647449",NA,NA,"hsa-let-7b-3p",-11.45,11,42,0.999977113720637
"ENST00000680924",NA,NA,"hsa-let-7b-3p",-11.05,6334,6381,0.999977113720637
"ENST00000681135",NA,NA,"hsa-let-7b-3p",-11.05,6543,6590,0.999977113720637
"ENST00000681454",NA,NA,"hsa-let-7b-3p",-11.05,8170,8217,0.999977113720637
"ENST00000375458","Q53SF7","COBLL1","hsa-miR-548ba",-9.9,175,203,0.999976421565235
"ENST00000652658",NA,NA,"hsa-miR-548ba",-9.9,175,203,0.999976421565235
"ENST00000261845","Q16659","MAPK6","hsa-miR-548ba",-9.2,1853,1865,0.999975745378178
"ENST00000680066",NA,NA,"hsa-miR-548ba",-9.2,1853,1865,0.999975745378178
"ENST00000680652",NA,NA,"hsa-miR-548ba",-9.2,1853,1865,0.999975745378178
"ENST00000680777",NA,NA,"hsa-miR-548ba",-9.2,1853,1865,0.999975745378178
"ENST00000681888",NA,NA,"hsa-miR-548ba",-9.2,1853,1865,0.999975745378178
"ENST00000261180","Q9UKU6","TRHDE","hsa-let-7b-5p",-14.3,7228,7244,0.999975715932572
"ENST00000334318","O95758","PTBP3","hsa-let-7b-3p",-12.27,5969,6005,0.999975715932572
"ENST00000382004","P48380","RFX3","hsa-let-7b-3p",-12.27,6491,6534,0.999975715932572
"ENST00000458258","O95758","PTBP3","hsa-let-7b-3p",-12.27,5969,6005,0.999975715932572
"ENST00000534548","P42695","NCAPD3","hsa-let-7b-3p",-11.8,2777,2795,0.999975715932572
"ENST00000617270","P48380","RFX3","hsa-let-7b-3p",-12.27,6491,6534,0.999975715932572
"ENST00000368564","O15131","KPNA5","hsa-miR-548ba",-13.2,498,518,0.999975159788985
"ENST00000671876",NA,NA,"hsa-miR-548ba",-11.3,725,743,0.999975159788985
"ENST00000261530","Q9NWQ4","GPATCH2L","hsa-let-7b-3p",-12.59,12409,12437,0.999974873136797
"ENST00000216410","Q96EK6","GNPNAT1","hsa-let-7b-3p",-11.35,2742,2785,0.999974714125172
"ENST00000342136","P48551","IFNAR2","hsa-let-7b-3p",-13.05,1932,1986,0.999974714125172
"ENST00000404220","P48551","IFNAR2","hsa-let-7b-3p",-13.05,2716,2770,0.999974714125172
"ENST00000683941",NA,NA,"hsa-let-7b-3p",-13.05,1932,1986,0.999974714125172
"ENST00000536821","F5H4M7","TMED3","hsa-miR-548ba",-10.47,1667,1697,0.999974676064026
"ENST00000641045",NA,NA,"hsa-let-7b-3p",-12.27,5485,5555,0.999974664587034
"ENST00000409600","Q7L1Q6","BZW1","hsa-let-7b-5p",-15.76,225,257,0.99997437923724
"ENST00000591344","A8MQ14","ZNF850","hsa-let-7b-3p",-12.71,4107,4129,0.99997375347941
"ENST00000614887","A0A087X0M6","ZNF850","hsa-let-7b-3p",-12.71,4107,4129,0.99997375347941
"ENST00000275815","P21709","EPHA1","hsa-let-7b-5p",-15.35,247,294,0.999973360136621
"ENST00000306270","Q9P2D0","IBTK","hsa-let-7b-3p",-13.8,1314,1363,0.999973360136621
"ENST00000310015","Q02447","SP3","hsa-let-7b-3p",-11.09,8587,8626,0.999973360136621
"ENST00000361272","Q9UIV1","CNOT7","hsa-let-7b-3p",-11.12,5345,5363,0.999973360136621
"ENST00000449246","Q9UPV9","TRAK1","hsa-let-7b-3p",-17.88,1103,1151,0.999973360136621
"ENST00000521451","G5EA18","STAU2","hsa-miR-548ba",-9.6,1309,1328,0.999973360136621
"ENST00000542420","B4DLD3","SS18","hsa-miR-548ba",-10.51,842,878,0.999973360136621
"ENST00000635454","Q9P2D0","IBTK","hsa-let-7b-3p",-13.8,1314,1363,0.999973360136621
"ENST00000645847",NA,NA,"hsa-let-7b-5p",-15.35,247,294,0.999973360136621
"ENST00000339298","Q8WXH5","SOCS4","hsa-let-7b-3p",-12.8,305,356,0.999973008170809
"ENST00000350030","P49321","NASP","hsa-let-7b-3p",-11.74,63,82,0.999973008170809
"ENST00000357899","H7BY22","ZBTB44","hsa-let-7b-3p",-10.59,514,556,0.999973008170809
"ENST00000395472","Q8WXH5","SOCS4","hsa-let-7b-3p",-12.8,305,356,0.999973008170809
"ENST00000537798","P49321","NASP","hsa-let-7b-3p",-11.74,63,82,0.999973008170809
"ENST00000555846","Q8WXH5","SOCS4","hsa-let-7b-3p",-12.8,305,356,0.999973008170809
"ENST00000313243","P20794","MAK","hsa-let-7b-3p",-13.05,1501,1551,0.999972988149964
"ENST00000354489","P20794","MAK","hsa-let-7b-3p",-13.05,1501,1551,0.999972988149964
"ENST00000474039","P20794","MAK","hsa-let-7b-3p",-13.05,1501,1551,0.999972988149964
"ENST00000536370","P20794","MAK","hsa-let-7b-3p",-13.05,1501,1551,0.999972988149964
"ENST00000676116",NA,NA,"hsa-let-7b-3p",-13.05,1501,1551,0.999972988149964
"ENST00000311234","Q9UL03","INTS6","hsa-let-7b-3p",-13.24,381,424,0.999972876244612
"ENST00000338086","Q8TB72","PUM2","hsa-miR-548ba",-12.66,285,316,0.999972876244612
"ENST00000339488","Q6ZW05","PTCHD4","hsa-miR-548ba",-9.6,1909,1929,0.999972876244612
"ENST00000361078","Q8TB72","PUM2","hsa-miR-548ba",-12.66,285,316,0.999972876244612
"ENST00000398119","Q9UL03","INTS6","hsa-let-7b-3p",-13.24,381,424,0.999972876244612
"ENST00000683822",NA,NA,"hsa-let-7b-3p",-11.74,359,392,0.999972876244612
"ENST00000673466",NA,NA,"hsa-let-7b-3p",-11.55,1008,1045,0.999972764669921
"ENST00000564657","H3BU72","ADAT1","hsa-let-7b-3p",-10.23,3325,3346,0.999972348052362
"ENST00000520808","E5RHP9","NPIPB4","hsa-miR-548ba",-10,216,228,0.999972048284688
"ENST00000550690","E5RHP9","RP11-231C14.4","hsa-miR-548ba",-10,216,228,0.999972048284688
"ENST00000344484","P49619","DGKG","hsa-let-7b-3p",-15.78,777,832,0.999972014350859
"ENST00000370272","Q01658","DR1","hsa-let-7b-3p",-11.3,8683,8701,0.999972014350859
"ENST00000371158","Q8NI35","PATJ","hsa-let-7b-3p",-14.79,2891,2934,0.999972014350859
"ENST00000642238",NA,NA,"hsa-let-7b-3p",-14.79,2772,2815,0.999972014350859
"ENST00000646453",NA,NA,"hsa-let-7b-3p",-14.79,2772,2815,0.999972014350859
"ENST00000359451","Q92558","WASF1","hsa-miR-548ba",-9.72,482,529,0.999971966076343
"ENST00000392586","Q92558","WASF1","hsa-miR-548ba",-9.72,482,529,0.999971966076343
"ENST00000392587","Q92558","WASF1","hsa-miR-548ba",-9.72,482,529,0.999971966076343
"ENST00000392588","Q92558","WASF1","hsa-miR-548ba",-9.72,482,529,0.999971966076343
"ENST00000392589","Q92558","WASF1","hsa-miR-548ba",-9.72,482,529,0.999971966076343
"ENST00000355999","Q9UEW8","STK39","hsa-miR-548ba",-12.65,1293,1339,0.999971884139184
"ENST00000359685","Q9BZF3","OSBPL6","hsa-miR-548ba",-10.33,3350,3387,0.999971884139184
"ENST00000239449","Q9Y5E9","PCDHB14","hsa-let-7b-3p",-12.2,1795,1813,0.999971043092787
"ENST00000445416","D6RBS8","ARMCX4","hsa-miR-548ba",-11.69,2230,2267,0.999970815981433
"ENST00000646869",NA,NA,"hsa-miR-548ba",-11.37,1166,1200,0.999970815981433
"ENST00000308394","P42574","CASP3","hsa-let-7b-3p",-13.41,10,37,0.999970473911203
"ENST00000523916","P42574","CASP3","hsa-let-7b-3p",-13.41,10,37,0.999970473911203
"ENST00000244040","Q9UL26","RAB22A","hsa-let-7b-3p",-15.65,6679,6745,0.999969448798285
"ENST00000266529","Q8TBF4","ZCRB1","hsa-let-7b-3p",-14.41,792,841,0.999969448798285
"ENST00000330276","Q7L1I2","SV2B","hsa-let-7b-3p",-12.9,7675,7710,0.999969448798285
"ENST00000392701","Q14435","GALNT3","hsa-let-7b-3p",-13.1,1006,1055,0.999969448798285
"ENST00000676501",NA,NA,"hsa-let-7b-3p",-14.41,792,841,0.999969448798285
"ENST00000677694",NA,NA,"hsa-let-7b-3p",-14.41,792,841,0.999969448798285
"ENST00000679184",NA,NA,"hsa-let-7b-3p",-14.41,792,841,0.999969448798285
"ENST00000679269",NA,NA,"hsa-let-7b-3p",-14.41,792,841,0.999969448798285
"ENST00000373241","Q9NR31","SAR1A","hsa-let-7b-3p",-11.9,4222,4260,0.99996938894504
"ENST00000373242","Q9NR31","SAR1A","hsa-let-7b-3p",-11.9,4222,4260,0.99996938894504
"ENST00000394507","O00522","KRIT1","hsa-let-7b-3p",-10.92,1416,1455,0.99996938894504
"ENST00000395153","Q9NYF0","DACT1","hsa-let-7b-3p",-15.81,923,971,0.99996938894504
"ENST00000458177","A0A0C4DG23","KRIT1","hsa-let-7b-3p",-10.92,1416,1455,0.99996938894504
"ENST00000676282",NA,NA,"hsa-let-7b-3p",-11.5,1257,1297,0.99996938894504
"ENST00000262207","Q9H336","CRISPLD1","hsa-miR-548ba",-10.3,2011,2039,0.999969299475709
"ENST00000304786","P49458","SRP9","hsa-let-7b-3p",-13.23,972,1003,0.999969299475709
"ENST00000338564","O14770","MEIS2","hsa-miR-548ba",-11.5,2687,2710,0.999969299475709
"ENST00000366839","P49458","SRP9","hsa-let-7b-3p",-13.23,1108,1139,0.999969299475709
"ENST00000428149","Q96BT7","ALKBH8","hsa-let-7b-3p",-11.65,1754,1796,0.999969299475709
"ENST00000561208","O14770","MEIS2","hsa-miR-548ba",-11.5,2687,2710,0.999969299475709
"ENST00000651761",NA,NA,"hsa-let-7b-3p",-13.23,1055,1086,0.999969299475709
"ENST00000228872","P46527","CDKN1B","hsa-let-7b-5p",-16.95,144,188,0.999968893862124
"ENST00000332674","P50539","MXI1","hsa-let-7b-3p",-13.52,225,266,0.999968893862124
"ENST00000359120","Q8TEC5","SH3RF2","hsa-let-7b-5p",-17,36,62,0.999968893862124
"ENST00000369968","Q96S66","CLCC1","hsa-let-7b-3p",-11.16,622,665,0.999968893862124
"ENST00000393585","A8MVM1","CASP3","hsa-let-7b-3p",-13.41,174,201,0.999968893862124
"ENST00000651004",NA,NA,"hsa-let-7b-3p",-13.52,225,266,0.999968893862124
"ENST00000675018",NA,NA,"hsa-let-7b-3p",-11.16,622,665,0.999968893862124
"ENST00000258398","Q14679","TTLL4","hsa-let-7b-5p",-16.15,942,989,0.999968828854819
"ENST00000334961","P35240","NF2","hsa-let-7b-5p",-16,196,222,0.999968828854819
"ENST00000392102","Q14679","TTLL4","hsa-let-7b-5p",-16.15,942,989,0.999968828854819
"ENST00000403999","P35240","NF2","hsa-let-7b-5p",-16,832,858,0.999968828854819
"ENST00000334344","Q68CP9","ARID2","hsa-let-7b-3p",-12.07,757,788,0.99996876590625
"ENST00000444670","F8W108","ARID2","hsa-let-7b-3p",-12.07,757,788,0.99996876590625
"ENST00000457135","F8VWP4","ARID2","hsa-let-7b-3p",-12.07,940,971,0.99996876590625
"ENST00000378694","Q5T670","MCM10","hsa-let-7b-3p",-13.91,1807,1858,0.999968288121731
"ENST00000564996","Q8N4N3","KLHL36","hsa-let-7b-3p",-12.55,5423,5465,0.999968288121731
"ENST00000637579",NA,"PXYLP1","hsa-let-7b-5p",-13.7,1740,1777,0.999968288121731
"ENST00000327381","Q5GH76","XKR4","hsa-miR-548ba",-9,13654,13669,0.999967692928485
"ENST00000316963","O75608","LYPLA1","hsa-miR-548ba",-9.2,1521,1539,0.999967263690738
"ENST00000618741","A0A087X1K9","LYPLA1","hsa-miR-548ba",-9.2,1521,1539,0.999967263690738
"ENST00000618914","B4DP64","LYPLA1","hsa-miR-548ba",-9.2,1521,1539,0.999967263690738
"ENST00000286353","Q8TE99","PXYLP1","hsa-miR-548ba",-10.6,375,387,0.999967093417534
"ENST00000393010","Q8TE99","PXYLP1","hsa-miR-548ba",-10.6,375,387,0.999967093417534
"ENST00000508812","E9PDB7","PXYLP1","hsa-miR-548ba",-10.6,375,387,0.999967093417534
"ENST00000395454","A8MUK0","SCAF11","hsa-miR-548ba",-9.6,191,205,0.999966669065311
"ENST00000622016","A0A087X021","UROS","hsa-let-7b-3p",-13.61,146,179,0.999965870270115
"ENST00000336164","Q13241","KLRD1","hsa-let-7b-5p",-17.19,10424,10464,0.999965627106423
"ENST00000381908","Q13241","KLRD1","hsa-let-7b-5p",-17.19,10424,10464,0.999965627106423
"ENST00000676516",NA,NA,"hsa-let-7b-3p",-11.1,1165,1180,0.999965609936884
"ENST00000677264",NA,NA,"hsa-let-7b-3p",-11.1,1165,1180,0.999965609936884
"ENST00000677391",NA,NA,"hsa-let-7b-3p",-11.1,1165,1180,0.999965609936884
"ENST00000258499","Q9H0E7","USP44","hsa-miR-548ba",-11.24,770,791,0.999965270220867
"ENST00000278612","Q14207","NPAT","hsa-miR-548ba",-8.9,409,431,0.999965270220867
"ENST00000306549","Q9Y5F3","PCDHB1","hsa-miR-548ba",-9.4,3744,3757,0.999965270220867
"ENST00000320301","Q96QU1","PCDH15","hsa-miR-548ba",-8.8,181,194,0.999965270220867
"ENST00000361849","A2A3E7","PCDH15","hsa-miR-548ba",-8.8,181,194,0.999965270220867
"ENST00000373957","A2A3D8","PCDH15","hsa-miR-548ba",-8.8,181,194,0.999965270220867
"ENST00000395430","A2A3E6","PCDH15","hsa-miR-548ba",-8.8,181,194,0.999965270220867
"ENST00000395433","A2A3E8","PCDH15","hsa-miR-548ba",-8.8,181,194,0.999965270220867
"ENST00000437009","E7EM53","PCDH15","hsa-miR-548ba",-8.8,181,194,0.999965270220867
"ENST00000361127","O94898","LRIG2","hsa-let-7b-3p",-16.45,6365,6405,0.999965184784524
"ENST00000641258",NA,NA,"hsa-let-7b-3p",-12.91,2123,2167,0.999965147143093
"ENST00000264128","J3KN42","SLC25A24","hsa-let-7b-5p",-14.3,2349,2375,0.999964894565853
"ENST00000280871","Q96QE2","SLC2A13","hsa-let-7b-3p",-11.42,4087,4105,0.999964894565853
"ENST00000354371","Q99627","COPS8","hsa-let-7b-3p",-10.82,2141,2197,0.999964894565853
"ENST00000394232","Q7L1I2","SV2B","hsa-let-7b-3p",-12.9,7675,7710,0.999964894565853
"ENST00000443151","F8WBR7","BBS5","hsa-let-7b-3p",-12.46,242,288,0.999964894565853
"ENST00000611870","Q9C0A0","CNTNAP4","hsa-let-7b-5p",-15.55,1584,1624,0.999964894565853
"ENST00000639606",NA,NA,"hsa-let-7b-5p",-14.3,2349,2375,0.999964894565853
"ENST00000648874",NA,NA,"hsa-let-7b-5p",-14.3,2091,2117,0.999964894565853
"ENST00000649955",NA,NA,"hsa-let-7b-5p",-14.3,2091,2117,0.999964894565853
"ENST00000679510",NA,NA,"hsa-let-7b-3p",-12.65,1335,1379,0.999964894565853
"ENST00000680771",NA,NA,"hsa-let-7b-3p",-12.65,995,1039,0.999964894565853
"ENST00000356825","Q15796","SMAD2","hsa-miR-548ba",-13.1,8618,8636,0.999964857427283
"ENST00000511685","Q9P273","TENM3","hsa-miR-548ba",-9.8,2569,2587,0.999964857427283
"ENST00000358635","Q15723","ELF2","hsa-let-7b-3p",-12.15,990,1033,0.999964791960911
"ENST00000379549","Q15723","ELF2","hsa-let-7b-3p",-12.15,990,1033,0.999964791960911
"ENST00000443585","Q8TAD7","C12orf75","hsa-let-7b-3p",-17.62,794,842,0.999964791960911
"ENST00000612117","I7HHH9","C12orf75","hsa-let-7b-3p",-17.62,794,842,0.999964791960911
"ENST00000644585",NA,NA,"hsa-let-7b-3p",-11.6,1710,1748,0.999964791960911
"ENST00000649217",NA,NA,"hsa-let-7b-5p",-15.1,6022,6052,0.999964791960911
"ENST00000282296","Q7Z340","ZNF551","hsa-let-7b-3p",-12.7,1854,1872,0.999964722984719
"ENST00000497989","B3KQH5","INTS6","hsa-let-7b-3p",-13.24,381,424,0.999964722984719
"ENST00000505658","O95232","LUC7L3","hsa-miR-548ba",-9,510,531,0.999963497962824
"ENST00000258774","O60921","HUS1","hsa-let-7b-3p",-11,2006,2035,0.999963454372023
