miRNA-transcript	Coordinates	numberTargets
hsa-miR-548ba#ENST00000271450.12	1390-1397,1429-1436	2
hsa-let-7b-3p#ENST00000310528.9	10969-10975,9786-9793	2
hsa-miR-548ba#ENST00000502732.6	6828-6835,4931-4937	2
hsa-let-7b-3p#ENST00000566029.5	287-294,2249-2256	2
hsa-miR-548ba#ENST00000393256.8	2322-2329,2705-2718	2
hsa-miR-548ba#ENST00000264658.11	7025-7032,2512-2518	2
hsa-miR-548ba#ENST00000477695.5	2031-2037,2639-2645	2
hsa-miR-548ba#ENST00000327040.13	7365-7372,7771-7777	2
hsa-let-7b-3p#ENST00000392955.7	3103-3109,1550-1556	2
hsa-miR-548ba#ENST00000635689.1	2063-2071,1770-1776,2080-2087	3
hsa-miR-548ba#ENST00000373789.8	2755-2762,3668-3676	2
hsa-miR-548ba#ENST00000643716.1	1523-1529,3999-4006	2
hsa-miR-548ba#ENST00000361752.8	1314-1321,7635-7641	2
hsa-miR-548ba#ENST00000380821.7	55-62,4036-4043,42-50	3
hsa-miR-548ba#ENST00000295851.10	17511-17518,3608-3615,17833-17839,5924-5931	4
hsa-miR-548ba#ENST00000650114.2	1495-1501,4741-4747	2
hsa-let-7b-5p#ENST00000649226.1	2879-2885,3112-3119	2
hsa-miR-548ba#ENST00000261647.10	427-433,1601-1608	2
hsa-miR-548ba#ENST00000638087.1	4724-4731,756-764,2129-2135	3
hsa-miR-548ba#ENST00000677337.1	707-713,841-847	2
hsa-miR-548ba#ENST00000634530.1	1145-1151,1455-1462,1438-1446	3
hsa-let-7b-5p#ENST00000256429.8	2692-2699,1323-1336,2497-2504	3
hsa-miR-548ba#ENST00000395811.9	6970-6977,3146-3152	2
hsa-miR-548ba#ENST00000411529.6	707-713,841-847	2
hsa-let-7b-3p#ENST00000267859.8	742-748,3901-3908	2
hsa-miR-548ba#ENST00000333229.6	1874-1881,2467-2473	2
hsa-miR-548ba#ENST00000641258.1	1650-1657,2631-2637	2
hsa-miR-548ba#ENST00000343882.10	2312-2319,1362-1369	2
hsa-miR-548ba#ENST00000366958.9	5286-5293,5328-5334,3304-3311	3
hsa-miR-548ba#ENST00000231368.10	2283-2296,5061-5067	2
hsa-miR-548ba#ENST00000376143.5	11143-11149,843-849	2
hsa-miR-548ba#ENST00000310958.10	595-601,3256-3263,607-614	3
hsa-miR-548ba#ENST00000374379.9	1117-1123,1705-1711	2
hsa-miR-548ba#ENST00000369143.2	951-957,926-933	2
hsa-miR-548ba#ENST00000680010.1	2792-2799,2578-2584,479-486	3
hsa-let-7b-5p#ENST00000616122.5	4446-4467,609-617	2
hsa-let-7b-5p#ENST00000383763.6	824-831,172-179,252-259,2704-2711	4
hsa-miR-548ba#ENST00000356321.4	1486-1493,1067-1074,2620-2627	3
hsa-miR-548ba#ENST00000674414.1	2595-2601,4691-4705	2
hsa-miR-548ba#ENST00000327668.11	2997-3003,2059-2065	2
hsa-miR-548ba#ENST00000681316.1	1493-1499,1707-1714	2
hsa-let-7b-5p#ENST00000592764.5	812-819,2173-2180	2
hsa-miR-548ba#ENST00000242465.4	491-498,616-623	2
hsa-let-7b-5p#ENST00000398540.8	1110-1118,2915-2922	2
hsa-let-7b-3p#ENST00000366603.6	1041-1047,477-483	2
hsa-miR-548ba#ENST00000674725.1	3042-3048,4719-4727,4083-4089	3
hsa-miR-548ba#ENST00000649156.2	1176-1183,1164-1172	2
hsa-let-7b-3p#ENST00000298198.5	2290-2298,2300-2307	2
hsa-miR-548ba#ENST00000395276.6	1466-1472,1052-1059	2
hsa-miR-548ba#ENST00000430262.3	6600-6607,7027-7033	2
hsa-miR-548ba#ENST00000623724.3	624-630,6829-6837	2
hsa-miR-548ba#ENST00000660930.1	726-733,740-748	2
hsa-miR-548ba#ENST00000526355.7	5110-5116,13465-13471	2
hsa-miR-548ba#ENST00000641693.1	4404-4410,701-709	2
hsa-miR-548ba#ENST00000239032.4	4003-4009,322-328	2
hsa-miR-548ba#ENST00000358359.8	4132-4138,6324-6331	2
hsa-let-7b-5p#ENST00000544253.1	2117-2124,1409-1416	2
hsa-miR-548ba#ENST00000373980.11	2251-2257,1353-1360	2
hsa-let-7b-5p#ENST00000679526.1	16145-16151,9428-9435	2
hsa-let-7b-3p#ENST00000507359.3	9518-9525,4099-4106	2
hsa-let-7b-3p#ENST00000683822.1	1254-1261,386-392	2
hsa-let-7b-3p#ENST00000373242.6	4254-4260,2129-2136	2
hsa-miR-548ba#ENST00000620391.4	1851-1859,1431-1438	2
hsa-let-7b-5p#ENST00000409600.6	84-90,251-257	2
hsa-let-7b-3p#ENST00000649156.2	4298-4312,1854-1861	2
hsa-miR-548ba#ENST00000502294.5	1145-1151,1455-1462,1438-1446	3
hsa-miR-548ba#ENST00000350896.3	53-59,1335-1341	2
hsa-let-7b-3p#ENST00000652472.1	1872-1878,1306-1312	2
hsa-let-7b-5p#ENST00000677771.1	4446-4467,609-617	2
hsa-miR-548ba#ENST00000519961.5	1322-1328,497-503	2
hsa-miR-548ba#ENST00000347606.8	1008-1015,1616-1624	2
hsa-let-7b-5p#ENST00000249700.9	5297-5305,5309-5317	2
hsa-miR-548ba#ENST00000333891.14	2982-2988,3978-3984,3805-3811	3
hsa-miR-548ba#ENST00000400485.6	1091-1098,408-416	2
hsa-let-7b-5p#ENST00000539896.1	2142-2149,2176-2183	2
hsa-let-7b-3p#ENST00000533213.6	3103-3109,1550-1556	2
hsa-miR-548ba#ENST00000278616.9	745-751,2021-2027	2
hsa-miR-548ba#ENST00000373935.4	2029-2036,1480-1486	2
hsa-miR-548ba#ENST00000681888.1	1859-1865,310-316	2
hsa-let-7b-5p#ENST00000373857.8	2142-2149,2176-2183	2
hsa-let-7b-5p#ENST00000486211.1	246-253,275-282	2
hsa-miR-548ba#ENST00000378163.7	376-383,4113-4119	2
hsa-miR-548ba#ENST00000542638.5	249-256,1513-1519	2
hsa-miR-548ba#ENST00000561678.7	5194-5201,3037-3044	2
hsa-miR-548ba#ENST00000643665.1	3989-3996,3612-3619	2
hsa-miR-548ba#ENST00000380285.7	3039-3045,7688-7695	2
hsa-miR-548ba#ENST00000284881.9	1394-1400,570-577,3717-3723	3
hsa-miR-548ba#ENST00000645588.1	4404-4410,701-709	2
hsa-miR-548ba#ENST00000327134.7	625-632,2864-2871	2
hsa-miR-548ba#ENST00000464265.5	1688-1696,2563-2571	2
hsa-miR-548ba#ENST00000613795.4	498-505,1246-1253	2
hsa-miR-548ba#ENST00000359314.5	2040-2047,2402-2409	2
hsa-let-7b-5p#ENST00000504771.3	4219-4225,4841-4847	2
hsa-miR-548ba#ENST00000378278.7	3570-3577,2914-2921	2
hsa-miR-548ba#ENST00000652107.1	2805-2811,443-450	2
hsa-miR-548ba#ENST00000538489.5	4238-4245,7089-7095	2
hsa-let-7b-5p#ENST00000681139.1	17263-17269,10546-10553	2
hsa-let-7b-3p#ENST00000447540.6	287-294,2249-2256	2
hsa-let-7b-3p#ENST00000410026.7	4453-4459,10784-10790	2
hsa-miR-548ba#ENST00000527447.2	4494-4501,63-69	2
hsa-miR-548ba#ENST00000395275.7	1466-1472,1052-1059	2
hsa-miR-548ba#ENST00000440756.4	7365-7372,7771-7777	2
hsa-miR-548ba#ENST00000644829.1	11007-11013,1844-1856	2
hsa-miR-548ba#ENST00000679815.1	2870-2876,771-778,3084-3091	3
hsa-miR-548ba#ENST00000612703.3	1504-1511,1029-1036,3591-3607	3
hsa-miR-548ba#ENST00000674172.1	2595-2601,4691-4705	2
hsa-miR-548ba#ENST00000346872.8	624-630,6829-6837	2
hsa-miR-548ba#ENST00000646904.1	1284-1290,3052-3059	2
hsa-miR-548ba#ENST00000568604.5	1352-1359,3838-3845	2
hsa-miR-548ba#ENST00000681506.1	754-760,1209-1216	2
hsa-miR-548ba#ENST00000286614.11	1836-1842,1372-1378	2
hsa-miR-548ba#ENST00000361719.6	1748-1754,1006-1013	2
hsa-let-7b-3p#ENST00000295417.4	3295-3302,4159-4166,3773-3780	3
hsa-let-7b-5p#ENST00000677481.1	5339-5360,1502-1510	2
hsa-miR-548ba#ENST00000436636.7	4022-4030,1262-1268	2
hsa-let-7b-3p#ENST00000396444.7	3827-3837,1429-1436	2
hsa-miR-548ba#ENST00000681817.1	2110-2116,225-233	2
hsa-miR-548ba#ENST00000061240.7	2790-2796,3497-3503	2
hsa-miR-548ba#ENST00000333407.11	11443-11449,7976-7982	2
hsa-miR-548ba#ENST00000451558.5	1568-1574,2215-2223,2141-2147	3
hsa-miR-548ba#ENST00000245680.7	1397-1404,6957-6964	2
hsa-let-7b-3p#ENST00000373241.9	4254-4260,2129-2136	2
hsa-miR-548ba#ENST00000640017.1	956-962,1068-1074	2
hsa-miR-548ba#ENST00000292782.9	3434-3441,694-700	2
hsa-miR-548ba#ENST00000675843.1	2314-2320,745-751	2
hsa-let-7b-5p#ENST00000650903.2	10074-10081,16791-16797	2
hsa-miR-548ba#ENST00000242505.11	1194-1200,1819-1826,2303-2309	3
hsa-miR-548ba#ENST00000373191.9	3396-3403,4993-5000	2
hsa-let-7b-3p#ENST00000392161.4	357-364,2893-2899	2
hsa-miR-548ba#ENST00000329008.9	1466-1472,1052-1059	2
hsa-miR-548ba#ENST00000288221.11	170-176,2192-2199	2
hsa-miR-548ba#ENST00000639952.1	4100-4106,1559-1566	2
hsa-miR-548ba#ENST00000633306.1	1188-1195,1376-1382	2
hsa-let-7b-3p#ENST00000557010.5	3217-3224,1904-1910	2
hsa-miR-548ba#ENST00000261530.12	245-252,6000-6007,9522-9528	3
hsa-miR-548ba#ENST00000374907.7	2078-2085,2067-2075	2
hsa-miR-548ba#ENST00000344526.10	1145-1151,1455-1462,1438-1446	3
hsa-miR-548ba#ENST00000681025.1	1158-1165,703-709	2
hsa-let-7b-5p#ENST00000393491.7	1509-1515,1994-2000,3086-3092	3
hsa-let-7b-3p#ENST00000379484.10	1957-1963,1758-1765	2
hsa-miR-548ba#ENST00000651177.1	562-569,551-559	2
hsa-miR-548ba#ENST00000637304.1	4724-4731,756-764,2129-2135	3
hsa-let-7b-3p#ENST00000553612.6	2119-2126,1230-1236,3275-3282	3
hsa-miR-548ba#ENST00000559844.6	1865-1871,6514-6521	2
hsa-let-7b-5p#ENST00000679884.1	7806-7813,14523-14529	2
hsa-miR-548ba#ENST00000613385.4	1130-1136,2948-2954	2
hsa-miR-548ba#ENST00000261700.8	741-749,4371-4378	2
hsa-miR-548ba#ENST00000283249.7	1851-1859,1431-1438	2
hsa-miR-548ba#ENST00000398540.8	1851-1858,640-646	2
hsa-miR-548ba#ENST00000359741.10	2189-2195,294-300	2
hsa-miR-548ba#ENST00000680652.1	1859-1865,310-316	2
hsa-let-7b-3p#ENST00000615216.4	287-294,2249-2256	2
hsa-miR-548ba#ENST00000401604.8	2251-2257,1353-1360	2
hsa-let-7b-3p#ENST00000564845.5	287-294,2249-2256	2
hsa-miR-548ba#ENST00000374622.3	404-410,1689-1696	2
hsa-miR-548ba#ENST00000414645.6	3033-3039,3518-3525	2
hsa-miR-548ba#ENST00000674625.1	428-434,1138-1145	2
hsa-let-7b-3p#ENST00000392952.7	3103-3109,1550-1556	2
hsa-miR-548ba#ENST00000623646.3	2545-2551,16254-16261	2
hsa-miR-548ba#ENST00000282223.11	2524-2531,3025-3032	2
hsa-let-7b-5p#ENST00000249786.9	2179-2186,1499-1505	2
hsa-miR-548ba#ENST00000394106.7	762-768,5164-5171	2
hsa-let-7b-3p#ENST00000683842.1	3849-3856,9449-9456	2
hsa-miR-548ba#ENST00000261263.5	1205-1212,1995-2001	2
hsa-let-7b-5p#ENST00000680258.1	7806-7813,14523-14529	2
hsa-let-7b-3p#ENST00000495827.3	6449-6455,7252-7259	2
hsa-let-7b-5p#ENST00000680667.1	7806-7813,14523-14529	2
hsa-miR-548ba#ENST00000409600.6	3681-3688,3665-3671	2
hsa-miR-548ba#ENST00000633523.1	2048-2055,2236-2242	2
hsa-miR-548ba#ENST00000677863.1	707-713,841-847	2
hsa-miR-548ba#ENST00000452508.6	2314-2320,745-751	2
hsa-miR-548ba#ENST00000673291.1	2353-2361,2364-2370	2
hsa-miR-548ba#ENST00000419036.5	948-955,963-970,2367-2374	3
hsa-let-7b-3p#ENST00000281419.8	1486-1494,1476-1484	2
hsa-miR-548ba#ENST00000261454.8	5286-5293,5328-5334,3304-3311	3
hsa-miR-548ba#ENST00000261023.8	2078-2085,2067-2075	2
