transcript	miRNAs	numberMiRNAs
ENST00000674197.1	hsa-let-7b-3p	1
ENST00000250373.9	hsa-miR-548ba	1
ENST00000681251.1	hsa-let-7b-5p	1
ENST00000440835.6	hsa-miR-548ba	1
ENST00000621197.4	hsa-let-7b-3p	1
ENST00000649998.1	hsa-miR-548ba	1
ENST00000585315.5	hsa-let-7b-5p	1
ENST00000347613.8	hsa-miR-548ba	1
ENST00000544091.1	hsa-miR-548ba	1
ENST00000513246.6	hsa-let-7b-3p	1
ENST00000377340.6	hsa-miR-548ba	1
ENST00000344876.9	hsa-let-7b-3p	1
ENST00000507824.6	hsa-miR-548ba	1
ENST00000429879.5	hsa-let-7b-3p	1
ENST00000400590.8	hsa-miR-548ba	1
ENST00000227349.7	hsa-miR-548ba	1
ENST00000510585.3	hsa-let-7b-3p	1
ENST00000417788.5	hsa-miR-548ba	1
ENST00000509769.5	hsa-let-7b-5p	1
ENST00000248211.11	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000371610.7	hsa-let-7b-5p	1
ENST00000682300.1	hsa-let-7b-3p	1
ENST00000355972.8	hsa-let-7b-3p	1
ENST00000339488.9	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000393742.7	hsa-let-7b-5p	1
ENST00000556614.6	hsa-let-7b-3p	1
ENST00000257659.12	hsa-miR-548ba	1
ENST00000443905.6	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000373479.9	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000397860.7	hsa-miR-548ba	1
ENST00000637045.1	hsa-miR-548ba	1
ENST00000319080.12	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000371103.8	hsa-miR-548ba	1
ENST00000238497.10	hsa-miR-548ba	1
ENST00000510994.5	hsa-let-7b-5p	1
ENST00000266069.5	hsa-miR-548ba	1
ENST00000651502.1	hsa-let-7b-3p	1
ENST00000674175.1	hsa-let-7b-5p	1
ENST00000646120.2	hsa-miR-548ba	1
ENST00000435431.5	hsa-miR-548ba	1
ENST00000558181.5	hsa-miR-548ba	1
ENST00000583097.5	hsa-miR-548ba	1
ENST00000372507.5	hsa-let-7b-3p	1
ENST00000454925.1	hsa-miR-548ba	1
ENST00000380026.8	hsa-let-7b-5p	1
ENST00000378402.10	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000409746.5	hsa-miR-548ba	1
ENST00000327381.7	hsa-miR-548ba	1
ENST00000646907.2	hsa-miR-548ba	1
ENST00000548058.6	hsa-miR-548ba	1
ENST00000242249.8	hsa-miR-548ba	1
ENST00000612661.2	hsa-let-7b-3p	1
ENST00000438932.2	hsa-miR-548ba	1
ENST00000410055.5	hsa-let-7b-3p	1
ENST00000648928.1	hsa-miR-548ba	1
ENST00000417411.6	hsa-let-7b-3p	1
ENST00000650279.2	hsa-miR-548ba	1
ENST00000409315.5	hsa-miR-548ba	1
ENST00000682126.1	hsa-miR-548ba	1
ENST00000335005.10	hsa-let-7b-3p	1
ENST00000649114.1	hsa-miR-548ba	1
ENST00000370872.7	hsa-let-7b-3p	1
ENST00000676681.1	hsa-miR-548ba	1
ENST00000280187.11	hsa-miR-548ba	1
ENST00000375630.6	hsa-miR-548ba	1
ENST00000443860.2	hsa-let-7b-5p	1
ENST00000544349.6	hsa-let-7b-5p	1
ENST00000397762.6	hsa-let-7b-5p	1
ENST00000272421.10	hsa-let-7b-5p	1
ENST00000641340.1	hsa-let-7b-5p	1
ENST00000524238.3	hsa-let-7b-3p	1
ENST00000374990.6	hsa-let-7b-5p	1
ENST00000455520.6	hsa-miR-548ba	1
ENST00000578270.5	hsa-let-7b-3p	1
ENST00000452783.6	hsa-miR-548ba	1
ENST00000260598.10	hsa-let-7b-5p	1
ENST00000379619.5	hsa-let-7b-3p	1
ENST00000376958.5	hsa-miR-548ba	1
ENST00000394670.9	hsa-let-7b-3p	1
ENST00000649878.1	hsa-let-7b-3p	1
ENST00000369701.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000280346.11	hsa-miR-548ba	1
ENST00000677730.1	hsa-let-7b-3p	1
ENST00000558083.2	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000371921.5	hsa-miR-548ba	1
ENST00000434693.6	hsa-miR-548ba	1
ENST00000366888.6	hsa-let-7b-3p	1
ENST00000378700.8	hsa-let-7b-3p	1
ENST00000681971.1	hsa-miR-548ba	1
ENST00000424646.6	hsa-let-7b-3p	1
ENST00000360579.11	hsa-miR-548ba	1
ENST00000429381.5	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000294737.11	hsa-miR-548ba	1
ENST00000677147.1	hsa-let-7b-3p	1
ENST00000641673.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000639377.1	hsa-miR-548ba	1
ENST00000292928.7	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000392982.8	hsa-miR-548ba	1
ENST00000231656.13	hsa-let-7b-3p	1
ENST00000253247.9	hsa-miR-548ba	1
ENST00000546500.5	hsa-let-7b-3p	1
ENST00000404104.7	hsa-miR-548ba	1
ENST00000558439.5	hsa-let-7b-5p	1
ENST00000521555.6	hsa-miR-548ba	1
ENST00000616250.4	hsa-let-7b-5p	1
ENST00000374839.8	hsa-miR-548ba	1
ENST00000315150.10	hsa-miR-548ba	1
ENST00000263095.10	hsa-let-7b-5p	1
ENST00000621131.4	hsa-miR-548ba	1
ENST00000352684.2	hsa-let-7b-3p	1
ENST00000542645.5	hsa-miR-548ba	1
ENST00000616174.1	hsa-let-7b-3p	1
ENST00000542569.6	hsa-miR-548ba	1
ENST00000356825.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000675535.1	hsa-let-7b-5p	1
ENST00000513104.6	hsa-miR-548ba	1
ENST00000454782.3	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000317775.11	hsa-let-7b-5p	1
ENST00000391858.8	hsa-miR-548ba	1
ENST00000457367.5	hsa-miR-548ba	1
ENST00000637689.1	hsa-miR-548ba	1
ENST00000602925.5	hsa-miR-548ba	1
ENST00000257359.7	hsa-let-7b-5p	1
ENST00000677556.1	hsa-miR-548ba	1
ENST00000472441.1	hsa-miR-548ba	1
ENST00000627695.2	hsa-let-7b-3p	1
ENST00000444659.6	hsa-miR-548ba	1
ENST00000430046.7	hsa-miR-548ba	1
ENST00000539354.6	hsa-miR-548ba	1
ENST00000681873.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000342183.9	hsa-let-7b-3p	1
ENST00000684458.1	hsa-miR-548ba	1
ENST00000468888.6	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000328741.6	hsa-miR-548ba	1
ENST00000473845.1	hsa-miR-548ba	1
ENST00000546757.5	hsa-miR-548ba	1
ENST00000397997.6	hsa-miR-548ba	1
ENST00000456319.6	hsa-miR-548ba	1
ENST00000580900.5	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000676508.1	hsa-let-7b-3p	1
ENST00000651692.1	hsa-let-7b-5p	1
ENST00000370752.4	hsa-let-7b-5p	1
ENST00000684027.1	hsa-let-7b-5p	1
ENST00000473414.6	hsa-let-7b-3p	1
ENST00000329841.10	hsa-miR-548ba	1
ENST00000571371.5	hsa-miR-548ba	1
ENST00000680749.1	hsa-miR-548ba	1
ENST00000299138.12	hsa-miR-548ba	1
ENST00000259941.6	hsa-let-7b-3p	1
ENST00000267460.9	hsa-miR-548ba	1
ENST00000318240.8	hsa-miR-548ba	1
ENST00000333039.4	hsa-let-7b-3p	1
ENST00000651208.1	hsa-let-7b-3p	1
ENST00000447782.1	hsa-miR-548ba	1
ENST00000679986.1	hsa-let-7b-5p	1
ENST00000443233.5	hsa-miR-548ba	1
ENST00000614971.4	hsa-let-7b-5p	1
ENST00000366844.7	hsa-miR-548ba	1
ENST00000465289.6	hsa-miR-548ba	1
ENST00000399232.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000344636.6	hsa-let-7b-5p	1
ENST00000497136.6	hsa-let-7b-5p	1
ENST00000286523.9	hsa-let-7b-5p	1
ENST00000409604.1	hsa-let-7b-3p	1
ENST00000639688.1	hsa-let-7b-3p	1
ENST00000368865.9	hsa-miR-548ba	1
ENST00000287022.10	hsa-miR-548ba	1
ENST00000424526.6	hsa-let-7b-5p	1
ENST00000454177.5	hsa-miR-548ba	1
ENST00000409150.8	hsa-miR-548ba	1
ENST00000576409.5	hsa-let-7b-5p	1
ENST00000683796.1	hsa-let-7b-3p	1
ENST00000677080.1	hsa-let-7b-3p	1
ENST00000494120.1	hsa-miR-548ba	1
ENST00000367255.10	hsa-miR-548ba	1
ENST00000529262.5	hsa-let-7b-5p	1
ENST00000295522.4	hsa-let-7b-5p	1
ENST00000646311.1	hsa-miR-548ba	1
ENST00000523887.5	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000370654.6	hsa-miR-548ba	1
ENST00000468435.6	hsa-let-7b-5p	1
ENST00000594045.2	hsa-let-7b-5p	1
ENST00000544260.3	hsa-miR-548ba	1
ENST00000390689.3	hsa-miR-548ba	1
ENST00000606514.5	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000543643.6	hsa-miR-548ba	1
ENST00000680780.1	hsa-miR-548ba	1
ENST00000399641.6	hsa-miR-548ba	1
ENST00000316045.9	hsa-let-7b-3p	1
ENST00000297784.10	hsa-miR-548ba	1
ENST00000340473.8	hsa-let-7b-3p	1
ENST00000337288.10	hsa-let-7b-3p	1
ENST00000403268.1	hsa-miR-548ba	1
ENST00000314940.7	hsa-miR-548ba	1
ENST00000564657.2	hsa-let-7b-3p	1
ENST00000525477.5	hsa-let-7b-5p	1
ENST00000637645.1	hsa-let-7b-3p	1
ENST00000342494.8	hsa-miR-548ba	1
ENST00000600761.3	hsa-miR-548ba	1
ENST00000334398.8	hsa-miR-548ba	1
ENST00000369384.9	hsa-miR-548ba	1
ENST00000680273.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000627651.2	hsa-let-7b-5p	1
ENST00000287042.5	hsa-let-7b-3p	1
ENST00000645088.1	hsa-miR-548ba	1
ENST00000262173.7	hsa-miR-548ba,hsa-let-7b-3p,hsa-let-7b-5p	3
ENST00000371627.5	hsa-miR-548ba	1
ENST00000275820.4	hsa-miR-548ba	1
ENST00000471681.5	hsa-miR-548ba	1
ENST00000374189.5	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000186436.10	hsa-let-7b-3p	1
ENST00000476287.4	hsa-miR-548ba	1
ENST00000671706.1	hsa-miR-548ba	1
ENST00000568344.5	hsa-miR-548ba,hsa-let-7b-3p,hsa-let-7b-5p	3
ENST00000658729.1	hsa-let-7b-5p	1
ENST00000674344.1	hsa-let-7b-3p	1
ENST00000553615.5	hsa-miR-548ba	1
ENST00000616463.1	hsa-let-7b-5p	1
ENST00000490820.2	hsa-miR-548ba	1
ENST00000381237.6	hsa-miR-548ba	1
ENST00000372007.10	hsa-miR-548ba	1
ENST00000359676.9	hsa-miR-548ba	1
ENST00000407818.8	hsa-miR-548ba	1
ENST00000369816.5	hsa-let-7b-5p	1
ENST00000347404.10	hsa-miR-548ba	1
ENST00000678386.1	hsa-let-7b-3p	1
ENST00000437545.5	hsa-let-7b-5p	1
ENST00000420696.7	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000450446.6	hsa-let-7b-5p	1
ENST00000679942.1	hsa-let-7b-5p	1
ENST00000507872.1	hsa-miR-548ba	1
ENST00000400585.7	hsa-let-7b-3p	1
ENST00000376718.8	hsa-miR-548ba	1
ENST00000005257.7	hsa-let-7b-3p	1
ENST00000610657.2	hsa-let-7b-3p	1
ENST00000679866.1	hsa-let-7b-5p	1
ENST00000294353.7	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000002596.6	hsa-miR-548ba	1
ENST00000324324.12	hsa-miR-548ba	1
ENST00000209884.5	hsa-let-7b-3p	1
ENST00000566732.6	hsa-let-7b-3p	1
ENST00000261889.9	hsa-miR-548ba	1
ENST00000435070.7	hsa-let-7b-3p	1
ENST00000367265.9	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000286758.4	hsa-miR-548ba	1
ENST00000347230.9	hsa-let-7b-3p	1
ENST00000577337.5	hsa-let-7b-5p	1
ENST00000359321.2	hsa-let-7b-3p	1
ENST00000287020.7	hsa-let-7b-5p	1
ENST00000652621.1	hsa-let-7b-3p	1
ENST00000372146.5	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000434377.6	hsa-let-7b-5p	1
ENST00000679511.1	hsa-let-7b-5p	1
ENST00000458705.6	hsa-miR-548ba	1
ENST00000647163.1	hsa-miR-548ba	1
ENST00000295757.8	hsa-let-7b-5p	1
ENST00000382263.3	hsa-miR-548ba	1
ENST00000682272.1	hsa-miR-548ba	1
ENST00000427120.6	hsa-miR-548ba	1
ENST00000296522.11	hsa-miR-548ba	1
ENST00000651981.1	hsa-miR-548ba	1
ENST00000649207.1	hsa-miR-548ba	1
ENST00000362076.8	hsa-miR-548ba	1
ENST00000508921.7	hsa-miR-548ba	1
ENST00000260970.8	hsa-let-7b-3p	1
ENST00000533837.5	hsa-let-7b-5p	1
ENST00000460849.5	hsa-miR-548ba	1
ENST00000304195.8	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000618893.1	hsa-miR-548ba	1
ENST00000495759.6	hsa-let-7b-5p	1
ENST00000426480.2	hsa-miR-548ba	1
ENST00000576342.2	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000338564.9	hsa-miR-548ba	1
ENST00000406316.6	hsa-let-7b-3p	1
ENST00000525940.5	hsa-let-7b-5p	1
ENST00000651550.1	hsa-miR-548ba	1
ENST00000390645.2	hsa-miR-548ba	1
ENST00000338488.8	hsa-miR-548ba	1
ENST00000544140.5	hsa-let-7b-5p	1
ENST00000373119.9	hsa-miR-548ba	1
ENST00000441349.5	hsa-let-7b-5p	1
ENST00000307719.9	hsa-miR-548ba	1
ENST00000336112.9	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000457634.6	hsa-miR-548ba	1
ENST00000667706.1	hsa-let-7b-3p	1
ENST00000360540.9	hsa-miR-548ba	1
ENST00000680607.1	hsa-let-7b-5p	1
ENST00000361028.5	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000222693.5	hsa-miR-548ba	1
ENST00000683245.1	hsa-miR-548ba	1
ENST00000319933.7	hsa-let-7b-3p	1
ENST00000680584.1	hsa-miR-548ba	1
ENST00000641002.1	hsa-miR-548ba	1
ENST00000682704.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000355029.9	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000330236.7	hsa-miR-548ba	1
ENST00000677747.1	hsa-let-7b-3p	1
ENST00000360388.9	hsa-miR-548ba	1
ENST00000540285.5	hsa-let-7b-5p	1
ENST00000613273.4	hsa-let-7b-3p	1
ENST00000376673.7	hsa-miR-548ba	1
ENST00000261867.5	hsa-let-7b-3p	1
ENST00000446947.6	hsa-let-7b-3p	1
ENST00000431717.6	hsa-let-7b-3p,hsa-let-7b-5p	2
ENST00000484193.5	hsa-let-7b-3p	1
ENST00000378694.1	hsa-let-7b-3p	1
ENST00000422340.6	hsa-miR-548ba	1
ENST00000680077.1	hsa-miR-548ba	1
ENST00000614677.1	hsa-let-7b-3p	1
ENST00000409287.5	hsa-let-7b-5p	1
ENST00000684218.1	hsa-miR-548ba	1
ENST00000383645.6	hsa-let-7b-3p	1
ENST00000375549.8	hsa-miR-548ba	1
ENST00000515801.5	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000639115.1	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000540717.1	hsa-let-7b-3p	1
ENST00000542814.5	hsa-miR-548ba	1
ENST00000491165.5	hsa-miR-548ba	1
ENST00000523669.5	hsa-miR-548ba	1
ENST00000525842.5	hsa-let-7b-3p	1
ENST00000242729.7	hsa-let-7b-3p	1
ENST00000578189.1	hsa-let-7b-5p	1
ENST00000372457.9	hsa-let-7b-5p	1
ENST00000356971.3	hsa-let-7b-3p	1
ENST00000612989.1	hsa-miR-548ba	1
ENST00000644912.1	hsa-miR-548ba	1
ENST00000648038.1	hsa-miR-548ba	1
ENST00000310604.8	hsa-miR-548ba	1
ENST00000284617.7	hsa-let-7b-5p	1
ENST00000537502.5	hsa-let-7b-3p	1
ENST00000310528.9	hsa-miR-548ba,hsa-let-7b-3p,hsa-let-7b-5p	3
ENST00000679822.1	hsa-miR-548ba	1
ENST00000357081.8	hsa-miR-548ba	1
ENST00000330333.11	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000261845.7	hsa-miR-548ba	1
ENST00000278618.9	hsa-let-7b-3p	1
ENST00000649518.1	hsa-miR-548ba	1
ENST00000566612.5	hsa-let-7b-5p	1
ENST00000684627.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000342820.10	hsa-let-7b-3p	1
ENST00000376499.8	hsa-let-7b-3p	1
ENST00000267068.5	hsa-let-7b-3p	1
ENST00000361846.7	hsa-miR-548ba	1
ENST00000372102.3	hsa-miR-548ba	1
ENST00000569174.5	hsa-miR-548ba	1
ENST00000429376.5	hsa-miR-548ba	1
ENST00000529453.1	hsa-miR-548ba	1
ENST00000634411.1	hsa-let-7b-5p	1
ENST00000651785.1	hsa-miR-548ba,hsa-let-7b-3p,hsa-let-7b-5p	3
ENST00000267984.4	hsa-miR-548ba	1
ENST00000544451.2	hsa-miR-548ba	1
ENST00000522167.5	hsa-let-7b-3p	1
ENST00000481102.5	hsa-miR-548ba	1
ENST00000643689.1	hsa-let-7b-5p	1
ENST00000290524.8	hsa-let-7b-5p	1
ENST00000566029.5	hsa-let-7b-3p	1
ENST00000683556.1	hsa-miR-548ba	1
ENST00000537911.5	hsa-miR-548ba	1
ENST00000631598.1	hsa-let-7b-3p	1
ENST00000647883.1	hsa-let-7b-5p	1
ENST00000682992.1	hsa-miR-548ba	1
ENST00000240587.5	hsa-let-7b-3p	1
ENST00000544020.5	hsa-let-7b-5p	1
ENST00000654015.1	hsa-let-7b-3p	1
ENST00000455394.5	hsa-miR-548ba	1
ENST00000618266.4	hsa-let-7b-3p	1
ENST00000643258.1	hsa-miR-548ba	1
ENST00000457514.3	hsa-miR-548ba	1
ENST00000367478.9	hsa-miR-548ba	1
ENST00000222573.5	hsa-miR-548ba	1
ENST00000314100.10	hsa-let-7b-5p	1
ENST00000354421.8	hsa-miR-548ba	1
ENST00000379214.9	hsa-let-7b-5p	1
ENST00000654931.1	hsa-let-7b-5p	1
ENST00000373839.8	hsa-let-7b-5p	1
ENST00000679648.1	hsa-let-7b-5p	1
ENST00000367123.8	hsa-miR-548ba	1
ENST00000361824.7	hsa-miR-548ba	1
ENST00000611972.4	hsa-miR-548ba	1
ENST00000674535.1	hsa-let-7b-5p	1
ENST00000319636.10	hsa-miR-548ba	1
ENST00000674459.1	hsa-let-7b-3p	1
ENST00000682054.1	hsa-miR-548ba	1
ENST00000315930.11	hsa-miR-548ba	1
ENST00000392955.7	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000359943.8	hsa-miR-548ba	1
ENST00000651687.1	hsa-miR-548ba	1
ENST00000372844.8	hsa-miR-548ba	1
ENST00000413507.3	hsa-miR-548ba	1
ENST00000468581.2	hsa-let-7b-3p	1
ENST00000423624.5	hsa-miR-548ba	1
ENST00000377602.5	hsa-let-7b-5p	1
ENST00000648349.2	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000401393.7	hsa-let-7b-3p	1
ENST00000504131.6	hsa-miR-548ba	1
ENST00000489671.6	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000680797.1	hsa-let-7b-5p	1
ENST00000674081.1	hsa-miR-548ba	1
ENST00000264870.8	hsa-miR-548ba	1
ENST00000526187.5	hsa-let-7b-5p	1
ENST00000304916.4	hsa-let-7b-3p	1
ENST00000394621.7	hsa-miR-548ba	1
ENST00000675561.1	hsa-miR-548ba	1
ENST00000637738.2	hsa-miR-548ba	1
ENST00000462775.5	hsa-miR-548ba	1
ENST00000296641.5	hsa-miR-548ba	1
ENST00000655450.1	hsa-miR-548ba	1
ENST00000366839.8	hsa-let-7b-3p	1
ENST00000628285.3	hsa-let-7b-3p	1
ENST00000309575.5	hsa-let-7b-3p	1
ENST00000229330.9	hsa-miR-548ba	1
ENST00000409652.5	hsa-miR-548ba,hsa-let-7b-3p	2
ENST00000562351.2	hsa-miR-548ba	1
ENST00000273980.10	hsa-miR-548ba	1
ENST00000339475.10	hsa-miR-548ba	1
ENST00000682387.1	hsa-miR-548ba,hsa-let-7b-5p	2
ENST00000615152.5	hsa-let-7b-5p	1
ENST00000342232.5	hsa-let-7b-3p	1
ENST00000312541.10	hsa-miR-548ba	1
ENST00000676889.1	hsa-miR-548ba	1
ENST00000620033.4	hsa-miR-548ba	1
ENST00000648834.1	hsa-miR-548ba	1
ENST00000263461.11	hsa-miR-548ba	1
ENST00000303921.3	hsa-let-7b-3p	1
ENST00000355780.9	hsa-miR-548ba	1
ENST00000614459.4	hsa-let-7b-5p	1
ENST00000556422.5	hsa-miR-548ba	1
ENST00000271450.12	hsa-miR-548ba	1
ENST00000351231.7	hsa-let-7b-5p	1
ENST00000553708.5	hsa-miR-548ba	1
ENST00000443713.6	hsa-miR-548ba	1
ENST00000367941.7	hsa-miR-548ba	1
ENST00000438331.5	hsa-miR-548ba	1
ENST00000646283.1	hsa-let-7b-3p	1
ENST00000361272.9	hsa-let-7b-3p	1
ENST00000681339.1	hsa-miR-548ba	1
ENST00000360655.8	hsa-let-7b-3p	1
ENST00000367510.8	hsa-let-7b-3p	1
ENST00000515560.1	hsa-miR-548ba	1
ENST00000676080.1	hsa-miR-548ba	1
ENST00000575409.2	hsa-miR-548ba	1
ENST00000503393.8	hsa-miR-548ba	1
