"X.node1","node2","node1_string_id","node2_string_id","node1_uniprot_id","node2_uniprot_id","id1","id2","protein_name_1","protein_name_2","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"AAEL001273","AAEL004651","7159.Q17LP8","7159.Q17C93","Q17LP8","Q17C93","aag:5569619","aag:5565160","SEC24B","Q17C93",0,0,0,0,0.094,0.085,0.155,0.279,0.427
"AAEL001454","J9E9F1_AEDAE","7159.Q17L67","7159.J9E9F1","Q17L67","J9E9F1","aag:5570710","aag:23687576","Eif4enif1","POLR3B",0,0,0,0,0.069,0.274,0.213,0.062,0.434
"AAEL001454","AAEL012259","7159.Q17L67","7159.Q16MM1","Q17L67","Q16MM1","aag:5570710","aag:5578151","Eif4enif1","SUPT5H",0,0,0,0,0.046,0.371,0,0.237,0.502
"AAEL001454","AAEL011870","7159.Q17L67","7159.Q16NS4","Q17L67","Q16NS4","aag:5570710","aag:5575495","Eif4enif1","LSM14A",0,0,0,0,0.094,0.848,0,0.421,0.913
"AAEL001454","AAEL001468","7159.Q17L67","7159.Q17L66","Q17L67","Q17L66","aag:5570710","aag:5570710","Eif4enif1","Eif4enif1",0,0.735,0,0,0,0,0,0,0.735
"AAEL001468","J9E9F1_AEDAE","7159.Q17L66","7159.J9E9F1","Q17L66","J9E9F1","aag:5570710","aag:23687576","Eif4enif1","POLR3B",0,0,0,0,0.069,0.274,0.213,0.062,0.434
"AAEL001468","AAEL012259","7159.Q17L66","7159.Q16MM1","Q17L66","Q16MM1","aag:5570710","aag:5578151","Eif4enif1","SUPT5H",0,0,0,0,0.046,0.371,0,0.237,0.502
"AAEL001468","AAEL011870","7159.Q17L66","7159.Q16NS4","Q17L66","Q16NS4","aag:5570710","aag:5575495","Eif4enif1","LSM14A",0,0,0,0,0.094,0.848,0,0.421,0.913
"AAEL001482","AAEL004934","7159.Q17L13","7159.Q17BK4","Q17L13","Q17BK4","aag:5570926","aag:5570926","SCAPER","SCAPER",0,0.899,0.371,0,0,0,0,0,0.934
"AAEL001567","AAEL012723","7159.Q17KU1","7159.Q16L96","Q17KU1","Q16L96","aag:5571277","aag:5576696","MEF2C","MAP2K1",0,0,0,0,0.042,0.053,0,0.473,0.48
"AAEL001643","J9E9F1_AEDAE","7159.Q17KJ5","7159.J9E9F1","Q17KJ5","J9E9F1","aag:5571673","aag:23687576","Q17KJ5","POLR3B",0,0,0,0,0,0.274,0.213,0.062,0.417
"AAEL001643","AAEL012057","7159.Q17KJ5","7159.Q16N85","Q17KJ5","Q16N85","aag:5571673","aag:5575748","Q17KJ5","EPC1",0,0,0,0,0,0.508,0.371,0.274,0.755
"AAEL001702","AAEL012707","7159.Q17KG8","7159.Q16LB3","Q17KG8","Q16LB3","aag:5571826","aag:5578851","Q17KG8","USP10",0,0,0,0,0,0.11,0.266,0.174,0.413
"AAEL001702","AAEL003733","7159.Q17KG8","7159.Q17EP1","Q17KG8","Q17EP1","aag:5571826","aag:5578851","Q17KG8","USP10",0,0,0,0,0,0.11,0.266,0.174,0.413
"AAEL001702","AAEL010821","7159.Q17KG8","7159.Q1HR99","Q17KG8","Q1HR99","aag:5571826","aag:5573974","Q17KG8","RPLP0",0,0,0,0,0.054,0.355,0,0.126,0.42
"AAEL001749","AAEL001755","7159.Q17K93","7159.Q17K92","Q17K93","Q17K92","aag:5572280","aga:1274741","RHBDL3","RHBDL3",0,0.895,0,0,0,0,0,0,0.895
"AAEL001760","AAEL007876","7159.Q17K95","7159.Q170K8","Q17K95","Q170K8","aag:5564765","aag:5569737","Q17K95","PTK7",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL001861","Q1HR69_AEDAE","7159.Q17JY3","7159.Q1HR69","Q17JY3","Q1HR69","aag:5572664","aag:23687769","NUP155","HSPA5",0,0,0,0,0.074,0,0.562,0,0.577
"AAEL001951","AAEL012057","7159.Q6QNY2","7159.Q16N85","Q6QNY2","Q16N85","aag:5572985","aag:5575748","ACTB","EPC1",0,0,0,0,0,0.378,0.129,0.106,0.473
"AAEL001951","AAEL010061","7159.Q6QNY2","7159.Q16U10","Q6QNY2","Q16U10","aag:5572985","aag:5572837","ACTB","FHDC1",0,0,0,0,0,0.271,0.141,0.131,0.408
"AAEL001951","AAEL009085","7159.Q6QNY2","7159.Q16WV5","Q6QNY2","Q16WV5","aag:5572985","aag:5571449","ACTB","ARHGAP1",0,0,0,0,0,0.219,0.292,0,0.423
"AAEL001951","AAEL002761","7159.Q6QNY2","7159.Q17H75","Q6QNY2","Q17H75","aag:5572985","aag:5575995","ACTB","Tm1",0,0,0,0,0.109,0.318,0.234,0.146,0.549
"AAEL002162","AAEL002164","7159.Q17J25","7159.Q17J24","Q17J25","Q17J24","aag:5580078","aag:5580078","FAM193A","Q17J24",0,0.564,0,0,0,0,0,0,0.564
"AAEL002162","AAEL002168","7159.Q17J25","7159.Q17J26","Q17J25","Q17J26","aag:5580078","aag:5580078","FAM193A","FAM193A",0,0.898,0,0,0,0,0,0,0.898
"AAEL002164","AAEL002168","7159.Q17J24","7159.Q17J26","Q17J24","Q17J26","aag:5580078","aag:5580078","Q17J24","FAM193A",0,0.512,0,0,0,0,0,0,0.512
"AAEL002169","AAEL007876","7159.Q17J27","7159.Q170K8","Q17J27","Q170K8","aag:5580078","aag:5569737","Q17J27","PTK7",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL002188","J9E9F1_AEDAE","7159.Q17J05","7159.J9E9F1","Q17J05","J9E9F1","aag:5573892","aag:23687576","Q17J05","POLR3B",0,0,0,0,0.499,0,0,0.101,0.53
"AAEL002188","J9HFE1_AEDAE","7159.Q17J05","7159.J9HFE1","Q17J05","J9HFE1","aag:5573892","aag:5570735","Q17J05","TUFM",0,0,0,0,0.51,0,0,0.184,0.583
"AAEL002188","AAEL012974","7159.Q17J05","7159.Q0IE94","Q17J05","Q0IE94","aag:5573892","aag:5575143","Q17J05","GCSH",0.046,0,0,0,0.356,0,0,0.146,0.429
"AAEL002188","AAEL011890","7159.Q17J05","7159.Q16NR7","Q17J05","Q16NR7","aag:5573892","aag:5575504","Q17J05","Q16NR7",0,0,0,0,0.302,0.306,0,0.046,0.497
"AAEL002188","AAEL010716","7159.Q17J05","7159.Q16S36","Q17J05","Q16S36","aag:5573892","aag:5573790","Q17J05","Sec61alpha",0.074,0,0,0,0.697,0,0,0.099,0.725
"AAEL002188","AAEL008517","7159.Q17J05","7159.Q16YK5","Q17J05","Q16YK5","aag:5573892","aag:5570735","Q17J05","TUFM",0,0,0,0,0.51,0,0,0.184,0.583
"AAEL002188","AAEL002813","7159.Q17J05","7159.Q17H51","Q17J05","Q17H51","aag:5573892","aag:5576107","Q17J05","ATP5J",0,0,0,0,0.769,0.789,0.531,0.338,0.982
"AAEL002188","AAEL004457","7159.Q17J05","7159.Q1HRI9","Q17J05","Q1HRI9","aag:5573892","aag:5564878","Q17J05","CYCS",0,0,0,0,0.284,0.067,0,0.273,0.471
"AAEL002188","AAEL010821","7159.Q17J05","7159.Q1HR99","Q17J05","Q1HR99","aag:5573892","aag:5573974","Q17J05","RPLP0",0,0,0,0,0.715,0,0,0.177,0.755
"AAEL002220","J9E9F1_AEDAE","7159.Q17J06","7159.J9E9F1","Q17J06","J9E9F1","aag:5573892","aag:23687576","Q17J06","POLR3B",0,0,0,0,0.499,0,0,0.101,0.53
"AAEL002220","J9HFE1_AEDAE","7159.Q17J06","7159.J9HFE1","Q17J06","J9HFE1","aag:5573892","aag:5570735","Q17J06","TUFM",0,0,0,0,0.51,0,0,0.184,0.583
"AAEL002220","AAEL012974","7159.Q17J06","7159.Q0IE94","Q17J06","Q0IE94","aag:5573892","aag:5575143","Q17J06","GCSH",0.046,0,0,0,0.356,0,0,0.146,0.429
"AAEL002220","AAEL011890","7159.Q17J06","7159.Q16NR7","Q17J06","Q16NR7","aag:5573892","aag:5575504","Q17J06","Q16NR7",0,0,0,0,0.302,0.306,0,0.046,0.497
"AAEL002220","AAEL010716","7159.Q17J06","7159.Q16S36","Q17J06","Q16S36","aag:5573892","aag:5573790","Q17J06","Sec61alpha",0.074,0,0,0,0.697,0,0,0.099,0.725
"AAEL002220","AAEL008517","7159.Q17J06","7159.Q16YK5","Q17J06","Q16YK5","aag:5573892","aag:5570735","Q17J06","TUFM",0,0,0,0,0.51,0,0,0.184,0.583
"AAEL002220","AAEL002813","7159.Q17J06","7159.Q17H51","Q17J06","Q17H51","aag:5573892","aag:5576107","Q17J06","ATP5J",0,0,0,0,0.769,0.789,0.531,0.338,0.982
"AAEL002220","AAEL004457","7159.Q17J06","7159.Q1HRI9","Q17J06","Q1HRI9","aag:5573892","aag:5564878","Q17J06","CYCS",0,0,0,0,0.284,0.067,0,0.273,0.471
"AAEL002220","AAEL010821","7159.Q17J06","7159.Q1HR99","Q17J06","Q1HR99","aag:5573892","aag:5573974","Q17J06","RPLP0",0,0,0,0,0.715,0,0,0.177,0.755
"AAEL002287","AAEL004900","7159.Q17IL0","7159.Q17BN5","Q17IL0","Q17BN5","aag:5574208","aag:5565667","PDSS1","GGPS1",0,0,0,0.651,0,0,0.909,0.33,0.936
"AAEL002308","AAEL009400","7159.Q17IM8","7159.Q16VZ3","Q17IM8","Q16VZ3","aag:5574190","aag:5571904","ZFP36L2","CNOT8",0,0,0,0,0,0.307,0,0.532,0.661
"AAEL002321","AAEL009947","7159.Q17IK5","7159.Q16UC4","Q17IK5","Q16UC4","aag:5574322","aag:5572676","ey","HOXB7",0,0,0,0.584,0.068,0.127,0.064,0.356,0.443
"AAEL002321","AAEL008371","7159.Q17IK5","7159.Q16Z01","Q17IK5","Q16Z01","aag:5574322","aag:5570549","ey","NF1",0,0,0,0,0,0,0,0.637,0.637
"AAEL002321","AAEL005741","7159.Q17IK5","7159.Q178X8","Q17IK5","Q178X8","aag:5574322","aag:5566982","ey","FOXL2",0,0,0,0,0.054,0.043,0.05,0.446,0.459
"AAEL002594","AAEL013997","7159.Q17HS6","7159.Q16HK0","Q17HS6","Q16HK0","aga:1272970","aag:5579061","PAK3","GNB4",0,0,0,0,0,0.173,0.281,0.135,0.44
"AAEL002594","AAEL010643","7159.Q17HS6","7159.Q16SB0","Q17HS6","Q16SB0","aga:1272970","aag:5575304","PAK3","PAK3",0,0.865,0,0,0,0,0,0,0.865
"AAEL002594","AAEL009085","7159.Q17HS6","7159.Q16WV5","Q17HS6","Q16WV5","aga:1272970","aag:5571449","PAK3","ARHGAP1",0,0,0,0,0,0.073,0.381,0.079,0.425
"AAEL002594","AAEL008622","7159.Q17HS6","7159.Q16Y82","Q17HS6","Q16Y82","aga:1272970","aag:5570856","PAK3","Q16Y82",0,0,0.202,0.641,0,0.058,0.286,0.045,0.418
"AAEL002594","AAEL007876","7159.Q17HS6","7159.Q170K8","Q17HS6","Q170K8","aga:1272970","aag:5569737","PAK3","PTK7",0,0,0,0,0,0.088,0.369,0.069,0.417
"AAEL002754","AAEL007876","7159.Q17HA9","7159.Q170K8","Q17HA9","Q170K8","aag:5575878","aag:5569737","KIRREL","PTK7",0,0,0,0,0,0.361,0.24,0.082,0.515
"AAEL002761","AAEL014901","7159.Q17H75","7159.Q16F46","Q17H75","Q16F46","aag:5575995","aag:5565618","Tm1","ARHGAP18",0,0,0,0,0,0.128,0.382,0.062,0.45
"AAEL002761","AAEL009451","7159.Q17H75","7159.Q16VS2","Q17H75","Q16VS2","aag:5575995","aag:5571971","Tm1","ACTB",0,0,0,0,0.109,0.318,0.234,0.146,0.549
"AAEL002761","AAEL005463","7159.Q17H75","7159.Q179X5","Q17H75","Q179X5","aag:5575995","aga:1280509","Tm1","CALB1",0,0,0,0,0.123,0.132,0.217,0.135,0.415
"AAEL002813","AAEL011890","7159.Q17H51","7159.Q16NR7","Q17H51","Q16NR7","aag:5576107","aag:5575504","ATP5J","Q16NR7",0,0,0,0,0.151,0.445,0,0,0.508
"AAEL002851","AAEL006399","7159.Q17GX9","7159.Q0IFA2","Q17GX9","Q0IFA2","aag:5576244","aag:5567954","betaTub56D","TEKT2",0,0,0,0,0.054,0.407,0,0.047,0.418
"AAEL002851","Q1HR69_AEDAE","7159.Q17GX9","7159.Q1HR69","Q17GX9","Q1HR69","aag:5576244","aag:23687769","betaTub56D","HSPA5",0,0,0,0,0.498,0.278,0,0.186,0.679
"AAEL002913","AAEL006189","7159.Q17GS0","7159.Q177A9","Q17GS0","Q177A9","aag:5576486","aag:5567614","ABCD3","ACBD5",0,0,0,0,0.088,0,0.601,0.136,0.658
"AAEL002936","AAEL006189","7159.Q17GP4","7159.Q177A9","Q17GP4","Q177A9","aag:110675833","aag:5567614","VAPA","ACBD5",0,0,0,0,0,0.175,0,0.439,0.517
"AAEL003001","AAEL006399","7159.Q17GJ0","7159.Q0IFA2","Q17GJ0","Q0IFA2","aag:5580266","aag:5567954","WDR5","TEKT2",0,0,0,0,0.048,0.478,0,0,0.481
"AAEL003001","AAEL009448","7159.Q17GJ0","7159.Q16IF7","Q17GJ0","Q16IF7","aag:5580266","aag:5571951","WDR5","Q16IF7",0,0,0,0,0,0.703,0.251,0.183,0.802
"AAEL003001","AAEL011709","7159.Q17GJ0","7159.Q16PA7","Q17GJ0","Q16PA7","aag:5580266","aag:5575244","WDR5","DGKE",0,0,0,0,0,0,0,0.538,0.538
"AAEL003001","AAEL007388","7159.Q17GJ0","7159.Q172G9","Q17GJ0","Q172G9","aag:5580266","aag:5569126","WDR5","Q172G9",0,0,0,0,0.488,0,0,0,0.487
"AAEL003001","AAEL007353","7159.Q17GJ0","7159.Q172K9","Q17GJ0","Q172K9","aag:5580266","aag:5569092","WDR5","CUL5",0,0,0,0,0,0.275,0.61,0.523,0.853
"AAEL003013","AAEL008622","7159.Q17GI1","7159.Q16Y82","Q17GI1","Q16Y82","aag:5580276","aag:5570856","Mkk4","Q16Y82",0,0,0.186,0.581,0.074,0.84,0.954,0.286,0.995
"AAEL003169","AAEL004133","7159.Q17G69","7159.Q17DL2","Q17G69","Q17DL2","aag:5577413","aag:5564164","igcm-1","igcm-1",0,0,0.059,0.962,0,0,0.9,0,0.901
"AAEL003191","AAEL003199","7159.Q17G52","7159.Q17G54","Q17G52","Q17G54","aag:5577501","aga:1273929","SASH1","SASH1",0,0.598,0,0.702,0,0,0,0.131,0.636
"AAEL003267","Q1HR69_AEDAE","7159.Q17FX3","7159.Q1HR69","Q17FX3","Q1HR69","aag:5577649","aag:23687769","Q17FX3","HSPA5",0.077,0,0,0,0.042,0.274,0,0.291,0.483
"AAEL003290","AAEL007876","7159.Q17FU9","7159.Q170K8","Q17FU9","Q170K8","aag:5577738","aag:5569737","Q17FU9","PTK7",0,0,0,0,0,0.3,0.213,0.045,0.427
"AAEL003292","AAEL003304","7159.Q17FU6","7159.Q17FU7","Q17FU6","Q17FU7","aag:5577744","aag:5577744","SRGAP1","Q17FU7",0,0.878,0,0,0,0,0,0,0.878
"AAEL003407","AAEL014033","7159.Q17FE8","7159.Q16HG5","Q17FE8","Q16HG5","aag:5578107","aag:5579195","Q17FE8","CELF3",0,0,0.394,0,0,0,0,0.538,0.708
"AAEL003407","AAEL006710","7159.Q17FE8","7159.Q175B9","Q17FE8","Q175B9","aag:5578107","aag:5568274","Q17FE8","TIAL1",0,0,0.382,0,0,0,0,0.079,0.406
"AAEL003407","AAEL003979","7159.Q17FE8","7159.Q17E15","Q17FE8","Q17E15","aag:5578107","aag:5579195","Q17FE8","CELF3",0,0,0.461,0,0,0,0,0.538,0.74
"AAEL003407","AAEL003414","7159.Q17FE8","7159.Q17FE9","Q17FE8","Q17FE9","aag:5578107","aag:5578107","Q17FE8","Q17FE9",0,0.679,0,0,0,0,0,0,0.679
"AAEL003414","AAEL014033","7159.Q17FE9","7159.Q16HG5","Q17FE9","Q16HG5","aag:5578107","aag:5579195","Q17FE9","CELF3",0,0,0,0,0,0,0,0.538,0.538
"AAEL003414","AAEL003979","7159.Q17FE9","7159.Q17E15","Q17FE9","Q17E15","aag:5578107","aag:5579195","Q17FE9","CELF3",0,0,0,0,0,0,0,0.538,0.538
"AAEL003592","AAEL003609","7159.Q17F08","7159.Q17F07","Q17F08","Q17F07","aag:5565116","aag:5565116","LRBA","LRBA",0,0.9,0.293,0,0,0,0,0,0.926
"AAEL003609","AAEL014730","7159.Q17F07","7159.Q16FK4","Q17F07","Q16FK4","aag:5565116","aag:5565116","LRBA","LRBA",0,0.9,0.295,0,0,0,0,0,0.926
"AAEL003953","AAEL012723","7159.Q17E44","7159.Q16L96","Q17E44","Q16L96","aag:5579800","aag:5576696","Q17E44","MAP2K1",0,0,0.16,0.626,0,0,0.646,0.127,0.717
"AAEL003979","AAEL006710","7159.Q17E15","7159.Q175B9","Q17E15","Q175B9","aag:5579195","aag:5568274","CELF3","TIAL1",0,0,0.316,0,0,0.099,0,0.206,0.467
"AAEL004457","J9HFE1_AEDAE","7159.Q1HRI9","7159.J9HFE1","Q1HRI9","J9HFE1","aag:5564878","aag:5570735","CYCS","TUFM",0.13,0,0,0,0.055,0.777,0,0.215,0.836
"AAEL004457","AAEL008517","7159.Q1HRI9","7159.Q16YK5","Q1HRI9","Q16YK5","aag:5564878","aag:5570735","CYCS","TUFM",0.13,0,0,0,0.055,0.777,0,0.215,0.836
"AAEL004457","ARK","7159.Q1HRI9","7159.Q17MT6","Q1HRI9","Q17MT6","aag:5564878","aag:5567237","CYCS","ARK",0,0,0,0,0,0.323,0.957,0.517,0.984
"AAEL004457","Q1HR69_AEDAE","7159.Q1HRI9","7159.Q1HR69","Q1HRI9","Q1HR69","aag:5564878","aag:23687769","CYCS","HSPA5",0,0,0,0,0.042,0.05,0,0.56,0.564
"AAEL004463","AAEL004478","7159.Q17CP5","7159.Q17CP4","Q17CP5","Q17CP4","aag:5564889","aag:5564889","Q17CP5","Q17CP4",0,0.87,0,0,0,0,0,0,0.87
"AAEL004464","AAEL014207","7159.Q17CP3","7159.Q16GZ8","Q17CP3","Q16GZ8","aag:5564863","aag:5576056","Q17CP3","Q16GZ8",0,0,0.441,0,0,0,0,0,0.441
"AAEL004464","AAEL012288","7159.Q17CP3","7159.Q16MJ6","Q17CP3","Q16MJ6","aag:5564863","aag:5576056","Q17CP3","Q16MJ6",0,0,0.441,0,0,0,0,0,0.441
"AAEL004525","AAEL015231","7159.Q17CM5","7159.Q16EF2","Q17CM5","Q16EF2","aag:5578805","aag:5578805","nphp-2","nphp-2",0,0.825,0,0,0,0,0,0,0.825
"AAEL004525","AAEL014521","7159.Q17CM5","7159.Q16G51","Q17CM5","Q16G51","aag:5578805","aag:5578805","nphp-2","nphp-2",0,0.777,0,0,0,0,0,0,0.777
"AAEL004549","AAEL013529","7159.Q17CG1","7159.Q16IW8","Q17CG1","Q16IW8","aag:5565053","aag:5565053","SYN3","SYN3",0,0.888,0,0,0,0,0,0,0.888
"AAEL004549","AAEL012541","7159.Q17CG1","7159.Q16LS6","Q17CG1","Q16LS6","aag:5565053","aag:5565053","SYN3","SYN3",0,0.786,0,0,0,0,0,0,0.786
"AAEL004651","AAEL006876","7159.Q17C93","7159.Q174K3","Q17C93","Q174K3","aag:5565160","aag:5568453","Q17C93","IGF2BP3",0,0,0,0,0,0.053,0,0.538,0.543
"AAEL004715","AAEL010555","7159.Q17C29","7159.Q16SL7","Q17C29","Q16SL7","aag:5565301","aag:5573523","BTG1","SREBF2",0,0,0,0,0,0,0,0.441,0.441
"AAEL004715","AAEL010126","7159.Q17C29","7159.Q16TT9","Q17C29","Q16TT9","aag:5565301","aag:5572908","BTG1","Q16TT9",0,0,0,0,0,0,0,0.59,0.59
"AAEL004715","AAEL009400","7159.Q17C29","7159.Q16VZ3","Q17C29","Q16VZ3","aag:5565301","aag:5571904","BTG1","CNOT8",0,0,0,0,0,0.738,0.59,0.263,0.913
"AAEL004717","AAEL005302","7159.Q17C39","7159.Q17AG5","Q17C39","Q17AG5","aag:5565309","aag:5575690","CDK5R1","Q17AG5",0,0,0,0,0,0,0,0.42,0.42
"AAEL005089","AAEL005099","7159.Q17B44","7159.Q17B43","Q17B44","Q17B43","aag:5565987","aag:5565987","Q17B44","Q17B43",0,0.875,0,0,0,0,0,0,0.875
"AAEL005581","AAEL008816","7159.Q179N7","7159.Q16XQ1","Q179N7","Q16XQ1","aag:5566685","aag:5571073","Q179N7","SLC18A1",0,0,0,0,0,0.063,0,0.452,0.464
"AAEL005655","AAEL008622","7159.Q179E9","7159.Q16Y82","Q179E9","Q16Y82","aag:5566808","aag:5570856","SNX2","Q16Y82",0,0,0,0,0,0,0,0.419,0.418
"AAEL005679","AAEL013066","7159.Q179A9","7159.Q16KA6","Q179A9","Q16KA6","aag:23687802","aag:23687802","CHEK1","CHEK1",0,0.846,0.219,0,0,0,0,0,0.874
"AAEL005741","AAEL008371","7159.Q178X8","7159.Q16Z01","Q178X8","Q16Z01","aag:5566982","aag:5570549","FOXL2","NF1",0,0,0,0,0.044,0,0,0.472,0.473
"AAEL005766","AAEL005895","7159.Q178U8","7159.Q0IFC5","Q178U8","Q0IFC5","aag:5567031","aag:5567168","ALDOC","APLP2",0,0,0,0,0,0,0,0.467,0.467
"AAEL005766","AAEL006912","7159.Q178U8","7159.Q174F7","Q178U8","Q174F7","aag:5567031","aag:5568498","ALDOC","ACAT2",0,0,0,0,0,0.089,0,0.405,0.435
"AAEL005766","AAEL010821","7159.Q178U8","7159.Q1HR99","Q178U8","Q1HR99","aag:5567031","aag:5573974","ALDOC","RPLP0",0,0,0,0,0.069,0,0,0.547,0.56
