microRNA	mRNA	energy	targetStart	targetEnd	score
aae-miR-305-5p	AALF006511-RA.1	-16.17	14	37	158.00
aae-miR-305-5p	AALF024828-RA.1	-13.27	1844	1868	153.00
aae-miR-305-5p	AALF013431-RA.1	-12.36	106	126	144.00
aae-miR-305-5p	AALF023779-RA.1	-12.14	93	115	151.00
aae-miR-305-5p	AALF019713-RA.1	-26.86	369	392	142.00
aae-miR-305-5p	AALF011270-RA.1	-10.56	55	78	141.00
aae-miR-305-5p	AALF016288-RA.1	-11.29	50	73	144.00
aae-miR-305-5p	AALF018991-RA.1	-17.22	15	40	142.00
aae-miR-305-5p	AALF008414-RA.1	-17.98	488	516	155.00
aae-miR-305-5p	AALF025788-RA.1	-16.79	396	425	142.00
aae-miR-305-5p	AALF019571-RA.1	-11.03	23	46	146.00
aae-miR-305-5p	AALF004881-RA.1	-22.78	344	368	153.00
aae-miR-305-5p	AALF004881-RA.1	-10.86	520	543	142.00
aae-miR-305-5p	AALF004881-RA.1	-14.70	2226	2252	142.00
aae-miR-305-5p	AALF004881-RA.1	-29.45	1544	1571	141.00
aae-miR-305-5p	AALF008516-RA.1	-19.74	216	243	144.00
aae-miR-305-5p	AALF007520-RA.1	-19.71	4724	4746	148.00
aae-miR-305-5p	AALF007520-RA.1	-13.19	2326	2349	142.00
aae-miR-305-5p	AALF007520-RA.1	-12.93	8562	8585	142.00
aae-miR-305-5p	AALF007520-RA.1	-19.61	16941	16964	141.00
aae-miR-305-5p	AALF004603-RA.1	-15.51	350	374	145.00
aae-miR-305-5p	AALF012061-RA.1	-19.33	264	286	166.00
aae-miR-305-5p	AALF012061-RA.1	-17.86	11	36	147.00
aae-miR-305-5p	AALF027533-RA.1	-22.76	26	49	158.00
aae-miR-305-5p	AALF020086-RA.1	-16.44	244	269	152.00
aae-miR-305-5p	AALF005028-RA.1	-13.72	494	519	141.00
aae-miR-305-5p	AALF017125-RA.1	-16.74	205	231	140.00
aae-miR-305-5p	AALF015971-RA.1	-12.00	143	165	151.00
aae-miR-305-5p	AALF011160-RA.1	-16.59	1387	1408	146.00
aae-miR-305-5p	AALF016231-RA.1	-16.23	897	919	140.00
aae-miR-305-5p	AALF016231-RA.1	-16.23	4169	4191	140.00
aae-miR-305-5p	AALF014644-RA.1	-17.66	47	72	148.00
aae-miR-305-5p	AALF024200-RA.1	-19.44	42	63	143.00
aae-miR-305-5p	AALF005401-RA.1	-13.11	1312	1336	148.00
aae-miR-305-5p	AALF005401-RA.1	-18.82	1340	1368	140.00
aae-miR-305-5p	AALF003867-RA.1	-12.73	515	540	141.00
aae-miR-305-5p	AALF000386-RA.1	-10.70	251	274	150.00
aae-miR-305-5p	AALF028215-RA.1	-17.84	2490	2514	143.00
aae-miR-305-5p	AALF000432-RA.1	-14.64	759	786	144.00
aae-miR-305-5p	AALF012416-RA.1	-13.18	432	455	147.00
aae-miR-305-5p	AALF012416-RA.1	-12.94	146	172	143.00
aae-miR-305-5p	AALF013063-RA.1	-17.23	46	68	165.00
aae-miR-305-5p	AALF020600-RA.1	-22.38	49	75	143.00
aae-miR-305-5p	AALF002233-RA.1	-14.12	7	31	152.00
aae-miR-305-5p	AALF002233-RA.1	-15.73	1297	1321	140.00
aae-miR-305-5p	AALF007410-RA.1	-16.95	196	221	147.00
aae-miR-305-5p	AALF014277-RA.1	-15.28	2377	2400	146.00
aae-miR-305-5p	AALF019454-RA.1	-18.71	1551	1573	163.00
aae-miR-305-5p	AALF009951-RA.1	-15.46	108	131	146.00
aae-miR-305-5p	AALF009951-RA.1	-11.89	2889	2912	140.00
aae-miR-305-5p	AALF017867-RA.1	-21.15	448	471	156.00
aae-miR-305-5p	AALF017867-RA.1	-12.60	691	713	155.00
aae-miR-305-5p	AALF007403-RA.1	-12.28	367	390	144.00
aae-miR-305-5p	AALF013274-RA.1	-15.08	118	141	155.00
aae-miR-305-5p	AALF013274-RA.1	-15.98	29	56	144.00
aae-miR-305-5p	AALF021296-RA.1	-17.25	487	509	141.00
aae-miR-305-5p	AALF027416-RA.1	-23.97	28	54	144.00
aae-miR-305-5p	AALF022348-RA.1	-18.27	1668	1690	146.00
aae-miR-305-5p	AALF022348-RA.1	-17.56	1232	1253	143.00
aae-miR-305-5p	AALF020920-RA.1	-14.35	1074	1097	140.00
aae-miR-305-5p	AALF027634-RA.1	-15.76	2569	2593	145.00
aae-miR-305-5p	AALF007786-RA.1	-24.25	1035	1059	161.00
aae-miR-305-5p	AALF023886-RA.1	-10.78	533	557	144.00
aae-miR-305-5p	AALF028274-RA.1	-17.70	247	272	149.00
aae-miR-305-5p	AALF005400-RA.1	-17.56	1400	1423	157.00
aae-miR-305-5p	AALF005400-RA.1	-23.48	26	49	150.00
aae-miR-305-5p	AALF012475-RA.1	-12.28	130	152	144.00
aae-miR-305-5p	AALF002972-RA.1	-15.24	958	982	153.00
aae-miR-305-5p	AALF004562-RA.1	-14.11	716	738	144.00
aae-miR-305-5p	AALF008303-RA.1	-9.77	113	136	143.00
aae-miR-305-5p	AALF020662-RA.1	-16.95	190	215	147.00
aae-miR-305-5p	AALF026201-RA.1	-17.47	122	145	151.00
aae-miR-305-5p	AALF014213-RA.1	-16.42	165	189	141.00
aae-miR-305-5p	AALF021922-RA.1	-16.76	2891	2916	141.00
aae-miR-305-5p	AALF012626-RA.1	-17.70	854	877	161.00
aae-miR-305-5p	AALF012626-RA.1	-16.59	5318	5339	146.00
aae-miR-305-5p	AALF012626-RA.1	-18.26	4655	4677	143.00
aae-miR-305-5p	AALF012626-RA.1	-15.37	23928	23953	140.00
aae-miR-305-5p	AALF007683-RA.1	-19.86	10269	10296	147.00
aae-miR-305-5p	AALF007683-RA.1	-24.86	14795	14816	147.00
aae-miR-305-5p	AALF007683-RA.1	-15.45	11193	11216	146.00
aae-miR-305-5p	AALF007683-RA.1	-26.82	2331	2353	144.00
aae-miR-305-5p	AALF007683-RA.1	-20.02	9483	9505	144.00
aae-miR-305-5p	AALF007683-RA.1	-17.61	8790	8813	143.00
aae-miR-305-5p	AALF013157-RA.1	-19.98	2305	2331	142.00
aae-miR-305-5p	AALF025039-RA.1	-16.39	344	368	159.00
aae-miR-305-5p	AALF012161-RA.1	-20.48	880	901	143.00
aae-miR-305-5p	AALF017397-RA.1	-17.15	3957	3980	143.00
aae-miR-305-5p	AALF016120-RA.1	-14.71	141	164	142.00
aae-miR-305-5p	AALF015180-RA.1	-20.52	404	427	156.00
aae-miR-305-5p	AALF017499-RA.1	-16.15	10216	10239	141.00
aae-miR-305-5p	AALF017552-RA.1	-12.24	211	234	144.00
aae-miR-305-5p	AALF026052-RA.1	-18.50	488	508	144.00
aae-miR-305-5p	AALF009787-RA.1	-12.17	830	856	144.00
aae-miR-305-5p	AALF018805-RA.1	-14.11	34	58	144.00
aae-miR-305-5p	AALF008622-RA.1	-30.67	892	915	187.00
aae-miR-305-5p	AALF000070-RA.1	-15.44	1209	1235	152.00
aae-miR-305-5p	AALF027523-RA.1	-11.53	978	1001	158.00
aae-miR-305-5p	AALF025936-RA.1	-22.30	71	95	142.00
aae-miR-305-5p	AALF006348-RA.1	-18.15	367	389	140.00
aae-miR-305-5p	AALF008044-RA.1	-15.97	174	195	158.00
aae-miR-305-5p	AALF004187-RA.1	-14.03	622	645	140.00
aae-miR-305-5p	AALF019874-RA.1	-16.83	306	329	155.00
aae-miR-305-5p	AALF028381-RA.1	-20.43	729	754	148.00
aae-miR-305-5p	AALF013476-RA.1	-15.59	180	201	141.00
aae-miR-305-5p	AALF013476-RA.1	-15.59	1268	1289	141.00
aae-miR-305-5p	AALF023930-RA.1	-12.77	1051	1074	142.00
aae-miR-305-5p	AALF007988-RA.1	-15.57	1473	1496	150.00
aae-miR-305-5p	AALF013631-RA.1	-19.92	145	167	151.00
aae-miR-305-5p	AALF014961-RA.1	-16.71	577	601	149.00
aae-miR-305-5p	AALF014961-RA.1	-16.08	6866	6887	141.00
aae-miR-305-5p	AALF006140-RA.1	-15.07	84	106	140.00
aae-miR-305-5p	AALF007245-RA.1	-19.38	568	590	144.00
aae-miR-305-5p	AALF007400-RA.1	-16.17	1	21	150.00
aae-miR-305-5p	AALF000851-RA.1	-24.83	479	501	144.00
aae-miR-305-5p	AALF009997-RA.1	-30.44	543	570	152.00
aae-miR-305-5p	AALF012895-RA.1	-11.79	1	13	145.00
aae-miR-305-5p	AALF027578-RA.1	-12.58	342	365	144.00
aae-miR-305-5p	AALF022338-RA.1	-11.63	119	142	142.00
aae-miR-305-5p	AALF001107-RA.1	-21.50	55	77	145.00
aae-miR-305-5p	AALF001322-RA.1	-14.02	138	161	150.00
aae-miR-305-5p	AALF001378-RA.1	-9.08	115	139	141.00
aae-miR-305-5p	AALF024816-RA.1	-17.11	4330	4352	162.00
aae-miR-305-5p	AALF024816-RA.1	-15.97	1834	1858	161.00
aae-miR-305-5p	AALF024816-RA.1	-10.70	5407	5428	144.00
aae-miR-305-5p	AALF024816-RA.1	-21.27	6221	6244	144.00
aae-miR-305-5p	AALF007885-RA.1	-24.43	25	48	153.00
aae-miR-305-5p	AALF022771-RA.1	-18.34	19629	19652	169.00
aae-miR-305-5p	AALF022771-RA.1	-13.82	21350	21374	151.00
aae-miR-305-5p	AALF022771-RA.1	-18.32	7116	7139	145.00
aae-miR-305-5p	AALF022771-RA.1	-15.09	19567	19587	145.00
aae-miR-305-5p	AALF022771-RA.1	-13.12	2080	2103	140.00
aae-miR-305-5p	AALF011997-RA.1	-13.56	4732	4756	148.00
aae-miR-305-5p	AALF011997-RA.1	-10.95	2190	2213	140.00
aae-miR-305-5p	AALF016385-RA.1	-27.05	118	140	172.00
aae-miR-305-5p	AALF013415-RA.1	-12.61	3798	3819	147.00
aae-miR-305-5p	AALF020388-RA.1	-16.16	176	197	143.00
aae-miR-305-5p	AALF014735-RA.1	-28.45	73	97	172.00
aae-miR-305-5p	AALF004443-RA.1	-16.20	349	372	145.00
aae-miR-305-5p	AALF009514-RA.1	-10.80	1033	1056	141.00
aae-miR-305-5p	AALF008785-RA.1	-13.27	10754	10778	153.00
aae-miR-305-5p	AALF008785-RA.1	-13.27	11100	11124	153.00
aae-miR-305-5p	AALF008785-RA.1	-24.43	4766	4788	152.00
aae-miR-305-5p	AALF008785-RA.1	-14.58	9416	9440	149.00
aae-miR-305-5p	AALF008785-RA.1	-15.36	11707	11729	142.00
aae-miR-305-5p	AALF008785-RA.1	-17.21	13887	13909	142.00
aae-miR-305-5p	AALF008785-RA.1	-18.88	4245	4269	141.00
aae-miR-305-5p	AALF008785-RA.1	-20.37	24722	24744	141.00
aae-miR-305-5p	AALF012894-RA.1	-15.87	391	414	150.00
aae-miR-305-5p	AALF004192-RA.1	-11.41	395	418	141.00
aae-miR-305-5p	AALF012725-RA.1	-11.23	77	100	148.00
aae-miR-305-5p	AALF023664-RA.1	-15.28	887	911	147.00
aae-miR-305-5p	AALF023664-RA.1	-14.00	793	817	145.00
aae-miR-305-5p	AALF013590-RA.1	-19.60	730	753	142.00
aae-miR-305-5p	AALF005399-RA.1	-17.41	1554	1578	161.00
aae-miR-305-5p	AALF005399-RA.1	-11.59	1831	1855	143.00
aae-miR-305-5p	AALF005399-RA.1	-18.78	17	39	140.00
aae-miR-305-5p	AALF012038-RA.1	-12.85	637	660	145.00
aae-miR-305-5p	AALF012147-RA.1	-17.94	224	249	140.00
aae-miR-305-5p	AALF006603-RA.1	-17.82	248	270	144.00
aae-miR-305-5p	AALF020387-RA.1	-18.54	667	689	160.00
aae-miR-305-5p	AALF020387-RA.1	-16.21	1086	1111	160.00
aae-miR-305-5p	AALF007708-RA.1	-17.36	38	65	160.00
aae-miR-305-5p	AALF009404-RA.1	-13.88	2316	2340	150.00
aae-miR-305-5p	AALF026098-RA.1	-19.84	140	164	147.00
aae-miR-305-5p	AALF014163-RA.1	-15.55	708	734	151.00
aae-miR-305-5p	AALF026718-RA.1	-16.17	1	21	150.00
aae-miR-305-5p	AALF018013-RA.1	-11.79	346	368	148.00
aae-miR-305-5p	AALF013840-RA.1	-15.57	875	899	143.00
aae-miR-305-5p	AALF009833-RA.1	-13.67	43	65	156.00
aae-miR-305-5p	AALF018904-RA.1	-13.33	3630	3653	141.00
aae-miR-305-5p	AALF018904-RA.1	-25.78	1063	1086	140.00
aae-miR-305-5p	AALF010352-RA.1	-12.00	1590	1613	145.00
aae-miR-305-5p	AALF004871-RA.1	-16.64	1	22	155.00
aae-miR-305-5p	AALF019551-RA.1	-13.71	248	270	140.00
aae-miR-305-5p	AALF013836-RA.1	-13.98	1321	1344	155.00
aae-miR-305-5p	AALF013836-RA.1	-16.21	21045	21069	153.00
aae-miR-305-5p	AALF013836-RA.1	-15.70	1501	1525	151.00
aae-miR-305-5p	AALF013836-RA.1	-13.76	9950	9972	148.00
aae-miR-305-5p	AALF013836-RA.1	-16.17	13309	13334	145.00
aae-miR-305-5p	AALF013836-RA.1	-13.50	794	818	144.00
aae-miR-305-5p	AALF013836-RA.1	-16.18	5120	5145	141.00
aae-miR-305-5p	AALF013047-RA.1	-12.55	1168	1193	143.00
aae-miR-305-5p	AALF008823-RA.1	-18.87	41	64	142.00
aae-miR-305-5p	AALF006556-RA.1	-15.18	501	522	140.00
aae-miR-305-5p	AALF016957-RA.1	-15.06	237	259	148.00
aae-miR-305-5p	AALF006880-RA.1	-23.59	8692	8715	146.00
aae-miR-305-5p	AALF025348-RA.1	-19.44	150	175	152.00
aae-miR-305-5p	AALF006549-RA.1	-15.99	140	165	147.00
aae-miR-305-5p	AALF027262-RA.1	-15.09	764	787	144.00
aae-miR-305-5p	AALF009621-RA.1	-15.98	477	499	144.00
aae-miR-305-5p	AALF028582-RA.1	-24.60	67	90	160.00
aae-miR-305-5p	AALF028469-RA.1	-15.42	4068	4090	144.00
aae-miR-305-5p	AALF020428-RA.1	-16.34	7692	7715	143.00
aae-miR-305-5p	AALF020428-RA.1	-19.82	1661	1683	141.00
aae-miR-305-5p	AALF009994-RA.1	-16.17	1	21	150.00
aae-miR-305-5p	AALF004754-RA.1	-15.57	2770	2795	153.00
aae-miR-305-5p	AALF004754-RA.1	-14.22	2664	2688	141.00
aae-miR-305-5p	AALF016798-RA.1	-17.95	61	84	163.00
aae-miR-305-5p	AALF004859-RA.1	-15.87	128	149	143.00
aae-miR-305-5p	AALF025354-RA.1	-19.31	1	22	147.00
aae-miR-305-5p	AALF000101-RA.1	-16.07	339	363	141.00
aae-miR-305-5p	AALF011885-RA.1	-17.06	547	572	149.00
aae-miR-305-5p	AALF027050-RA.1	-15.95	9	32	148.00
aae-miR-305-5p	AALF028155-RA.1	-18.15	72	95	150.00
aae-miR-305-5p	AALF001315-RA.1	-14.95	534	557	158.00
aae-miR-305-5p	AALF002860-RA.1	-17.72	1644	1667	145.00
aae-miR-305-5p	AALF019859-RA.1	-11.53	884	907	146.00
aae-miR-305-5p	AALF019859-RA.1	-11.53	939	962	146.00
aae-miR-305-5p	AALF021754-RA.1	-14.13	175	200	140.00
aae-miR-305-5p	AALF007128-RA.1	-16.43	165	184	140.00
aae-miR-305-5p	AALF024555-RA.1	-20.54	44	67	140.00
aae-miR-305-5p	AALF018285-RA.1	-15.44	567	590	142.00
aae-miR-305-5p	AALF011564-RA.1	-19.78	35	57	144.00
aae-miR-305-5p	AALF021007-RA.1	-21.87	200	225	158.00
aae-miR-305-5p	AALF028052-RA.1	-16.93	2028	2051	145.00
aae-miR-305-5p	AALF028052-RA.1	-18.47	323	345	140.00
aae-miR-305-5p	AALF001159-RA.1	-20.86	695	718	165.00
aae-miR-305-5p	AALF001159-RA.1	-14.83	196	219	164.00
aae-miR-305-5p	AALF007772-RA.1	-17.28	309	331	145.00
aae-miR-305-5p	AALF021116-RA.1	-17.41	371	394	150.00
aae-miR-305-5p	AALF002317-RA.1	-11.89	2203	2226	140.00
aae-miR-305-5p	AALF017106-RA.1	-19.46	1168	1192	143.00
aae-miR-305-5p	AALF011606-RA.1	-14.58	990	1012	146.00
aae-miR-305-5p	AALF023812-RA.1	-10.70	1	17	140.00
aae-miR-305-5p	AALF002743-RA.1	-21.61	490	515	146.00
aae-miR-305-5p	AALF021651-RA.1	-13.53	35	59	153.00
aae-miR-305-5p	AALF021651-RA.1	-18.23	3791	3814	145.00
aae-miR-305-5p	AALF021651-RA.1	-27.99	1893	1920	143.00
aae-miR-305-5p	AALF008919-RA.1	-18.11	1054	1078	145.00
aae-miR-305-5p	AALF002063-RA.1	-14.84	1639	1662	143.00
aae-miR-305-5p	AALF007240-RA.1	-20.98	158	181	150.00
aae-miR-305-5p	AALF024561-RA.1	-19.54	326	347	149.00
aae-miR-305-5p	AALF024561-RA.1	-12.26	423	446	145.00
aae-miR-305-5p	AALF004326-RA.1	-14.70	216	241	147.00
aae-miR-305-5p	AALF014727-RA.1	-14.86	1186	1210	153.00
aae-miR-305-5p	AALF014727-RA.1	-16.82	10226	10249	147.00
aae-miR-305-5p	AALF014727-RA.1	-17.15	4228	4251	143.00
aae-miR-305-5p	AALF014727-RA.1	-17.83	1302	1329	141.00
aae-miR-305-5p	AALF014727-RA.1	-17.07	6941	6965	141.00
aae-miR-305-5p	AALF014727-RA.1	-11.30	11799	11822	141.00
aae-miR-305-5p	AALF014727-RA.1	-18.78	13594	13617	140.00
aae-miR-305-5p	AALF022185-RA.1	-15.36	2073	2096	141.00
aae-miR-305-5p	AALF016307-RA.1	-18.55	1690	1713	152.00
aae-miR-305-5p	AALF019389-RA.1	-14.13	275	298	142.00
aae-miR-305-5p	AALF014149-RA.1	-18.67	1	23	162.00
aae-miR-305-5p	AALF004072-RA.1	-10.78	227	250	140.00
aae-miR-305-5p	AALF000617-RA.1	-12.52	654	679	147.00
aae-miR-305-5p	AALF000617-RA.1	-22.78	884	905	146.00
aae-miR-305-5p	AALF019544-RA.1	-11.01	570	592	149.00
aae-miR-305-5p	AALF028051-RA.1	-11.79	42	65	145.00
aae-miR-305-5p	AALF025134-RA.1	-14.58	1	22	170.00
aae-miR-305-5p	AALF024811-RA.1	-12.96	183	206	146.00
aae-miR-305-5p	AALF022326-RA.1	-10.14	270	294	144.00
aae-miR-305-5p	AALF018432-RA.1	-14.47	66	88	151.00
aae-miR-305-5p	AALF018597-RA.1	-13.61	237	260	144.00
aae-miR-305-5p	AALF027668-RA.1	-11.53	685	708	152.00
aae-miR-305-5p	AALF023649-RA.1	-15.02	8379	8403	145.00
aae-miR-305-5p	AALF023811-RA.1	-13.24	354	377	145.00
aae-miR-305-5p	AALF008242-RA.1	-12.07	487	512	149.00
aae-miR-305-5p	AALF021541-RA.1	-21.02	521	547	169.00
aae-miR-305-5p	AALF027037-RA.1	-16.00	34	56	149.00
aae-miR-305-5p	AALF008344-RA.1	-20.52	45	67	142.00
aae-miR-305-5p	AALF010813-RA.1	-16.17	14	37	158.00
aae-miR-305-5p	AALF025658-RA.1	-20.39	456	480	155.00
aae-miR-305-5p	AALF025658-RA.1	-17.22	1640	1663	143.00
aae-miR-305-5p	AALF010242-RA.1	-12.42	1927	1950	141.00
aae-miR-305-5p	AALF010242-RA.1	-16.74	8638	8662	141.00
aae-miR-305-5p	AALF012611-RA.1	-15.72	46	68	140.00
aae-miR-305-5p	AALF004751-RA.1	-11.94	294	315	150.00
aae-miR-305-5p	AALF004751-RA.1	-15.49	259	281	148.00
aae-miR-305-5p	AALF017164-RA.1	-12.07	1243	1270	142.00
aae-miR-305-5p	AALF006119-RA.1	-13.94	210	233	142.00
aae-miR-305-5p	AALF028050-RA.1	-11.24	4644	4666	152.00
aae-miR-305-5p	AALF028050-RA.1	-19.86	9374	9397	147.00
aae-miR-305-5p	AALF028050-RA.1	-24.16	7207	7234	143.00
aae-miR-305-5p	AALF003698-RA.1	-18.78	9	34	142.00
aae-miR-305-5p	AALF028043-RA.1	-17.16	804	827	157.00
aae-miR-305-5p	AALF008706-RA.1	-16.48	404	427	142.00
aae-miR-305-5p	AALF010555-RA.1	-15.33	235	259	157.00
aae-miR-305-5p	AALF016837-RA.1	-18.19	313	336	158.00
aae-miR-305-5p	AALF011241-RA.1	-13.11	842	866	147.00
aae-miR-305-5p	AALF023968-RA.1	-17.58	541	563	142.00
aae-miR-305-5p	AALF023968-RA.1	-17.95	708	733	140.00
aae-miR-305-5p	AALF003159-RA.1	-12.23	3316	3337	146.00
