Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,Dataset
0.01666517,7,679,4.20402781,GO:0006793 phosphorus metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006793,RP20_CCG003693 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334,GO Biological Process
0.01030598,13,1909,2.7769927,GO:0019538 protein metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0019538,RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 RP20_CCG014760 RP20_CCG020334 RP20_CCG021651 RP20_CCG026317,GO Biological Process
0.00591737,15,2264,2.70179349,GO:1901564 organonitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:1901564,CCG001475.1 RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 CCG012626.1 RP20_CCG014760 RP20_CCG020334 RP20_CCG021651 RP20_CCG026317,GO Biological Process
0.01627878,13,2068,2.56348117,GO:0044260 cellular macromolecule metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044260,RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 RP20_CCG014760 RP20_CCG020334 RP20_CCG021651 RP20_CCG026317,GO Biological Process
0.00241364,21,3743,2.28789865,GO:0044237 cellular metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044237,RP20_CCG001034 CCG001475.1 RP20_CCG002219 RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 CCG012626.1 RP20_CCG013836.3 RP20_CCG014760 CCG017793.1 RP20_CCG020334 RP20_CCG021651 RP20_CCG021891 RP20_CCG026317 CCG027115.1,GO Biological Process
0.00514198,22,4298,2.08734187,GO:0044238 primary metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0044238,RP20_CCG001034 CCG001475.1 RP20_CCG002219 RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 CCG012626.1 RP20_CCG013836.3 RP20_CCG014760 CCG017793.1 RP20_CCG020334 RP20_CCG021651 RP20_CCG021891 CCG025948.4 RP20_CCG026317 CCG027115.1,GO Biological Process
0.01030598,20,3945,2.06737996,GO:0006807 nitrogen compound metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0006807,RP20_CCG001034 CCG001475.1 RP20_CCG002219 RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 CCG012626.1 RP20_CCG014760 CCG017793.1 RP20_CCG020334 RP20_CCG021651 RP20_CCG021891 RP20_CCG026317 CCG027115.1,GO Biological Process
0.01715787,18,3628,2.02321735,GO:0043170 macromolecule metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0043170,RP20_CCG001034 RP20_CCG002219 RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 RP20_CCG014760 CCG017793.1 RP20_CCG020334 RP20_CCG021651 RP20_CCG021891 RP20_CCG026317 CCG027115.1,GO Biological Process
0.00850948,22,4512,1.98834117,GO:0071704 organic substance metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0071704,RP20_CCG001034 CCG001475.1 RP20_CCG002219 RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 CCG012626.1 RP20_CCG013836.3 RP20_CCG014760 CCG017793.1 RP20_CCG020334 RP20_CCG021651 RP20_CCG021891 CCG025948.4 RP20_CCG026317 CCG027115.1,GO Biological Process
0.01358774,22,4769,1.88119005,GO:0008152 metabolic proc.,http://amigo.geneontology.org/amigo/term/GO:0008152,RP20_CCG001034 CCG001475.1 RP20_CCG002219 RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 CCG012626.1 RP20_CCG013836.3 RP20_CCG014760 CCG017793.1 RP20_CCG020334 RP20_CCG021651 RP20_CCG021891 CCG025948.4 RP20_CCG026317 CCG027115.1,GO Biological Process
0.00231373,2,4,203.895349,GO:0061617 MICOS complex,http://amigo.geneontology.org/amigo/term/GO:0061617,RP20_CCG013111 CCG013807.1,GO Cellular Component
0.03440435,1,3,135.930233,GO:0044322 endoplasmic reticulum quality control compartment,http://amigo.geneontology.org/amigo/term/GO:0044322,RP20_CCG014760,GO Cellular Component
0.00231373,2,7,116.511628,GO:0031304 intrinsic component of mitochondrial inner membrane,http://amigo.geneontology.org/amigo/term/GO:0031304,RP20_CCG013111 CCG013807.1,GO Cellular Component
0.00231373,2,8,101.947674,GO:0032592 integral component of mitochondrial membrane,http://amigo.geneontology.org/amigo/term/GO:0032592,RP20_CCG013111 CCG013807.1,GO Cellular Component
0.02671697,2,38,21.4626683,GO:0031300 intrinsic component of organelle membrane,http://amigo.geneontology.org/amigo/term/GO:0031300,RP20_CCG013111 CCG013807.1,GO Cellular Component
0.02671697,2,38,21.4626683,GO:0031301 integral component of organelle membrane,http://amigo.geneontology.org/amigo/term/GO:0031301,RP20_CCG013111 CCG013807.1,GO Cellular Component
0.02671697,2,40,20.3895349,GO:0098800 inner mitochondrial membrane protein complex,http://amigo.geneontology.org/amigo/term/GO:0098800,RP20_CCG013111 CCG013807.1,GO Cellular Component
0.03440435,2,54,15.1033592,GO:0098798 mitochondrial protein-containing complex,http://amigo.geneontology.org/amigo/term/GO:0098798,RP20_CCG013111 CCG013807.1,GO Cellular Component
0.02671697,10,1599,2.55028579,GO:0005737 cytoplasm,http://amigo.geneontology.org/amigo/term/GO:0005737,CCG004132.1 RP20_CCG004459.2 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 CCG022521.1 CCG025948.4,GO Cellular Component
0.02671697,14,2632,2.16909946,GO:0043231 intracellular membrane-bounded organelle,http://amigo.geneontology.org/amigo/term/GO:0043231,RP20_CCG001034 RP20_CCG002219 CCG005153.1 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 CCG020733.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 CCG027115.1,GO Cellular Component
0.02671697,14,2707,2.1090025,GO:0043227 membrane-bounded organelle,http://amigo.geneontology.org/amigo/term/GO:0043227,RP20_CCG001034 RP20_CCG002219 CCG005153.1 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 CCG020733.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 CCG027115.1,GO Cellular Component
0.03440435,15,3176,1.92596362,GO:0043229 intracellular organelle,http://amigo.geneontology.org/amigo/term/GO:0043229,RP20_CCG001034 RP20_CCG002219 RP20_CCG004459.2 CCG005153.1 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 CCG020733.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 CCG027115.1,GO Cellular Component
0.02671697,17,3623,1.91345345,GO:0005622 intracellular anatomical structure,http://amigo.geneontology.org/amigo/term/GO:0005622,RP20_CCG001034 RP20_CCG002219 CCG004132.1 RP20_CCG004459.2 CCG005153.1 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 CCG020733.1 RP20_CCG021891 CCG022521.1 CCG025948.4 RP20_CCG026317 CCG027115.1,GO Cellular Component
0.03440435,15,3209,1.90615783,GO:0043226 organelle,http://amigo.geneontology.org/amigo/term/GO:0043226,RP20_CCG001034 RP20_CCG002219 RP20_CCG004459.2 CCG005153.1 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 CCG020733.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 CCG027115.1,GO Cellular Component
0.00069829,6,256,9.55759448,GO:0004672 protein kinase activity,http://amigo.geneontology.org/amigo/term/GO:0004672,CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334,GO Molecular Function
0.00114792,6,315,7.76744186,GO:0016773 phosphotransferase activity alcohol group as acceptor,http://amigo.geneontology.org/amigo/term/GO:0016773,CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334,GO Molecular Function
0.00406511,6,413,5.92432006,GO:0016301 kinase activity,http://amigo.geneontology.org/amigo/term/GO:0016301,CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334,GO Molecular Function
0.00069829,10,887,4.59741486,GO:0005524 ATP binding,http://amigo.geneontology.org/amigo/term/GO:0005524,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG016202 RP20_CCG020334 CCG027115.1,GO Molecular Function
0.00069829,10,895,4.55632064,GO:0032559 adenyl ribonucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0032559,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG016202 RP20_CCG020334 CCG027115.1,GO Molecular Function
0.00069829,10,898,4.54109908,GO:0030554 adenyl nucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0030554,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG016202 RP20_CCG020334 CCG027115.1,GO Molecular Function
0.00630576,7,631,4.52382707,GO:0016772 transferase activity transferring phosphorus-containing groups,http://amigo.geneontology.org/amigo/term/GO:0016772,CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334 CCG027115.1,GO Molecular Function
0.00069829,13,1281,4.13839116,GO:0043168 anion binding,http://amigo.geneontology.org/amigo/term/GO:0043168,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG013836.3 CCG015582.1 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00069829,11,1087,4.12667679,GO:0035639 purine ribonucleoside triphosphate binding,http://amigo.geneontology.org/amigo/term/GO:0035639,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00069829,11,1095,4.09652756,GO:0032555 purine ribonucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0032555,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00069829,11,1098,4.08533486,GO:0017076 purine nucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0017076,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00069829,11,1107,4.05212075,GO:0032553 ribonucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0032553,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00069829,12,1290,3.79340184,GO:0000166 nucleotide binding,http://amigo.geneontology.org/amigo/term/GO:0000166,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG013836.3 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00069829,12,1290,3.79340184,GO:1901265 nucleoside phosphate binding,http://amigo.geneontology.org/amigo/term/GO:1901265,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG013836.3 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00135075,11,1242,3.61167285,GO:0097367 carbohydrate derivative binding,http://amigo.geneontology.org/amigo/term/GO:0097367,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00089906,12,1377,3.55373157,GO:0036094 small molecule binding,http://amigo.geneontology.org/amigo/term/GO:0036094,RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG013836.3 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG027115.1,GO Molecular Function
0.00905856,10,1349,3.02291103,GO:0140096 catalytic activity acting on a protein,http://amigo.geneontology.org/amigo/term/GO:0140096,RP20_CCG003693 CCG004698.1 CCG005153.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 CCG007937.2 RP20_CCG008414 RP20_CCG008785 RP20_CCG020334,GO Molecular Function
0.00087846,15,2082,2.93797333,GO:0005515 protein binding,http://amigo.geneontology.org/amigo/term/GO:0005515,RP20_CCG001034 CCG001505.1 RP20_CCG003693 CCG004132.1 RP20_CCG004459.2 CCG005153.1 CCG006898.1 CCG017397.1 CCG017793.1 RP20_CCG021374 CCG021458.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 RP20_CCG028366,GO Molecular Function
0.00135075,19,3353,2.31077341,GO:0043167 ion binding,http://amigo.geneontology.org/amigo/term/GO:0043167,CCG004132.1 RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 CCG007750.2 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 RP20_CCG016202 RP20_CCG020334 RP20_CCG021374 CCG021458.1 RP20_CCG026317 CCG027115.1 RP20_CCG028366,GO Molecular Function
0.00905856,19,3954,1.95954053,GO:0097159 organic cyclic compound binding,http://amigo.geneontology.org/amigo/term/GO:0097159,RP20_CCG002219 RP20_CCG004459.2 CCG004698.1 RP20_CCG005310.2 CCG007520.1 RP20_CCG008334 RP20_CCG008414 RP20_CCG008785 RP20_CCG008947 RP20_CCG013836.3 RP20_CCG014149 RP20_CCG016202 CCG017793.1 RP20_CCG020334 CCG020733.1 RP20_CCG021374 RP20_CCG021758 RP20_CCG021891 CCG027115.1,GO Molecular Function
