"species","enrichment_fdr","n_genes","pathway_genes","fold_enrichment","pathway","url","genes","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","ensembl_id"
"Aedes albopictus",0.00103183,2,7,156.5625,"GO:0031304 intrinsic component of mitochondrial inner membrane","http://amigo.geneontology.org/amigo/term/GO:0031304","RP20_CCG013111 CCG013807.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.00103183,2,8,136.992188,"GO:0032592 integral component of mitochondrial membrane","http://amigo.geneontology.org/amigo/term/GO:0032592","RP20_CCG013111 CCG013807.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.0107,2,38,28.8404605,"GO:0031300 intrinsic component of organelle membrane","http://amigo.geneontology.org/amigo/term/GO:0031300","RP20_CCG013111 CCG013807.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.0107,2,38,28.8404605,"GO:0031301 integral component of organelle membrane","http://amigo.geneontology.org/amigo/term/GO:0031301","RP20_CCG013111 CCG013807.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.01094165,2,40,27.3984375,"GO:0098800 inner mitochondrial membrane protein complex","http://amigo.geneontology.org/amigo/term/GO:0098800","RP20_CCG013111 CCG013807.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.0167,2,54,20.2951389,"GO:0098798 mitochondrial protein-containing complex","http://amigo.geneontology.org/amigo/term/GO:0098798","RP20_CCG013111 CCG013807.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.01094165,3,150,10.959375,"GO:0031966 mitochondrial membrane","http://amigo.geneontology.org/amigo/term/GO:0031966","RP20_CCG013111 CCG013807.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.01280106,3,162,10.1475694,"GO:0005740 mitochondrial envelope","http://amigo.geneontology.org/amigo/term/GO:0005740","RP20_CCG013111 CCG013807.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.02053641,3,206,7.98012743,"GO:0031967 organelle envelope","http://amigo.geneontology.org/amigo/term/GO:0031967","RP20_CCG013111 CCG013807.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.01072971,5,503,5.44700547,"GO:0031090 organelle membrane","http://amigo.geneontology.org/amigo/term/GO:0031090","RP20_CCG013111 CCG013807.1 CCG015582.1 CCG022521.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.00103183,11,1599,3.76964118,"GO:0005737 cytoplasm","http://amigo.geneontology.org/amigo/term/GO:0005737","CCG004132.1 RP20_CCG004459.2 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 CCG022521.1 CCG025948.4 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.00343546,13,2632,2.70653258,"GO:0043231 intracellular membrane-bounded organelle","http://amigo.geneontology.org/amigo/term/GO:0043231","RP20_CCG001034 RP20_CCG002219 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 CCG027115.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.00404038,13,2707,2.63154553,"GO:0043227 membrane-bounded organelle","http://amigo.geneontology.org/amigo/term/GO:0043227","RP20_CCG001034 RP20_CCG002219 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 CCG027115.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.0020805,16,3623,2.41995584,"GO:0005622 intracellular anatomical structure","http://amigo.geneontology.org/amigo/term/GO:0005622","RP20_CCG001034 RP20_CCG002219 CCG004132.1 RP20_CCG004459.2 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 RP20_CCG021891 CCG022521.1 CCG025948.4 RP20_CCG026317 CCG027115.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.00484012,14,3176,2.41547938,"GO:0043229 intracellular organelle","http://amigo.geneontology.org/amigo/term/GO:0043229","RP20_CCG001034 RP20_CCG002219 RP20_CCG004459.2 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 CCG027115.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.0049007,14,3209,2.39063961,"GO:0043226 organelle","http://amigo.geneontology.org/amigo/term/GO:0043226","RP20_CCG001034 RP20_CCG002219 RP20_CCG004459.2 RP20_CCG013111 CCG013807.1 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 CCG017793.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 CCG027115.1 CCG027460.1","GO Cellular Component",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.02323454,9,1281,3.84989754,"GO:0043168 anion binding","http://amigo.geneontology.org/amigo/term/GO:0043168","RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG013836.3 CCG015582.1 RP20_CCG016202 RP20_CCG021374 CCG027115.1","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.04386671,7,1087,3.5287776,"GO:0035639 purine ribonucleoside triphosphate binding","http://amigo.geneontology.org/amigo/term/GO:0035639","RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG016202 RP20_CCG021374 CCG027115.1","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.04386671,7,1095,3.50299658,"GO:0032555 purine ribonucleotide binding","http://amigo.geneontology.org/amigo/term/GO:0032555","RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG016202 RP20_CCG021374 CCG027115.1","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.04386671,7,1098,3.49342555,"GO:0017076 purine nucleotide binding","http://amigo.geneontology.org/amigo/term/GO:0017076","RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG016202 RP20_CCG021374 CCG027115.1","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.04386671,7,1107,3.46502371,"GO:0032553 ribonucleotide binding","http://amigo.geneontology.org/amigo/term/GO:0032553","RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG016202 RP20_CCG021374 CCG027115.1","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.00468268,13,2082,3.42151477,"GO:0005515 protein binding","http://amigo.geneontology.org/amigo/term/GO:0005515","RP20_CCG001034 CCG001505.1 RP20_CCG003693 CCG004132.1 RP20_CCG004459.2 CCG017397.1 CCG017793.1 RP20_CCG021374 CCG021458.1 RP20_CCG021891 CCG022521.1 RP20_CCG026317 RP20_CCG028366","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.04386671,8,1290,3.39825581,"GO:0000166 nucleotide binding","http://amigo.geneontology.org/amigo/term/GO:0000166","RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG013836.3 RP20_CCG016202 RP20_CCG021374 CCG027115.1","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.04386671,8,1290,3.39825581,"GO:1901265 nucleoside phosphate binding","http://amigo.geneontology.org/amigo/term/GO:1901265","RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG013836.3 RP20_CCG016202 RP20_CCG021374 CCG027115.1","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.04386671,8,1377,3.1835512,"GO:0036094 small molecule binding","http://amigo.geneontology.org/amigo/term/GO:0036094","RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG013836.3 RP20_CCG016202 RP20_CCG021374 CCG027115.1","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
"Aedes albopictus",0.04386671,14,3353,2.28796973,"GO:0043167 ion binding","http://amigo.geneontology.org/amigo/term/GO:0043167","CCG004132.1 RP20_CCG004459.2 CCG007520.1 RP20_CCG008334 RP20_CCG008785 RP20_CCG013836.3 RP20_CCG014760 CCG015582.1 RP20_CCG016202 RP20_CCG021374 CCG021458.1 RP20_CCG026317 CCG027115.1 RP20_CCG028366","GO Molecular Function",NA,"shinygo","ensembl_metazoa",7160,"Aedes albopictus genes AaloF1","aalbopictus_eg_gene"
