"","gene_name","microRNA","energy"
"221348","PTEN","hsa-let-7b-5p",-11.5
"221989","LIFR","hsa-miR-548ba",-11.5
"233441","PTEN","hsa-let-7b-3p",-11.2
"236697","LIFR","hsa-miR-548ba",-11.1
"237989","LIFR","hsa-miR-548ba",-11.1
"240677","NEO1","hsa-miR-548ba",-11
"241088","NEO1","hsa-miR-548ba",-11
"242537","NEO1","hsa-miR-548ba",-11
"243914","SP110","hsa-let-7b-3p",-10.95
"243971","SP110","hsa-let-7b-3p",-10.95
"245040","LIFR","hsa-let-7b-5p",-10.9
"246328","LIFR","hsa-let-7b-5p",-10.9
"249084","LIFR","hsa-miR-548ba",-10.8
"250421","LIFR","hsa-miR-548ba",-10.8
"252031","SP110","hsa-let-7b-5p",-10.77
"252048","SP110","hsa-let-7b-5p",-10.77
"257394","LIFR","hsa-miR-548ba",-10.6
"257395","LIFR","hsa-miR-548ba",-10.6
"258019","PTEN","hsa-let-7b-5p",-10.6
"258563","LIFR","hsa-miR-548ba",-10.6
"258564","LIFR","hsa-miR-548ba",-10.6
"261924","PTEN","hsa-let-7b-3p",-10.5
"261925","PTEN","hsa-let-7b-5p",-10.5
"265081","LIFR","hsa-miR-548ba",-10.41
"265218","LIFR","hsa-miR-548ba",-10.41
"273913","SP110","hsa-miR-548ba",-10.2
"273944","NEO1","hsa-let-7b-5p",-10.2
"274370","NEO1","hsa-let-7b-5p",-10.2
"274514","SP110","hsa-miR-548ba",-10.2
"274707","PTEN","hsa-let-7b-3p",-10.2
"275809","NEO1","hsa-let-7b-5p",-10.2
"276807","PTEN","hsa-let-7b-3p",-10.19
"278823","PTEN","hsa-miR-548ba",-10.1
"282432","LIFR","hsa-let-7b-5p",-10
"283771","LIFR","hsa-let-7b-5p",-10
"290940","NEO1","hsa-miR-548ba",-9.8
"290954","LIFR","hsa-miR-548ba",-9.8
"291379","NEO1","hsa-miR-548ba",-9.8
"292304","LIFR","hsa-miR-548ba",-9.8
"292753","NEO1","hsa-miR-548ba",-9.8
"295136","NEO1","hsa-let-7b-5p",-9.7
"295159","LIFR","hsa-let-7b-3p",-9.7
"295568","NEO1","hsa-let-7b-5p",-9.7
"296514","LIFR","hsa-let-7b-3p",-9.7
"296994","NEO1","hsa-let-7b-5p",-9.7
"298403","SP110","hsa-miR-548ba",-9.65
"298448","SP110","hsa-miR-548ba",-9.65
"299387","NEO1","hsa-let-7b-3p",-9.6
"299843","NEO1","hsa-let-7b-3p",-9.6
"300186","PTEN","hsa-miR-548ba",-9.6
"301379","NEO1","hsa-let-7b-3p",-9.6
"312223","SP110","hsa-miR-548ba",-9.31
"312336","SP110","hsa-miR-548ba",-9.31
"313356","PTEN","hsa-miR-548ba",-9.3
"316918","SP110","hsa-miR-548ba",-9.2
"317494","SP110","hsa-miR-548ba",-9.2
"319914","LIFR","hsa-let-7b-3p",-9.16
"320005","LIFR","hsa-let-7b-3p",-9.16
"321842","PTEN","hsa-miR-548ba",-9.1
"324516","NEO1","hsa-let-7b-5p",-9.03
"324533","NEO1","hsa-let-7b-5p",-9.03
"324597","NEO1","hsa-let-7b-5p",-9.03
"325945","PTEN","hsa-miR-548ba",-9
"337533","NEO1","hsa-miR-548ba",-8.7
"337534","NEO1","hsa-miR-548ba",-8.7
"337884","NEO1","hsa-miR-548ba",-8.7
"337885","NEO1","hsa-miR-548ba",-8.7
"339125","NEO1","hsa-miR-548ba",-8.7
"339126","NEO1","hsa-miR-548ba",-8.7
"340876","LIFR","hsa-let-7b-3p",-8.63
"340927","LIFR","hsa-let-7b-3p",-8.63
"341537","LIFR","hsa-miR-548ba",-8.6
"342249","PTEN","hsa-let-7b-3p",-8.6
"342874","LIFR","hsa-miR-548ba",-8.6
"345257","NEO1","hsa-miR-548ba",-8.51
"345299","NEO1","hsa-miR-548ba",-8.51
"345414","NEO1","hsa-miR-548ba",-8.51
"345678","LIFR","hsa-miR-548ba",-8.5
"346997","LIFR","hsa-miR-548ba",-8.5
"349675","SP110","hsa-miR-548ba",-8.4
"350317","SP110","hsa-miR-548ba",-8.4
"350496","PTEN","hsa-let-7b-5p",-8.4
"353165","LIFR","hsa-let-7b-3p",-8.35
"353266","LIFR","hsa-let-7b-3p",-8.35
"358237","LIFR","hsa-let-7b-3p",-8.2
"359667","LIFR","hsa-let-7b-3p",-8.2
"361210","LIFR","hsa-miR-548ba",-8.17
"361248","LIFR","hsa-miR-548ba",-8.17
"362412","SP110","hsa-let-7b-5p",-8.1
"362952","SP110","hsa-let-7b-5p",-8.1
"363101","PTEN","hsa-let-7b-3p",-8.1
"363102","PTEN","hsa-miR-548ba",-8.1
"366209","LIFR","hsa-miR-548ba",-8
"367512","LIFR","hsa-miR-548ba",-8
"367584","PTEN","hsa-miR-548ba",-8
"370825","PTEN","hsa-miR-548ba",-7.9
"374616","PTEN","hsa-miR-548ba",-7.8
"377264","PTEN","hsa-miR-548ba",-7.72
"377362","LIFR","hsa-miR-548ba",-7.71
"377452","LIFR","hsa-miR-548ba",-7.71
"381534","LIFR","hsa-let-7b-3p",-7.6
"382615","LIFR","hsa-let-7b-3p",-7.6
"384100","SP110","hsa-let-7b-3p",-7.55
"384141","SP110","hsa-let-7b-3p",-7.55
"385047","LIFR","hsa-miR-548ba",-7.5
"386177","LIFR","hsa-miR-548ba",-7.5
"388370","LIFR","hsa-miR-548ba",-7.41
"388488","LIFR","hsa-miR-548ba",-7.41
"388746","LIFR","hsa-miR-548ba",-7.4
"389855","LIFR","hsa-miR-548ba",-7.4
"390968","LIFR","hsa-let-7b-3p",-7.39
"391018","LIFR","hsa-let-7b-3p",-7.39
"392298","LIFR","hsa-miR-548ba",-7.3
"392299","LIFR","hsa-miR-548ba",-7.3
"393405","LIFR","hsa-miR-548ba",-7.3
"393406","LIFR","hsa-miR-548ba",-7.3
"399614","PTEN","hsa-miR-548ba",-7.1
"402754","PTEN","hsa-miR-548ba",-7
"404763","PTEN","hsa-let-7b-3p",-6.92
"417784","SP110","hsa-miR-548ba",-6.5
"417825","LIFR","hsa-miR-548ba",-6.5
"418269","SP110","hsa-miR-548ba",-6.5
"418912","LIFR","hsa-miR-548ba",-6.5
"423323","PTEN","hsa-miR-548ba",-6.33
"435156","SP110","hsa-miR-548ba",-5.9
"435157","SP110","hsa-let-7b-3p",-5.9
"435554","SP110","hsa-miR-548ba",-5.9
"435555","SP110","hsa-let-7b-3p",-5.9
"439506","SP110","hsa-let-7b-3p",-5.77
"439521","SP110","hsa-let-7b-3p",-5.77
"440229","LIFR","hsa-let-7b-3p",-5.7
"441072","LIFR","hsa-let-7b-3p",-5.7
"443143","PTEN","hsa-let-7b-3p",-5.6
"443144","PTEN","hsa-miR-548ba",-5.6
"445062","LIFR","hsa-miR-548ba",-5.5
"445983","LIFR","hsa-miR-548ba",-5.5
"447119","PTEN","hsa-let-7b-3p",-5.45
"458740","PTEN","hsa-let-7b-3p",-5
"464869","PTEN","hsa-let-7b-3p",-4.73
"465247","LIFR","hsa-let-7b-3p",-4.7
"466139","PTEN","hsa-let-7b-3p",-4.7
"466140","PTEN","hsa-let-7b-3p",-4.7
"466917","LIFR","hsa-let-7b-3p",-4.7
"468953","SP110","hsa-let-7b-3p",-4.61
"468960","SP110","hsa-let-7b-3p",-4.61
"469122","LIFR","hsa-miR-548ba",-4.6
"469996","LIFR","hsa-miR-548ba",-4.6
"471798","PTEN","hsa-let-7b-3p",-4.5
"471799","PTEN","hsa-miR-548ba",-4.5
"475611","LIFR","hsa-let-7b-3p",-4.2
"476005","LIFR","hsa-let-7b-3p",-4.2
"482969","PTEN","hsa-let-7b-3p",-3.3
