"uniprot_id","species","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels_network","annotation_stringdb","protein_name_uniprot","cc_function_uniprot","go_p_uniprot","go_f_uniprot","description_eggnog","preferred_name_eggnog","pfams_eggnog","interpro_description_ips","signature_description_ips","dataset","category_of_interest","enrichment_method","protein_db","taxon_id","assembly_name","stringdb_id"
"A0A023EIL7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG007410","Glucosamine 6-phosphate N-acetyltransferase; Belongs to the acetyltransferase family. GNA1 subfamily.","Glucosamine 6-phosphate N-acetyltransferase",NA,"UDP-N-acetylglucosamine biosynthetic process","glucosamine 6-phosphate N-acetyltransferase activity","N-acetyltransferase activity","GNPNAT1","Acetyltransf_1","GNAT domain","Acetyltransferase (GNAT) family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EJK9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG026399","Putative gtpase.",NA,NA,NA,"GTP binding; GTPase activity","Rab subfamily of small GTPases","RAB6B","Ras","Small GTPase","Ras family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EJP8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003534","ER lumen protein-retaining receptor.","ER lumen protein-retaining receptor",NA,"protein retention in ER lumen; protein transport; vesicle-mediated transport","ER retention sequence binding","Er lumen protein retaining receptor","KdelR","ER_lumen_recept","ER lumen protein retaining receptor","ER lumen protein retaining receptor","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EJQ3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG003410","Putative secreted protein.","DNA replication complex GINS protein PSF3","Required for correct functioning of the GINS complex, a complex that plays an essential role in the initiation of DNA replication, and progression of DNA replication forks. GINS complex is a core component of CDC45-MCM-GINS (CMG) helicase, the molecular machine that unwinds template DNA during replication, and around which the replisome is built","mitotic DNA replication initiation",NA,"GINS complex protein","GINS3","Sld5","GINS subunit, domain A","GINS complex protein helical bundle domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EK43","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011742","Ferritin; Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation. Belongs to the ferritin family.","Ferritin","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation","intracellular iron ion homeostasis; iron ion transport","ferric iron binding; ferrous iron binding; ferroxidase activity","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation","Fer2LCH","Ferritin",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EKS2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG016093","Putative u2 snrnp splicing factor small subunit.",NA,NA,"mRNA splicing, via spliceosome","RNA binding; zinc ion binding","Splicing factor U2AF","U2AF1","RRM_1,zf-CCCH","Zinc finger, CCCH-type","Zinc finger C-x8-C-x5-C-x3-H type (and similar)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EMA3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG026959","Putative heat shock protein.",NA,NA,NA,NA,"DnaJ molecular chaperone homology domain","DNAJC8","DnaJ","DnaJ domain","DnaJ domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EPY3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG025494","Glyceraldehyde-3-phosphate dehydrogenase.","Glyceraldehyde-3-phosphate dehydrogenase",NA,"glucose metabolic process; glycolytic process","glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; NAD binding; NADP binding","Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain","GAPDH","Gp_dh_C,Gp_dh_N","Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain","Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EQ67","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG014756","Hydrolase_4 domain-containing protein.","Serine aminopeptidase S33 domain-containing protein",NA,NA,"palmitoyl-(protein) hydrolase activity","Serine aminopeptidase, S33","ABHD13","Abhydrolase_1,FSH1,Hydrolase_4","Serine aminopeptidase, S33","Serine aminopeptidase, S33","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EQE1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG020920","Serine/threonine-protein phosphatase.","Serine/threonine-protein phosphatase",NA,NA,"protein serine/threonine phosphatase activity","Serine threonine-protein phosphatase","PPP4C","Metallophos","Calcineurin-like, phosphoesterase domain","Calcineurin-like phosphoesterase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023EQV8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG011874","J domain-containing protein.","J domain-containing protein",NA,"chaperone cofactor-dependent protein refolding","protein-folding chaperone binding; unfolded protein binding","DnaJ C terminal domain","DNAJB5","DnaJ,DnaJ_C","DnaJ domain","DnaJ domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023ER33","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG009155","Putative 26s proteasome regulatory complex subunit.","26S proteasome non-ATPase regulatory subunit 13","Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair","ubiquitin-dependent protein catabolic process","structural molecule activity","26S proteasome","PSMD13","PCI","Proteasome component (PCI) domain","PCI domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A023ETF7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG028645","Fam20C domain-containing protein.","FAM20 C-terminal domain-containing protein",NA,NA,"ATP binding; metal ion binding; protein serine/threonine kinase activity","Golgi casein kinase, C-terminal, Fam20","FAM20A","Fam20C","FAM20, C-terminal","Golgi casein kinase, C-terminal, Fam20","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G0L9","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000070","NAD(P)-bd_dom domain-containing protein.","UDP-glucuronic acid decarboxylase 1",NA,"D-xylose metabolic process; UDP-D-xylose biosynthetic process","NAD+ binding; UDP-glucuronate decarboxylase activity","RmlD substrate binding domain","UXS1","GDP_Man_Dehyd,UXS1_N","NAD-dependent epimerase/dehydratase","NAD dependent epimerase/dehydratase family","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G0N5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000101","GAR domain-containing protein.",NA,NA,"actin crosslink formation; microtubule bundle formation; protein localization to microtubule plus-end; regulation of microtubule polymerization or depolymerization","actin filament binding; cytoskeletal anchor activity; microtubule binding","It is involved in the biological process described with cell cycle arrest","GAS2L1","CH,GAS2","GAR domain","Growth-Arrest-Specific Protein 2 Domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G0Q0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000121","Cytidine deaminase; This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis; Belongs to the cytidine and deoxycytidylate deaminase family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G0T6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000220","CRAL-TRIO domain-containing protein.",NA,NA,NA,"phosphatidylinositol bisphosphate binding","Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)",NA,"CRAL_TRIO","CRAL-TRIO lipid binding domain","CRAL/TRIO domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G131","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000405","Uncharacterized protein.","BOD1/SHG1 domain-containing protein",NA,"replication fork processing",NA,"COMPASS (Complex proteins associated with Set1p) component shg1","BOD1L1","COMPASS-Shg1","BOD1/SHG1 domain","COMPASS (Complex proteins associated with Set1p) component shg1","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G134","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000408","zf_UBZ domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G151","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000437","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G1E4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000613","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G1E7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG000617","Exonuclease domain-containing protein.",NA,NA,NA,"exonuclease activity; nucleic acid binding","EXOIII","REXO5","RNase_T,RRM_1","Ribonuclease H-like domain","Exonuclease","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2A3","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001269","Uncharacterized protein.",NA,NA,"anatomical structure morphogenesis; cell differentiation",NA,"Fibronectin type 3 domain","NCAM2","I-set,Ig_3,fn3","Fibronectin type III","Fibronectin type III domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2C1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001321","Uncharacterized protein.",NA,NA,NA,NA,"Ezrin-binding protein pace-1","SCYL3","Pkinase",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2J8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001475","Non-lysosomal glucosylceramidase; Non-lysosomal glucosylceramidase that catalyzes the hydrolysis of glucosylceramide (GlcCer) to free glucose and ceramide.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2M7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001521","HSA domain-containing protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2N5","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001549","t-SNARE coiled-coil homology domain-containing protein; Belongs to the syntaxin family.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2Q0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001575","E3 ubiquitin-protein ligase parkin; Functions within a multiprotein E3 ubiquitin ligase complex, catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins; Belongs to the RBR family. Parkin subfamily.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2Q1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001576","Cleavage and polyadenylation specificity factor subunit 5; Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The  [...]","Cleavage and polyadenylation specificity factor subunit 5","Component of the cleavage factor Im (CFIm) complex that functions as an activator of the pre-mRNA 3'-end cleavage and polyadenylation processing required for the maturation of pre-mRNA into functional mRNAs. CFIm contributes to the recruitment of multiprotein complexes on specific sequences on the pre-mRNA 3'-end, so called cleavage and polyadenylation signals (pA signals). Most pre-mRNAs contain multiple pA signals, resulting in alternative cleavage and polyadenylation (APA) producing mRNAs with variable 3'-end formation. The CFIm complex acts as a key regulator of cleavage and polyadenylation site choice during APA through its binding to 5'-UGUA-3' elements localized in the 3'-untranslated region (UTR) for a huge number of pre-mRNAs","mRNA 3'-end processing","mRNA binding","Pre-mrna cleavage factor im, 25kD subunit","NUDT21","NUDIX_2","Cleavage/polyadenylation specificity factor subunit 5","Nucleotide hydrolase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G2Y4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001707","Uncharacterized protein.",NA,NA,"fatty acid beta-oxidation; long-chain fatty acid import into peroxisome; peroxisome organization; very long-chain fatty acid catabolic process","ABC-type transporter activity; ATP binding; ATP hydrolysis activity; long-chain fatty acid transmembrane transporter activity","ABC transporter transmembrane region 2","ABCD2","ABC_membrane_2,ABC_tran","ABC transporter-like, ATP-binding domain","ABC transporter","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G364","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG001937","Uncharacterized protein.",NA,NA,NA,NA,"NFRKB Winged Helix-like","NFRKB","NFRKB_winged",NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3D4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002053","Uncharacterized protein.",NA,NA,NA,NA,"Reverse transcriptase (RNA-dependent DNA polymerase)",NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3H4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002124","Reverse transcriptase Ty1/copia-type domain-containing protein.",NA,NA,"DNA biosynthetic process",NA,"transposition, RNA-mediated",NA,"DUF4219,RVT_2,Retrotran_gag_2,Retrotran_gag_3,gag_pre-integrs,rve,zf-CCHC","Reverse transcriptase, RNA-dependent DNA polymerase","Reverse transcriptase (RNA-dependent DNA polymerase)","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3H6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002131","Transcription elongation factor SPT5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3H7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002133","ANK_REP_REGION domain-containing protein.",NA,NA,NA,NA,"SOCS_box",NA,"Ank,Ank_2,Ank_3,Ank_4,SOCS_box","SOCS box domain","SOCS box","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3J1","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002156","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3N4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002230","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3N7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002233","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G3U2","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002318","Uncharacterized protein.",NA,NA,"animal organ development; developmental process involved in reproduction; neuron development; regulation of transcription by RNA polymerase II",NA,"Broad-Complex, Tramtrack and Bric a brac",NA,"BTB,Myb_DNA-bind_4,zf-C2H2,zf-C2H2_4,zf-met","BTB/POZ domain","BTB/POZ domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G473","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002568","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G484","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002589","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4I0","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002743","Uncharacterized protein.",NA,NA,"DNA biosynthetic process","nucleic acid binding; RNA-DNA hybrid ribonuclease activity",NA,NA,NA,"Endonuclease/exonuclease/phosphatase","Endonuclease-reverse transcriptase","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4J4","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002759","Acetyl-coenzyme A synthetase.","Acetyl-coenzyme A synthetase",NA,"acetyl-CoA biosynthetic process from acetate","acetate-CoA ligase activity; AMP binding; ATP binding","acetyl-CoA synthetase","ACSS2","ACAS_N,AMP-binding,AMP-binding_C","AMP-binding enzyme, C-terminal domain","AMP-binding enzyme C-terminal domain","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4S7","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002936","Uncharacterized protein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4S8","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002937","Exocyst complex component; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane.","Exocyst complex component","Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane","Golgi to plasma membrane transport; intracellular protein transport; vesicle tethering involved in exocytosis",NA,"Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane","EXOC6","Sec15","Exocyst complex component EXOC6/Sec15, N-terminal domain","Exocyst complex component EXOC6/Sec15, N-terminal","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
"A0A182G4U6","Aedes albopictus","GOCC:0005622","Intracellular",365,8504,0.08,0.44,0.00021,"RP20_CCG002972","BTB domain-containing protein.",NA,NA,NA,NA,"Galactose oxidase, central domain","IVNS1ABP","BACK,BTB,Kelch_1","BTB/Kelch-associated","BTB And C-terminal Kelch","Subcellular Location",NA,"stringdb","STRINGv12.0",7160,"asian tiger mosquito","STRING.7160.Aedes"
